,country,product,value
0,Central African Republic,Maize,20
1,Central African Republic,Rice,20
2,Central African Republic,Wheat flour,20
3,Central African Republic,Oil (palm),20
4,Central African Republic,Sorghum,20
5,Central African Republic,Millet,20
6,Central African Republic,Groundnuts (unshelled),20
7,Central African Republic,Beans (niebe),20
8,Central African Republic,Meat (beef),20
9,Central African Republic,Sesame,20
10,Central African Republic,Oil (groundnut),20
11,Central African Republic,Cassava (cossette),20
12,Djibouti,Bread,20
13,Djibouti,Wheat flour,20
14,Djibouti,Rice (imported),20
15,Djibouti,Sorghum,20
16,Djibouti,Beans (white),20
17,Djibouti,Millet,20
18,Djibouti,Oil (vegetable),20
19,Djibouti,Sugar,20
20,Djibouti,Pasta,20
21,Djibouti,Sorghum (white),20
22,Djibouti,Sorghum (red),20
23,Djibouti,Fuel (kerosene),20
24,Gambia,Maize (local),20
25,Gambia,Sorghum,20
26,Gambia,Millet,20
27,Gambia,Groundnuts (unshelled),20
28,Gambia,Groundnuts (shelled),20
29,Gambia,"Rice (long grain, imported)",20
30,Gambia,"Rice (medium grain, imported)",20
31,Gambia,"Rice (small grain, imported)",20
32,Gambia,Maize,20
33,Gambia,Bread,20
34,Gambia,Oil (palm),20
35,Gambia,Cassava,20
36,Gambia,Maize flour,20
37,Gambia,Milk,20
38,Gambia,Sweet potatoes,20
39,Gambia,Eggs,20
40,Gambia,Meat (chicken),20
41,Gambia,Oil (vegetable),20
42,Gambia,Sugar,20
43,Gambia,Fonio,20
44,Gambia,Garlic,20
45,Gambia,Tomatoes,20
46,Gambia,"Rice (paddy, long grain, local)",20
47,Gambia,"Rice (basmati, broken)",20
48,Gambia,Meat (beef),20
49,Gambia,Potatoes (Irish),20
50,Gambia,Fish (bonga),20
51,Gambia,Carrots,20
52,Gambia,Cashew,20
53,Gambia,Fish (dry),20
54,Gambia,Onions,20
55,Gambia,Cabbage,20
56,Gambia,Meat (mutton),20
57,Gambia,Salt,20
58,Gambia,Coffee (instant),20
59,Gambia,"Peas (green, dry)",20
60,Gambia,Apples (red),20
61,Gambia,Milk (powder),20
62,Gambia,Oranges (big size),20
63,Gambia,Bananas,20
64,Gambia,Beans (dry),20
65,Gambia,Tea,20
66,Gambia,Fuel (kerosene),20
67,Gambia,Fuel (diesel),20
68,Gambia,Fuel (petrol-gasoline),20
69,Gambia,Oil (groundnut),20
70,Guinea,Oil (palm),20
71,Guinea,Rice (local),20
72,Guinea,Maize,20
73,Guinea,Bread,20
74,Guinea,Rice (imported),20
75,Guinea,Potatoes,20
76,Guinea,Oil (vegetable),20
77,Guinea,Sugar,20
78,Guinea,Fonio,20
79,Guinea,Tomatoes,20
80,Guinea,Groundnuts (shelled),20
81,Guinea,Fish,20
82,Guinea,Meat (beef),20
83,Guinea,Salt,20
84,Guinea,Fish (smoked),20
85,Guinea,Tomatoes (paste),20
86,Guinea,Cassava meal (gari),20
87,Guinea,"Beans (niebe, white)",20
88,Guinea,Cassava meal (attieke),20
89,Kenya,Bread,20
90,Kenya,Sorghum,20
91,Kenya,Maize (white),20
92,Kenya,Oil (vegetable),20
93,Kenya,Potatoes (Irish),20
94,Kenya,Beans (dry),20
95,Kenya,Fuel (kerosene),20
96,Kenya,Fuel (diesel),20
97,Kenya,Fuel (petrol-gasoline),20
98,Kenya,"Milk (cow, pasteurized)",20
99,Lesotho,Maize meal,20
100,Lesotho,Wheat flour,20
101,Lesotho,Bread (brown),20
102,Lesotho,"Peas (split, dry)",20
103,Lesotho,Oil (sunflower),20
104,Lesotho,Beans (sugar-red),20
105,Liberia,Oil (palm),20
106,Liberia,Rice (imported),20
107,Liberia,Cowpeas,20
108,Liberia,Fuel (diesel),20
109,Liberia,Fuel (petrol-gasoline),20
110,Liberia,Cassava (fresh),20
111,Liberia,Exchange rate,20
112,Liberia,"Rice (white, imported)",20
113,Liberia,"Wage (non-qualified labour, non-agricultural)",20
114,Liberia,Cocoa,20
115,Liberia,"Wage (non-qualified labour, agricultural)",20
116,Madagascar,Rice (local),20
117,Madagascar,Wheat flour,20
118,Madagascar,Oil (vegetable),20
119,Madagascar,Sugar,20
120,Madagascar,Rice (paddy),20
121,Madagascar,Fuel (kerosene),20
122,Madagascar,Fuel (diesel),20
123,Madagascar,Fuel (petrol-gasoline),20
124,Malawi,Beans,20
125,Malawi,Maize,20
126,Malawi,Rice,20
127,Malawi,Cassava,20
128,Malawi,Groundnuts (shelled),20
129,Mali,Maize,20
130,Mali,Sorghum,20
131,Mali,Millet,20
132,Mali,Rice (imported),20
133,Mali,Rice (local),20
134,Mali,Fonio,20
135,Mali,Beans (niebe),20
136,Mali,Rice (paddy),20
137,Mauritania,Rice (imported),20
138,Mauritania,Rice (local),20
139,Mauritania,Wheat,20
140,Mauritania,Oil (vegetable),20
141,Mauritania,Sugar,20
142,Mauritania,Sorghum (taghalit),20
143,Mozambique,Rice (imported),20
144,Mozambique,Maize (white),20
145,Mozambique,Rice (local),20
146,Mozambique,"Oil (vegetable, imported)",20
147,Mozambique,Wheat flour (local),20
148,Mozambique,Cowpeas,20
149,Mozambique,"Maize meal (white, first grade)",20
150,Mozambique,"Oil (vegetable, local)",20
151,Mozambique,"Sugar (brown, imported)",20
152,Mozambique,"Sugar (brown, local)",20
153,Mozambique,Beans (dry),20
154,Mozambique,Groundnuts (Mix),20
155,Mozambique,Beans (butter),20
156,Mozambique,"Groundnuts (large, shelled)",20
157,Mozambique,"Groundnuts (small, shelled)",20
158,Mozambique,Beans (catarino),20
