pr,tas,	Year, Month, Country
71.0606,0.18512,1991,1,AFG
56.5235,1.59968,1991,2,AFG
128.244,6.95549,1991,3,AFG
42.5555,13.2483,1991,4,AFG
62.5858,17.4199,1991,5,AFG
5.95879,23.204,1991,6,AFG
3.55534,25.6184,1991,7,AFG
2.75255,24.2117,1991,8,AFG
16.3668,19.7491,1991,9,AFG
3.00116,13.1075,1991,10,AFG
13.5085,7.53112,1991,11,AFG
37.0649,4.58609,1991,12,AFG
63.3811,1.06128,1992,1,AFG
48.9674,2.87123,1992,2,AFG
60.1577,5.65829,1992,3,AFG
109.621,11.8229,1992,4,AFG
26.2053,15.9669,1992,5,AFG
10.6198,22.8083,1992,6,AFG
11.6994,24.7731,1992,7,AFG
13.7373,22.8072,1992,8,AFG
3.98976,18.1852,1992,9,AFG
24.4231,12.6675,1992,10,AFG
8.53067,8.73774,1992,11,AFG
50.1585,4.51103,1992,12,AFG
55.7993,-0.1381,1993,1,AFG
43.894,4.30965,1993,2,AFG
64.9453,6.21585,1993,3,AFG
40.8351,13.456,1993,4,AFG
38.8807,18.5045,1993,5,AFG
10.499,22.89,1993,6,AFG
4.67772,24.6131,1993,7,AFG
7.09932,22.8919,1993,8,AFG
2.06406,19.7186,1993,9,AFG
7.96216,11.7455,1993,10,AFG
20.6453,7.28843,1993,11,AFG
30.5132,3.36835,1993,12,AFG
53.2691,1.16854,1994,1,AFG
35.7401,0.95785,1994,2,AFG
73.6703,9.11593,1994,3,AFG
25.7275,11.9537,1994,4,AFG
36.7498,18.694,1994,5,AFG
4.4355,24.0352,1994,6,AFG
17.3098,25.1082,1994,7,AFG
9.08417,24.9643,1994,8,AFG
7.83147,16.9393,1994,9,AFG
23.8671,12.5708,1994,10,AFG
9.48277,9.83989,1994,11,AFG
35.1365,2.36478,1994,12,AFG
14.5861,0.96791,1995,1,AFG
67.3363,2.88403,1995,2,AFG
52.8298,6.31552,1995,3,AFG
61.0354,12.9983,1995,4,AFG
9.03721,18.2693,1995,5,AFG
8.94817,23.4972,1995,6,AFG
10.5315,25.8751,1995,7,AFG
5.38586,24.6626,1995,8,AFG
2.36155,18.8898,1995,9,AFG
17.3838,13.5421,1995,10,AFG
5.79717,7.99119,1995,11,AFG
40.4087,1.60651,1995,12,AFG
41.1956,-0.6992,1996,1,AFG
47.2199,2.48462,1996,2,AFG
97.0343,6.9228,1996,3,AFG
39.5051,12.8837,1996,4,AFG
26.6464,17.1888,1996,5,AFG
11.5947,23.0169,1996,6,AFG
3.99599,24.6476,1996,7,AFG
7.43116,23.4335,1996,8,AFG
1.63855,20.4742,1996,9,AFG
16.41,12.7394,1996,10,AFG
9.24639,5.18952,1996,11,AFG
5.47807,3.25419,1996,12,AFG
24.9431,1.23577,1997,1,AFG
12.3245,2.06257,1997,2,AFG
83.3102,6.95281,1997,3,AFG
65.1576,12.3524,1997,4,AFG
31.1682,16.5827,1997,5,AFG
9.74753,23.8607,1997,6,AFG
