pr,tas,	Year, Month, Country
0.47078,20.932,1991,1,CPV
15.6231,20.4773,1991,2,CPV
0.39197,20.5156,1991,3,CPV
1.075,21.0768,1991,4,CPV
1.14711,21.2945,1991,5,CPV
3.45161,22.3417,1991,6,CPV
22.9189,23.7715,1991,7,CPV
85.2928,25.0698,1991,8,CPV
15.639,25.6894,1991,9,CPV
67.437,24.9651,1991,10,CPV
6.79941,24.3539,1991,11,CPV
5.44258,23.029,1991,12,CPV
8.2034,21.7734,1992,1,CPV
7.95777,20.8431,1992,2,CPV
2.79223,20.8124,1992,3,CPV
13.0757,20.982,1992,4,CPV
18.047,22.0758,1992,5,CPV
27.1346,22.9312,1992,6,CPV
40.4253,23.8306,1992,7,CPV
8.90607,24.9443,1992,8,CPV
27.1549,25.5773,1992,9,CPV
59.9582,24.584,1992,10,CPV
39.1271,23.9508,1992,11,CPV
5.27961,22.4036,1992,12,CPV
16.0765,21.0575,1993,1,CPV
9.9129,20.3365,1993,2,CPV
2.79516,21.0159,1993,3,CPV
13.0757,21.6889,1993,4,CPV
5.45237,22.0758,1993,5,CPV
27.1346,23.052,1993,6,CPV
96.5695,24.0602,1993,7,CPV
58.6351,25.3907,1993,8,CPV
104.923,25.6848,1993,9,CPV
5.89465,25.0651,1993,10,CPV
5.36888,22.8506,1993,11,CPV
5.24336,21.985,1993,12,CPV
3.87002,20.6425,1994,1,CPV
2.79261,20.3431,1994,2,CPV
2.79223,20.7644,1994,3,CPV
13.0757,21.4665,1994,4,CPV
5.45237,21.8321,1994,5,CPV
28.5257,22.752,1994,6,CPV
5.07693,23.9118,1994,7,CPV
23.2361,24.9877,1994,8,CPV
36.4969,25.428,1994,9,CPV
68.9564,24.8651,1994,10,CPV
5.33077,24.0864,1994,11,CPV
35.9452,22.9099,1994,12,CPV
3.87002,21.1387,1995,1,CPV
2.80791,20.9552,1995,2,CPV
2.79223,20.6526,1995,3,CPV
13.0757,21.177,1995,4,CPV
5.47746,22.2312,1995,5,CPV
31.6707,23.0775,1995,6,CPV
80.0902,24.5038,1995,7,CPV
159.86,25.3182,1995,8,CPV
109.286,25.7552,1995,9,CPV
27.8306,24.8376,1995,10,CPV
5.39526,24.2861,1995,11,CPV
53.7495,22.517,1995,12,CPV
9.00953,21.2538,1996,1,CPV
2.79555,20.5111,1996,2,CPV
2.81826,20.9764,1996,3,CPV
13.0757,21.6732,1996,4,CPV
