pr,tas,	Year, Month, Country
13.0865,21.8524,1991,1,ETH
21.1366,22.3767,1991,2,ETH
65.6054,23.5291,1991,3,ETH
75.278,24.7054,1991,4,ETH
81.075,23.945,1991,5,ETH
72.1543,23.8675,1991,6,ETH
142.866,22.749,1991,7,ETH
128.265,22.6282,1991,8,ETH
97.2514,22.9008,1991,9,ETH
39.9972,22.3911,1991,10,ETH
12.1308,21.1684,1991,11,ETH
16.6662,20.963,1991,12,ETH
20.2222,20.519,1992,1,ETH
14.7063,21.891,1992,2,ETH
20.2771,23.8264,1992,3,ETH
66.576,24.7617,1992,4,ETH
69.2358,24.5007,1992,5,ETH
63.2692,24.0195,1992,6,ETH
96.8984,22.3496,1992,7,ETH
139.246,21.9254,1992,8,ETH
97.1686,22.1649,1992,9,ETH
81.0647,21.6833,1992,10,ETH
40.3488,20.4596,1992,11,ETH
23.2851,20.4194,1992,12,ETH
26.8851,20.3635,1993,1,ETH
26.3384,20.8251,1993,2,ETH
20.69,23.9159,1993,3,ETH
114.031,23.8115,1993,4,ETH
125.493,23.6106,1993,5,ETH
74.1093,23.6278,1993,6,ETH
105.531,22.8496,1993,7,ETH
142.033,22.6601,1993,8,ETH
76.38,20.9363,1993,9,ETH
68.5297,22.5682,1993,10,ETH
8.81909,22.0257,1993,11,ETH
3.02953,17.0995,1993,12,ETH
2.76764,20.8273,1994,1,ETH
3.11642,22.5599,1994,2,ETH
23.5588,23.6268,1994,3,ETH
70.7554,24.8239,1994,4,ETH
92.158,23.7589,1994,5,ETH
93.74,23.4252,1994,6,ETH
147.622,22.5679,1994,7,ETH
187.102,22.1647,1994,8,ETH
94.1872,22.4045,1994,9,ETH
46.0363,22.1283,1994,10,ETH
50.8747,20.5717,1994,11,ETH
5.21785,20.6345,1994,12,ETH
1.27129,21.22,1995,1,ETH
12.2487,22.7971,1995,2,ETH
45.7531,23.6771,1995,3,ETH
97.2018,24.4264,1995,4,ETH
78.0119,24.5689,1995,5,ETH
50.3685,23.8763,1995,6,ETH
125.286,22.8016,1995,7,ETH
133.784,22.8535,1995,8,ETH
80.7986,23.3153,1995,9,ETH
49.4832,22.839,1995,10,ETH
16.2228,21.8142,1995,11,ETH
21.1403,21.7737,1995,12,ETH
14.8181,21.9626,1996,1,ETH
8.51003,23.2345,1996,2,ETH
73.5936,23.9235,1996,3,ETH
99.8521,25.1569,1996,4,ETH
135.313,23.814,1996,5,ETH
96.0153,22.9797,1996,6,ETH
119.585,22.833,1996,7,ETH
115.325,22.6069,1996,8,ETH
72.038,23.342,1996,9,ETH
31.5521,22.435,1996,10,ETH
30.7603,21.2943,1996,11,ETH
6.45138,20.8533,1996,12,ETH
12.8319,20.9285,1997,1,ETH
1.2033,22.0164,1997,2,ETH
40.4768,24.2248,1997,3,ETH
105.528,23.7085,1997,4,ETH
82.1461,23.8882,1997,5,ETH
86.1503,23.5919,1997,6,ETH
113.35,23.1903,1997,7,ETH
106.432,23.1526,1997,8,ETH
63.468,23.4685,1997,9,ETH
129.764,22.3081,1997,10,ETH
83.8796,21.8552,1997,11,ETH
21.9325,21.177,1997,12,ETH
31.6194,22.074,1998,1,ETH
13.4012,23.2127,1998,2,ETH
31.8199,24.117,1998,3,ETH
59.0677,25.4863,1998,4,ETH
114.27,24.3206,1998,5,ETH
75.8732,24.609,1998,6,ETH
137.666,23.1963,1998,7,ETH
172.189,22.7045,1998,8,ETH
95.3506,22.9847,1998,9,ETH
110.223,22.5207,1998,10,ETH
15.4501,21.1013,1998,11,ETH
1.45526,20.5018,1998,12,ETH
8.00477,21.4167,1999,1,ETH
2.74477,22.6983,1999,2,ETH
48.0179,23.4528,1999,3,ETH
39.9381,24.7447,1999,4,ETH
80.4792,24.3966,1999,5,ETH
53.6802,23.7749,1999,6,ETH
107.843,22.549,1999,7,ETH
144.528,21.6402,1999,8,ETH
101.301,22.6493,1999,9,ETH
112.522,21.5585,1999,10,ETH
16.1714,20.876,1999,11,ETH
6.94606,20.775,1999,12,ETH
2.30471,20.9106,2000,1,ETH
1.04437,22.4835,2000,2,ETH
11.325,23.5763,2000,3,ETH
80.5576,24.7904,2000,4,ETH
128.046,23.9827,2000,5,ETH
86.1521,23.991,2000,6,ETH
167.938,23.4175,2000,7,ETH
158.779,22.5051,2000,8,ETH
114.603,22.934,2000,9,ETH
68.873,21.9195,2000,10,ETH
50.0717,22.7622,2000,11,ETH
19.2599,20.9697,2000,12,ETH
12.175,21.8745,2001,1,ETH
7.96503,22.5602,2001,2,ETH
61.9903,23.9112,2001,3,ETH
53.1073,25.0305,2001,4,ETH
55.8385,23.8962,2001,5,ETH
84.1994,23.3574,2001,6,ETH
149.491,23.096,2001,7,ETH
147.589,22.1681,2001,8,ETH
79.5191,23.0563,2001,9,ETH
68.0264,23.1328,2001,10,ETH
37.2164,21.47,2001,11,ETH
10.1659,21.5984,2001,12,ETH
17.7831,21.2681,2002,1,ETH
12.1078,23.2133,2002,2,ETH
13.6881,24.1021,2002,3,ETH
72.2176,24.9725,2002,4,ETH
64.5691,25.2851,2002,5,ETH
56.1342,24.037,2002,6,ETH
112.838,23.8569,2002,7,ETH
114.075,23.1611,2002,8,ETH
58.0086,23.2968,2002,9,ETH
86.3497,22.0257,2002,10,ETH
26.0226,22.2567,2002,11,ETH
28.6054,22.1182,2002,12,ETH
8.39026,21.7774,2003,1,ETH
13.5411,23.6345,2003,2,ETH
30.6477,24.3523,2003,3,ETH
83.358,24.9787,2003,4,ETH
46.2248,25.4284,2003,5,ETH
103.34,24.4484,2003,6,ETH
133.224,22.9644,2003,7,ETH
122.353,22.9733,2003,8,ETH
105.902,22.5001,2003,9,ETH
50.8595,22.7504,2003,10,ETH
17.202,21.9961,2003,11,ETH
22.6035,21.128,2003,12,ETH
18.6655,22.3479,2004,1,ETH
12.4939,22.7064,2004,2,ETH
26.0189,23.9641,2004,3,ETH
100.336,24.4839,2004,4,ETH
53.8654,24.8338,2004,5,ETH
64.9359,24.0426,2004,6,ETH
113.064,23.3521,2004,7,ETH
122.452,23.2548,2004,8,ETH
84.9687,23.1842,2004,9,ETH
142.584,21.9526,2004,10,ETH
38.1284,21.8845,2004,11,ETH
11.7228,21.6078,2004,12,ETH
15.3357,21.4754,2005,1,ETH
16.0309,23.6057,2005,2,ETH
57.3688,24.4664,2005,3,ETH
80.9146,24.9082,2005,4,ETH
95.1644,24.3847,2005,5,ETH
80.9552,23.3442,2005,6,ETH
137.762,23.0294,2005,7,ETH
153.699,23.322,2005,8,ETH
100.161,23.5486,2005,9,ETH
55.4677,22.6805,2005,10,ETH
