pr,tas,	Year, Month, Country
89.9468,18.758,1991,1,RWA
116.775,19.6868,1991,2,RWA
133.483,20.0648,1991,3,RWA
159.844,19.2285,1991,4,RWA
156.446,19.3845,1991,5,RWA
56.796,19.4461,1991,6,RWA
25.3732,18.7534,1991,7,RWA
41.9222,19.1207,1991,8,RWA
59.6996,19.5632,1991,9,RWA
161.619,19.8606,1991,10,RWA
107.721,18.8336,1991,11,RWA
89.2806,19.1698,1991,12,RWA
71.3849,19.6577,1992,1,RWA
80.3828,20.1781,1992,2,RWA
117.872,20.1482,1992,3,RWA
145.735,19.6346,1992,4,RWA
122.92,19.0577,1992,5,RWA
55.7198,19.1086,1992,6,RWA
8.69752,18.7629,1992,7,RWA
15.9832,18.6887,1992,8,RWA
97.3843,19.5581,1992,9,RWA
144.156,19.8636,1992,10,RWA
132.492,18.7121,1992,11,RWA
114.693,18.9411,1992,12,RWA
133.367,18.3513,1993,1,RWA
86.8183,17.994,1993,2,RWA
133.056,19.2874,1993,3,RWA
132.037,19.1584,1993,4,RWA
148.137,18.9784,1993,5,RWA
40.6326,19.411,1993,6,RWA
0.68088,18.8268,1993,7,RWA
67.1853,20.898,1993,8,RWA
39.0972,19.2259,1993,9,RWA
65.5487,19.1729,1993,10,RWA
126.81,21.173,1993,11,RWA
117.857,19.6191,1993,12,RWA
124.322,18.1337,1994,1,RWA
81.0759,19.491,1994,2,RWA
183.914,18.8552,1994,3,RWA
165.588,19.1402,1994,4,RWA
129.78,19.7057,1994,5,RWA
25.0256,19.0312,1994,6,RWA
8.07719,18.0232,1994,7,RWA
41.1137,19.78,1994,8,RWA
85.1463,19.795,1994,9,RWA
118.901,19.8167,1994,10,RWA
183.167,19.5777,1994,11,RWA
139.574,19.2216,1994,12,RWA
83.3222,18.9876,1995,1,RWA
85.7247,19.5672,1995,2,RWA
144.215,19.6973,1995,3,RWA
166.393,20.2399,1995,4,RWA
136.872,19.5037,1995,5,RWA
77.6149,19.5331,1995,6,RWA
14.553,19.1238,1995,7,RWA
3.9251,21.3034,1995,8,RWA
76.8124,19.6374,1995,9,RWA
135.234,20.153,1995,10,RWA
138.464,21.1439,1995,11,RWA
97.2305,19.7898,1995,12,RWA
103.421,19.8145,1996,1,RWA
106.576,20.0689,1996,2,RWA
141.568,19.1685,1996,3,RWA
124.272,19.3851,1996,4,RWA
67.7114,19.2056,1996,5,RWA
49.8244,19.1484,1996,6,RWA
28.6697,19.5718,1996,7,RWA
68.2098,19.7689,1996,8,RWA
92.6474,19.9948,1996,9,RWA
94.4232,19.9363,1996,10,RWA
127.375,19.07,1996,11,RWA
94.84,19.8371,1996,12,RWA
218.886,20.158,1997,1,RWA
19.4455,19.9143,1997,2,RWA
95.2216,19.3754,1997,3,RWA
184.078,19.9206,1997,4,RWA
116.823,20.186,1997,5,RWA
33.7971,19.5164,1997,6,RWA
17.1068,19.4803,1997,7,RWA
29.0655,19.461,1997,8,RWA
26.4715,20.4109,1997,9,RWA
195.751,19.9483,1997,10,RWA
181.142,19.815,1997,11,RWA
155.759,19.8022,1997,12,RWA
170.897,19.9464,1998,1,RWA
145.166,20.5313,1998,2,RWA
180.14,19.8176,1998,3,RWA
140.525,19.1454,1998,4,RWA
142.094,19.6737,1998,5,RWA
28.8747,19.4237,1998,6,RWA
7.42504,19.6082,1998,7,RWA
15.7659,19.3486,1998,8,RWA
94.8155,19.6338,1998,9,RWA
145.454,19.6911,1998,10,RWA
120.536,20.4753,1998,11,RWA
100.523,19.7261,1998,12,RWA
144.932,19.5626,1999,1,RWA
18.8987,20.6311,1999,2,RWA
177.191,19.5528,1999,3,RWA
107.342,19.5684,1999,4,RWA
56.9268,19.0535,1999,5,RWA
1.94187,19.8053,1999,6,RWA
0.98817,19.0074,1999,7,RWA
106.332,19.7651,1999,8,RWA
75.0827,19.7302,1999,9,RWA
111.888,19.0658,1999,10,RWA
175.324,19.2119,1999,11,RWA
118.315,19.3944,1999,12,RWA
74.3311,20.0104,2000,1,RWA
62.6297,20.0226,2000,2,RWA
176.009,19.7804,2000,3,RWA
119.0,20.2662,2000,4,RWA
111.73,20.2681,2000,5,RWA
9.94954,19.2026,2000,6,RWA
9.10133,19.0864,2000,7,RWA
15.409,20.8904,2000,8,RWA
39.5787,19.9294,2000,9,RWA
140.321,19.4491,2000,10,RWA
170.694,20.2022,2000,11,RWA
131.735,18.978,2000,12,RWA
228.547,19.9642,2001,1,RWA
77.5024,21.3668,2001,2,RWA
181.29,20.3529,2001,3,RWA
97.3221,20.9641,2001,4,RWA
80.1601,22.1951,2001,5,RWA
7.5475,19.5451,2001,6,RWA
63.3064,19.9154,2001,7,RWA
53.2855,20.8209,2001,8,RWA
119.525,20.5077,2001,9,RWA
153.13,20.1802,2001,10,RWA
200.702,19.6721,2001,11,RWA
126.912,19.4252,2001,12,RWA
191.208,19.3622,2002,1,RWA
110.661,19.8072,2002,2,RWA
148.556,20.5501,2002,3,RWA
140.836,21.0281,2002,4,RWA
150.532,20.187,2002,5,RWA
6.61374,20.2139,2002,6,RWA
1.51348,21.2769,2002,7,RWA
21.1581,21.2849,2002,8,RWA
35.5055,21.2226,2002,9,RWA
116.802,20.2581,2002,10,RWA
157.474,20.2536,2002,11,RWA
172.962,20.5441,2002,12,RWA
92.7836,20.6972,2003,1,RWA
78.2805,20.8678,2003,2,RWA
152.73,20.8509,2003,3,RWA
176.312,20.634,2003,4,RWA
139.812,20.5575,2003,5,RWA
11.0746,19.8441,2003,6,RWA
7.65003,19.735,2003,7,RWA
60.722,20.2884,2003,8,RWA
138.768,20.8278,2003,9,RWA
163.041,20.9112,2003,10,RWA
102.465,21.1696,2003,11,RWA
97.901,21.5817,2003,12,RWA
137.347,21.2635,2004,1,RWA
72.5555,20.8085,2004,2,RWA
75.9028,20.6856,2004,3,RWA
90.8785,19.3524,2004,4,RWA
40.2226,19.5488,2004,5,RWA
5.24059,19.6249,2004,6,RWA
7.29528,19.9555,2004,7,RWA
45.808,21.0946,2004,8,RWA
97.6733,20.3221,2004,9,RWA
88.3039,20.3863,2004,10,RWA
130.217,19.4155,2004,11,RWA
129.321,19.5302,2004,12,RWA
165.77,19.0116,2005,1,RWA
70.8432,21.7349,2005,2,RWA
158.749,21.2705,2005,3,RWA
68.466,20.9464,2005,4,RWA
102.299,19.6636,2005,5,RWA
12.145,20.2421,2005,6,RWA
1.8236,19.8809,2005,7,RWA
56.7928,20.6423,2005,8,RWA
108.246,20.8124,2005,9,RWA
107.17,20.2427,2005,10,RWA
73.6119,21.8064,2005,11,RWA
74.8307,22.2249,2005,12,RWA
85.4086,20.1376,2006,1,RWA
108.002,20.3686,2006,2,RWA
146.384,20.3456,2006,3,RWA
150.474,20.5669,2006,4,RWA
154.68,18.4792,2006,5,RWA
10.2547,19.9902,2006,6,RWA
27.4124,19.7177,2006,7,RWA
36.358,20.8943,2006,8,RWA
59.4704,19.4545,2006,9,RWA
98.4321,21.2377,2006,10,RWA
237.571,21.1779,2006,11,RWA
176.968,19.7003,2006,12,RWA
120.422,19.8741,2007,1,RWA
133.893,21.5876,2007,2,RWA
81.8461,20.8428,2007,3,RWA
143.15,21.1867,2007,4,RWA
141.313,21.1787,2007,5,RWA
48.1079,18.9755,2007,6,RWA
102.258,19.0092,2007,7,RWA
29.3905,19.6793,2007,8,RWA
173.533,20.6129,2007,9,RWA
104.669,20.7912,2007,10,RWA
153.553,18.2157,2007,11,RWA
147.217,20.3805,2007,12,RWA
126.446,20.4877,2008,1,RWA
111.951,21.2902,2008,2,RWA
148.379,20.567,2008,3,RWA
129.303,19.1157,2008,4,RWA
73.1492,19.9744,2008,5,RWA
41.3016,19.4207,2008,6,RWA
9.34876,19.8997,2008,7,RWA
20.1356,20.9091,2008,8,RWA
119.993,20.583,2008,9,RWA
97.3514,19.9879,2008,10,RWA
142.045,21.4484,2008,11,RWA
87.7265,19.1644,2008,12,RWA
118.524,22.1787,2009,1,RWA
147.504,20.865,2009,2,RWA
150.795,20.3421,2009,3,RWA
170.44,19.7118,2009,4,RWA
90.939,20.2689,2009,5,RWA
43.1534,19.9982,2009,6,RWA
8.775,20.8476,2009,7,RWA
21.4729,21.6179,2009,8,RWA
