pr,tas,	Year, Month, Country
40.8041,25.5568,1991,1,LBR
67.5128,26.559,1991,2,LBR
125.544,26.605,1991,3,LBR
96.6127,26.282,1991,4,LBR
265.3,25.925,1991,5,LBR
322.812,25.9454,1991,6,LBR
471.385,24.3623,1991,7,LBR
327.955,23.7641,1991,8,LBR
329.039,24.7328,1991,9,LBR
248.866,24.9418,1991,10,LBR
96.8638,25.3267,1991,11,LBR
29.0317,25.4934,1991,12,LBR
17.2016,24.9918,1992,1,LBR
89.2419,26.019,1992,2,LBR
76.9579,26.616,1992,3,LBR
140.307,26.4172,1992,4,LBR
353.466,25.4962,1992,5,LBR
283.931,25.0896,1992,6,LBR
219.404,23.7232,1992,7,LBR
187.347,23.9484,1992,8,LBR
314.202,24.9181,1992,9,LBR
246.889,25.3077,1992,10,LBR
174.751,25.2637,1992,11,LBR
81.9818,25.8701,1992,12,LBR
3.85054,25.1215,1993,1,LBR
91.2823,26.1022,1993,2,LBR
111.653,26.1306,1993,3,LBR
154.664,26.1167,1993,4,LBR
223.154,25.4802,1993,5,LBR
285.864,25.5316,1993,6,LBR
300.349,24.1619,1993,7,LBR
268.407,24.2886,1993,8,LBR
265.853,24.9584,1993,9,LBR
251.491,25.6977,1993,10,LBR
66.7525,25.3644,1993,11,LBR
20.8448,25.3521,1993,12,LBR
6.88285,25.4979,1994,1,LBR
77.8877,25.9834,1994,2,LBR
127.219,26.6264,1994,3,LBR
127.807,26.4435,1994,4,LBR
171.832,26.1039,1994,5,LBR
274.918,25.4912,1994,6,LBR
288.759,23.8118,1994,7,LBR
333.016,23.9526,1994,8,LBR
539.157,24.6526,1994,9,LBR
332.398,25.2508,1994,10,LBR
90.5974,25.337,1994,11,LBR
9.12999,24.261,1994,12,LBR
7.80183,24.6649,1995,1,LBR
29.9961,25.6567,1995,2,LBR
127.636,26.8819,1995,3,LBR
147.375,26.3995,1995,4,LBR
175.348,26.4337,1995,5,LBR
452.976,25.7104,1995,6,LBR
218.981,24.3861,1995,7,LBR
513.224,24.4965,1995,8,LBR
370.624,25.0066,1995,9,LBR
287.101,25.4708,1995,10,LBR
72.1492,26.0316,1995,11,LBR
77.6009,24.6793,1995,12,LBR
33.707,25.8281,1996,1,LBR
112.058,25.9648,1996,2,LBR
78.8792,26.1803,1996,3,LBR
100.27,26.44,1996,4,LBR
290.8,26.5613,1996,5,LBR
337.28,25.793,1996,6,LBR
379.983,24.6765,1996,7,LBR
417.883,24.3553,1996,8,LBR
386.857,24.751,1996,9,LBR
166.796,25.3529,1996,10,LBR
76.4384,25.9135,1996,11,LBR
72.3705,25.5036,1996,12,LBR
39.5671,26.0487,1997,1,LBR
40.7,25.6962,1997,2,LBR
80.4266,27.1538,1997,3,LBR
108.358,26.0808,1997,4,LBR
185.615,26.1483,1997,5,LBR
206.919,25.2222,1997,6,LBR
228.839,24.2611,1997,7,LBR
395.814,24.2295,1997,8,LBR
369.725,25.2696,1997,9,LBR
203.779,26.0284,1997,10,LBR
99.0899,26.0325,1997,11,LBR
20.4288,25.4616,1997,12,LBR
28.1885,25.7709,1998,1,LBR
24.2689,27.5059,1998,2,LBR
61.7193,28.1207,1998,3,LBR
186.348,27.5858,1998,4,LBR
217.881,26.8311,1998,5,LBR
348.072,25.8847,1998,6,LBR
366.151,24.8457,1998,7,LBR
407.033,24.2556,1998,8,LBR
437.689,24.9111,1998,9,LBR
264.578,25.768,1998,10,LBR
88.6383,26.3767,1998,11,LBR
56.7238,25.6276,1998,12,LBR
86.3968,25.7643,1999,1,LBR
74.7922,25.8053,1999,2,LBR
109.036,26.6638,1999,3,LBR
81.3324,26.2723,1999,4,LBR
199.394,26.5126,1999,5,LBR
459.223,25.4572,1999,6,LBR
467.633,24.8089,1999,7,LBR
308.43,24.4145,1999,8,LBR
343.537,24.866,1999,9,LBR
419.3,25.0364,1999,10,LBR
154.943,25.8934,1999,11,LBR
26.2797,25.4935,1999,12,LBR
37.0542,26.038,2000,1,LBR
31.1087,25.786,2000,2,LBR
59.7753,26.7836,2000,3,LBR
108.194,26.7964,2000,4,LBR
402.988,26.2121,2000,5,LBR
293.475,25.5123,2000,6,LBR
256.796,24.2382,2000,7,LBR
322.436,24.3733,2000,8,LBR
327.624,24.6365,2000,9,LBR
391.43,25.1398,2000,10,LBR
114.514,25.8986,2000,11,LBR
44.5955,25.2609,2000,12,LBR
20.2635,25.0854,2001,1,LBR
70.9539,25.7128,2001,2,LBR
83.4827,26.9508,2001,3,LBR
107.749,26.6518,2001,4,LBR
248.687,26.2495,2001,5,LBR
376.786,25.6079,2001,6,LBR
465.452,24.1041,2001,7,LBR
334.944,24.1233,2001,8,LBR
373.337,24.6989,2001,9,LBR
232.759,26.0766,2001,10,LBR
163.507,26.0664,2001,11,LBR
52.0107,25.1232,2001,12,LBR
57.3577,25.5492,2002,1,LBR
59.8845,26.2588,2002,2,LBR
85.7713,26.6849,2002,3,LBR
104.795,26.5829,2002,4,LBR
231.667,26.7081,2002,5,LBR
462.194,25.5814,2002,6,LBR
392.476,24.4171,2002,7,LBR
319.299,24.2583,2002,8,LBR
364.308,24.972,2002,9,LBR
262.159,25.0645,2002,10,LBR
106.777,25.4139,2002,11,LBR
19.0179,25.5029,2002,12,LBR
20.2677,25.5318,2003,1,LBR
111.486,26.5318,2003,2,LBR
81.9629,26.9511,2003,3,LBR
169.971,26.8074,2003,4,LBR
305.939,26.8325,2003,5,LBR
366.305,25.5404,2003,6,LBR
222.69,24.5266,2003,7,LBR
303.642,24.4011,2003,8,LBR
427.278,24.331,2003,9,LBR
314.074,26.1044,2003,10,LBR
158.609,25.8867,2003,11,LBR
31.778,25.8394,2003,12,LBR
14.2892,25.8152,2004,1,LBR
47.294,26.4201,2004,2,LBR
84.8259,27.3247,2004,3,LBR
150.861,26.6037,2004,4,LBR
293.51,26.395,2004,5,LBR
236.19,24.9603,2004,6,LBR
482.337,24.2148,2004,7,LBR
299.236,24.22,2004,8,LBR
385.595,24.9592,2004,9,LBR
317.909,25.9716,2004,10,LBR
202.186,25.9673,2004,11,LBR
83.4523,26.7967,2004,12,LBR
17.7738,25.928,2005,1,LBR
46.8191,27.0263,2005,2,LBR
75.1409,27.6911,2005,3,LBR
176.539,26.9125,2005,4,LBR
207.737,26.6066,2005,5,LBR
181.844,25.9645,2005,6,LBR
312.791,24.3815,2005,7,LBR
305.103,24.336,2005,8,LBR
367.185,25.4118,2005,9,LBR
279.236,25.8609,2005,10,LBR
110.992,26.3245,2005,11,LBR
50.664,26.1771,2005,12,LBR
22.8209,25.8263,2006,1,LBR
59.6629,26.6986,2006,2,LBR
95.5743,26.7845,2006,3,LBR
110.099,26.86,2006,4,LBR
355.211,26.1624,2006,5,LBR
346.322,26.1484,2006,6,LBR
314.761,24.8067,2006,7,LBR
390.395,24.4762,2006,8,LBR
547.98,25.1294,2006,9,LBR
287.419,25.6546,2006,10,LBR
119.242,25.979,2006,11,LBR
52.0461,25.3136,2006,12,LBR
22.6539,25.675,2007,1,LBR
48.6677,26.6609,2007,2,LBR
123.249,27.3664,2007,3,LBR
151.495,26.6694,2007,4,LBR
225.948,26.7119,2007,5,LBR
306.428,25.5636,2007,6,LBR
338.129,24.6866,2007,7,LBR
344.875,23.9476,2007,8,LBR
383.334,24.9447,2007,9,LBR
235.183,25.5109,2007,10,LBR
133.005,25.9335,2007,11,LBR
41.0732,25.7682,2007,12,LBR
20.5555,24.6448,2008,1,LBR
53.5365,26.311,2008,2,LBR
105.627,27.0147,2008,3,LBR
163.218,26.2844,2008,4,LBR
275.845,26.2153,2008,5,LBR
347.456,25.1179,2008,6,LBR
327.982,23.8317,2008,7,LBR
347.332,23.6285,2008,8,LBR
386.28,24.6899,2008,9,LBR
296.04,24.6549,2008,10,LBR
100.88,25.8177,2008,11,LBR
53.031,25.212,2008,12,LBR
20.2589,24.7637,2009,1,LBR
53.6034,26.596,2009,2,LBR
90.6114,26.9574,2009,3,LBR
167.47,26.9182,2009,4,LBR
243.575,26.0246,2009,5,LBR
337.304,25.404,2009,6,LBR
298.419,24.6203,2009,7,LBR
