pr,tas,	Year, Month, Country
0.25904,21.8079,1991,1,MRT
0.21538,22.0687,1991,2,MRT
0.10289,24.499,1991,3,MRT
0.20195,28.1717,1991,4,MRT
0.49428,30.9966,1991,5,MRT
4.45945,34.0778,1991,6,MRT
14.4806,33.46,1991,7,MRT
32.6963,32.5324,1991,8,MRT
13.691,31.6417,1991,9,MRT
2.53817,28.8859,1991,10,MRT
0.16515,25.646,1991,11,MRT
0.42002,21.695,1991,12,MRT
0.19486,19.1378,1992,1,MRT
1.34937,23.5003,1992,2,MRT
0.03385,23.9246,1992,3,MRT
0.09464,28.0707,1992,4,MRT
0.18273,32.3895,1992,5,MRT
6.48657,33.3234,1992,6,MRT
21.224,33.2761,1992,7,MRT
29.0006,31.8151,1992,8,MRT
20.5899,31.9621,1992,9,MRT
2.51444,28.8312,1992,10,MRT
0.39509,24.4231,1992,11,MRT
0.88338,21.3585,1992,12,MRT
1.47688,20.1778,1993,1,MRT
0.64488,22.225,1993,2,MRT
0.7477,26.4709,1993,3,MRT
0.07284,26.9327,1993,4,MRT
0.15721,31.927,1993,5,MRT
7.59225,34.1932,1993,6,MRT
22.0802,33.7164,1993,7,MRT
27.9702,32.5495,1993,8,MRT
23.5107,31.069,1993,9,MRT
5.04634,29.6353,1993,10,MRT
1.03766,24.7327,1993,11,MRT
0.20585,20.3616,1993,12,MRT
0.14261,19.0388,1994,1,MRT
0.06482,22.0882,1994,2,MRT
0.03954,24.897,1994,3,MRT
0.08243,28.7389,1994,4,MRT
0.36812,31.7039,1994,5,MRT
4.75686,34.0293,1994,6,MRT
18.5492,32.9608,1994,7,MRT
33.2806,32.2287,1994,8,MRT
31.5934,29.9136,1994,9,MRT
11.2795,28.9404,1994,10,MRT
0.24476,26.2962,1994,11,MRT
0.15881,21.0242,1994,12,MRT
0.10926,19.0527,1995,1,MRT
0.11468,22.8423,1995,2,MRT
0.17142,25.0783,1995,3,MRT
1.0132,27.701,1995,4,MRT
0.30155,32.7742,1995,5,MRT
2.80515,34.839,1995,6,MRT
23.3895,34.4912,1995,7,MRT
41.3443,32.5837,1995,8,MRT
32.114,31.1362,1995,9,MRT
0.43022,29.9339,1995,10,MRT
1.24829,26.6919,1995,11,MRT
1.50233,21.0756,1995,12,MRT
0.53517,20.5136,1996,1,MRT
1.01611,24.0446,1996,2,MRT
0.66784,25.0305,1996,3,MRT
0.44814,28.904,1996,4,MRT
0.62567,31.5524,1996,5,MRT
4.67483,34.3019,1996,6,MRT
16.241,34.2473,1996,7,MRT
34.3703,32.2749,1996,8,MRT
9.81458,31.6735,1996,9,MRT
4.29899,29.9452,1996,10,MRT
0.83291,25.0925,1996,11,MRT
0.90895,21.7629,1996,12,MRT
0.81709,21.8549,1997,1,MRT
