pr,tas,	Year, Month, Country
0.35835,24.8543,1991,1,NGA
11.0942,28.6178,1991,2,NGA
34.7747,29.3885,1991,3,NGA
98.2542,30.1904,1991,4,NGA
190.983,27.7336,1991,5,NGA
158.613,27.5203,1991,6,NGA
212.783,25.7084,1991,7,NGA
255.926,25.1858,1991,8,NGA
135.572,26.7176,1991,9,NGA
92.7221,26.6561,1991,10,NGA
6.28736,25.9018,1991,11,NGA
2.05253,24.5467,1991,12,NGA
0.25546,23.8053,1992,1,NGA
1.58996,26.2451,1992,2,NGA
31.2539,29.7608,1992,3,NGA
66.7433,30.2265,1992,4,NGA
135.833,28.5195,1992,5,NGA
136.87,27.2332,1992,6,NGA
216.393,25.3853,1992,7,NGA
213.446,24.7836,1992,8,NGA
217.557,25.6251,1992,9,NGA
66.5882,26.5467,1992,10,NGA
16.2195,25.463,1992,11,NGA
1.68221,24.5623,1992,12,NGA
1.084,23.4309,1993,1,NGA
7.06691,26.6646,1993,2,NGA
38.7856,29.2289,1993,3,NGA
52.2833,29.9883,1993,4,NGA
112.794,29.4174,1993,5,NGA
161.142,27.7,1993,6,NGA
211.936,26.0987,1993,7,NGA
234.396,25.4511,1993,8,NGA
178.974,26.0431,1993,9,NGA
65.4361,27.5346,1993,10,NGA
19.8015,27.1177,1993,11,NGA
5.52865,24.7621,1993,12,NGA
9.06,24.6346,1994,1,NGA
2.40061,26.5896,1994,2,NGA
18.3815,29.9667,1994,3,NGA
90.2335,30.2273,1994,4,NGA
108.272,29.3028,1994,5,NGA
144.787,27.3788,1994,6,NGA
184.831,25.5564,1994,7,NGA
270.943,24.6358,1994,8,NGA
234.435,25.4589,1994,9,NGA
128.311,26.7681,1994,10,NGA
11.2401,25.9246,1994,11,NGA
1.56251,23.4845,1994,12,NGA
3.99429,24.0455,1995,1,NGA
6.86151,25.7855,1995,2,NGA
42.1441,29.7504,1995,3,NGA
71.577,30.1614,1995,4,NGA
112.37,29.134,1995,5,NGA
162.933,27.5941,1995,6,NGA
220.925,27.2122,1995,7,NGA
252.086,25.6431,1995,8,NGA
165.974,26.0379,1995,9,NGA
108.317,27.1694,1995,10,NGA
15.9383,25.7477,1995,11,NGA
4.27483,25.5909,1995,12,NGA
1.35521,25.9023,1996,1,NGA
14.5175,28.2856,1996,2,NGA
41.0229,30.1648,1996,3,NGA
87.0995,29.743,1996,4,NGA
132.946,28.7761,1996,5,NGA
168.062,26.799,1996,6,NGA
203.164,26.6398,1996,7,NGA
250.832,25.3041,1996,8,NGA
229.843,25.7114,1996,9,NGA
105.854,26.7522,1996,10,NGA
9.73792,25.1075,1996,11,NGA
3.38183,24.9242,1996,12,NGA
3.49809,25.4432,1997,1,NGA
0.56078,25.318,1997,2,NGA
37.2755,28.8423,1997,3,NGA
103.766,29.4383,1997,4,NGA
136.015,28.276,1997,5,NGA
185.397,27.3517,1997,6,NGA
171.891,26.0235,1997,7,NGA
193.691,25.7633,1997,8,NGA
202.016,26.9954,1997,9,NGA
132.411,27.8386,1997,10,NGA
23.7833,27.2887,1997,11,NGA
6.00178,24.8832,1997,12,NGA
4.56984,25.0129,1998,1,NGA
6.64335,28.2701,1998,2,NGA
25.8793,29.3572,1998,3,NGA
71.0409,31.4142,1998,4,NGA
122.862,30.0704,1998,5,NGA
162.386,28.1654,1998,6,NGA
200.251,27.3681,1998,7,NGA
224.764,25.7949,1998,8,NGA
211.694,25.952,1998,9,NGA
105.137,27.4734,1998,10,NGA
12.7069,27.1857,1998,11,NGA
3.43056,25.5322,1998,12,NGA
3.88754,25.3643,1999,1,NGA
12.5177,27.9331,1999,2,NGA
21.1891,30.45,1999,3,NGA
52.983,30.0933,1999,4,NGA
97.4752,28.8983,1999,5,NGA
144.692,27.9076,1999,6,NGA
231.806,25.8031,1999,7,NGA
249.911,24.8734,1999,8,NGA
229.706,25.4602,1999,9,NGA
170.603,26.0793,1999,10,NGA
13.2023,26.8005,1999,11,NGA
1.08177,26.7329,1999,12,NGA
1.17602,24.6828,2000,1,NGA
0.72724,25.4991,2000,2,NGA
14.8617,28.7886,2000,3,NGA
42.3901,30.363,2000,4,NGA
117.08,29.8086,2000,5,NGA
182.603,27.456,2000,6,NGA
224.765,25.9919,2000,7,NGA
246.811,25.73,2000,8,NGA
196.736,25.9278,2000,9,NGA
116.467,26.6015,2000,10,NGA
5.38401,26.5275,2000,11,NGA
1.65342,24.4234,2000,12,NGA
0.90891,24.3689,2001,1,NGA
5.78595,26.3133,2001,2,NGA
20.1659,29.2764,2001,3,NGA
63.722,30.3685,2001,4,NGA
106.827,29.0643,2001,5,NGA
166.772,27.409,2001,6,NGA
193.902,26.2646,2001,7,NGA
224.716,25.0302,2001,8,NGA
200.308,25.5715,2001,9,NGA
74.4732,26.5948,2001,10,NGA
7.96847,27.6437,2001,11,NGA
2.74931,25.9199,2001,12,NGA
6.99346,23.9141,2002,1,NGA
5.33087,26.8108,2002,2,NGA
27.0027,29.5088,2002,3,NGA
