pr,tas,	Year, Month, Country
1.53741,20.906,1991,1,SDN
4.7577,23.9468,1991,2,SDN
4.84625,26.4158,1991,3,SDN
37.2155,29.3589,1991,4,SDN
56.0692,29.8806,1991,5,SDN
63.8455,30.1594,1991,6,SDN
88.6244,29.0861,1991,7,SDN
102.681,28.4996,1991,8,SDN
51.6378,29.3292,1991,9,SDN
42.6235,28.4019,1991,10,SDN
5.85367,25.3634,1991,11,SDN
0.74294,21.128,1991,12,SDN
0.7793,20.8612,1992,1,SDN
0.8771,21.1023,1992,2,SDN
2.61938,26.6221,1992,3,SDN
17.7956,29.116,1992,4,SDN
27.9144,29.2699,1992,5,SDN
49.9848,30.0929,1992,6,SDN
80.818,23.829,1992,7,SDN
117.064,27.8557,1992,8,SDN
47.9879,27.8266,1992,9,SDN
49.0618,27.7734,1992,10,SDN
11.1312,15.5558,1992,11,SDN
2.87225,12.8598,1992,12,SDN
2.464,12.1641,1993,1,SDN
1.46356,12.6414,1993,2,SDN
3.50822,26.5878,1993,3,SDN
33.6917,29.2739,1993,4,SDN
54.8165,29.8311,1993,5,SDN
55.7499,29.3968,1993,6,SDN
74.1863,29.5024,1993,7,SDN
108.367,29.7555,1993,8,SDN
61.7793,19.4094,1993,9,SDN
18.5135,28.8811,1993,10,SDN
5.58642,27.3682,1993,11,SDN
1.86695,11.8559,1993,12,SDN
1.17651,22.7414,1994,1,SDN
0.4523,23.1013,1994,2,SDN
2.27332,25.2702,1994,3,SDN
16.7758,23.1336,1994,4,SDN
52.1242,30.2351,1994,5,SDN
52.097,29.2352,1994,6,SDN
111.402,28.2633,1994,7,SDN
121.633,28.1292,1994,8,SDN
63.2616,28.0098,1994,9,SDN
30.425,28.6216,1994,10,SDN
8.23346,20.3568,1994,11,SDN
1.0986,21.1507,1994,12,SDN
1.51699,22.9708,1995,1,SDN
1.76121,23.2453,1995,2,SDN
8.73051,27.0632,1995,3,SDN
25.1173,29.0294,1995,4,SDN
36.4174,30.207,1995,5,SDN
63.8268,31.4228,1995,6,SDN
91.9905,29.0876,1995,7,SDN
91.8674,29.3233,1995,8,SDN
69.9483,29.2893,1995,9,SDN
36.6994,28.9278,1995,10,SDN
5.34377,24.4638,1995,11,SDN
2.615,21.9821,1995,12,SDN
2.79939,22.7669,1996,1,SDN
2.82073,24.2437,1996,2,SDN
13.9154,27.24,1996,3,SDN
21.7551,28.7563,1996,4,SDN
44.97,31.0967,1996,5,SDN
57.3839,29.9748,1996,6,SDN
81.7723,29.5822,1996,7,SDN
87.7201,29.0297,1996,8,SDN
67.1772,29.7552,1996,9,SDN
31.7362,28.8357,1996,10,SDN
5.24322,24.9129,1996,11,SDN
1.10008,23.1779,1996,12,SDN
1.39502,14.4531,1997,1,SDN
0.80956,22.0756,1997,2,SDN
5.05501,27.4351,1997,3,SDN
31.1515,30.0385,1997,4,SDN
38.3232,30.888,1997,5,SDN
48.9754,30.2422,1997,6,SDN
90.9339,29.5117,1997,7,SDN
90.0633,29.2622,1997,8,SDN
53.3358,30.4145,1997,9,SDN
46.1377,29.6041,1997,10,SDN
12.9106,26.5159,1997,11,SDN
3.4034,23.1489,1997,12,SDN
1.94577,22.3108,1998,1,SDN
1.00049,24.0334,1998,2,SDN
4.86561,26.2227,1998,3,SDN
18.7446,30.5542,1998,4,SDN
29.3397,31.6112,1998,5,SDN
42.3612,30.8873,1998,6,SDN
93.3208,29.9745,1998,7,SDN
130.133,28.915,1998,8,SDN
68.1439,28.1887,1998,9,SDN
51.8429,28.4455,1998,10,SDN
4.26816,26.4603,1998,11,SDN
0.56624,24.1611,1998,12,SDN
1.12572,23.0939,1999,1,SDN
1.39769,25.9435,1999,2,SDN
3.18785,26.4402,1999,3,SDN
16.461,28.9499,1999,4,SDN
46.2757,30.7072,1999,5,SDN
58.0711,30.1364,1999,6,SDN
92.5579,29.0237,1999,7,SDN
130.921,28.3846,1999,8,SDN
85.2481,28.7525,1999,9,SDN
64.191,27.702,1999,10,SDN
2.61359,25.5898,1999,11,SDN
1.48052,23.337,1999,12,SDN
0.44556,22.7292,2000,1,SDN
0.48768,23.5971,2000,2,SDN
1.67073,25.7945,2000,3,SDN
17.8811,29.9607,2000,4,SDN
46.6607,31.152,2000,5,SDN
49.5902,30.7969,2000,6,SDN
102.901,29.8776,2000,7,SDN
93.8294,29.5267,2000,8,SDN
63.3664,29.1555,2000,9,SDN
48.5084,27.8324,2000,10,SDN
6.7139,25.4643,2000,11,SDN
1.19074,22.8511,2000,12,SDN
0.94021,22.0031,2001,1,SDN
1.5501,24.0444,2001,2,SDN
2.8527,27.8023,2001,3,SDN
27.0587,30.7576,2001,4,SDN
39.9183,31.5094,2001,5,SDN
58.1616,30.2014,2001,6,SDN
90.6047,29.6473,2001,7,SDN
82.6763,29.3061,2001,8,SDN
53.5621,28.9303,2001,9,SDN
45.5166,28.6337,2001,10,SDN
8.44429,25.8672,2001,11,SDN
1.71471,23.7485,2001,12,SDN
0.82702,20.6652,2002,1,SDN
2.90899,25.4104,2002,2,SDN
11.2815,27.6941,2002,3,SDN
12.359,30.505,2002,4,SDN
20.6977,31.0065,2002,5,SDN
50.3849,30.8634,2002,6,SDN
77.9671,30.6354,2002,7,SDN
93.7194,30.0188,2002,8,SDN
58.7039,30.1258,2002,9,SDN
57.9533,28.8962,2002,10,SDN
11.4942,26.5891,2002,11,SDN
5.20052,23.029,2002,12,SDN
1.51826,23.3796,2003,1,SDN
3.52696,24.6245,2003,2,SDN
8.18033,26.9254,2003,3,SDN
16.0954,30.2623,2003,4,SDN
39.2755,31.8282,2003,5,SDN
64.561,31.1409,2003,6,SDN
106.886,29.6525,2003,7,SDN
129.221,29.4871,2003,8,SDN
60.8645,29.604,2003,9,SDN
31.7991,29.6544,2003,10,SDN
12.165,26.3822,2003,11,SDN
2.12991,23.9267,2003,12,SDN
2.81772,23.618,2004,1,SDN
0.73936,24.4602,2004,2,SDN
2.84416,27.5948,2004,3,SDN
29.4599,30.1879,2004,4,SDN
26.9522,32.3174,2004,5,SDN
50.038,30.8311,2004,6,SDN
69.7341,30.3405,2004,7,SDN
97.0166,29.8742,2004,8,SDN
51.4077,29.3982,2004,9,SDN
32.439,29.4561,2004,10,SDN
11.0306,26.2815,2004,11,SDN
2.33489,23.1201,2004,12,SDN
0.57794,21.9567,2005,1,SDN
0.83805,27.0262,2005,2,SDN
4.08503,27.8756,2005,3,SDN
16.1028,30.7286,2005,4,SDN
46.9567,31.0546,2005,5,SDN
50.7298,31.2579,2005,6,SDN
103.849,29.7905,2005,7,SDN
103.187,29.7458,2005,8,SDN
61.339,29.8315,2005,9,SDN
24.4463,28.7404,2005,10,SDN
2.48265,26.0302,2005,11,SDN
0.8636,25.6325,2005,12,SDN
0.44639,24.1583,2006,1,SDN
1.33502,26.208,2006,2,SDN
12.5914,27.6863,2006,3,SDN
14.963,29.6671,2006,4,SDN
50.7896,31.1601,2006,5,SDN
58.3455,31.2357,2006,6,SDN
81.0517,30.2521,2006,7,SDN
113.478,29.8074,2006,8,SDN
83.1151,29.3292,2006,9,SDN
40.6718,29.0268,2006,10,SDN
4.96037,25.0242,2006,11,SDN
3.45623,22.2996,2006,12,SDN
0.55751,21.7853,2007,1,SDN
0.97709,25.0484,2007,2,SDN
5.3474,28.1738,2007,3,SDN
16.4035,30.9902,2007,4,SDN
37.8812,32.5149,2007,5,SDN
78.872,30.824,2007,6,SDN
122.581,29.4426,2007,7,SDN
148.052,29.2743,2007,8,SDN
56.6673,28.9711,2007,9,SDN
25.2724,29.3337,2007,10,SDN
13.7136,26.7776,2007,11,SDN
0.78088,24.7024,2007,12,SDN
1.8931,23.3393,2008,1,SDN
0.73737,24.1808,2008,2,SDN
4.88803,29.1267,2008,3,SDN
30.3367,30.3692,2008,4,SDN
31.8057,31.2753,2008,5,SDN
72.4267,31.3536,2008,6,SDN
88.4728,30.2265,2008,7,SDN
106.484,29.8178,2008,8,SDN
74.0363,29.8092,2008,9,SDN
33.4557,28.5621,2008,10,SDN
5.6023,26.879,2008,11,SDN
0.85749,24.5288,2008,12,SDN
0.74135,24.4437,2009,1,SDN
3.43837,26.1722,2009,2,SDN
3.81575,27.2512,2009,3,SDN
18.1068,31.5604,2009,4,SDN
19.0754,31.2572,2009,5,SDN
30.5991,31.808,2009,6,SDN
93.6492,30.7322,2009,7,SDN
87.5237,29.9934,2009,8,SDN
59.364,30.641,2009,9,SDN
29.0242,29.861,2009,10,SDN
6.53088,25.9142,2009,11,SDN
2.81609,24.1242,2009,12,SDN
1.82242,24.5067,2010,1,SDN
3.63364,25.7874,2010,2,SDN
10.2926,28.9284,2010,3,SDN
14.3255,31.3899,2010,4,SDN
33.5368,32.2106,2010,5,SDN
62.8566,31.7307,2010,6,SDN
116.821,30.1124,2010,7,SDN
106.501,29.923,2010,8,SDN
57.4918,30.3053,2010,9,SDN
50.101,30.0614,2010,10,SDN
11.5181,27.851,2010,11,SDN
3.25924,24.5407,2010,12,SDN
1.1221,22.5355,2011,1,SDN
1.06333,26.2079,2011,2,SDN
8.52142,27.4747,2011,3,SDN
15.2903,30.0036,2011,4,SDN
53.8847,31.0598,2011,5,SDN
39.6325,31.6312,2011,6,SDN
77.0626,30.6361,2011,7,SDN
98.3952,29.447,2011,8,SDN
74.9478,29.1418,2011,9,SDN
31.3997,17.8526,2011,10,SDN
8.15155,14.6254,2011,11,SDN
1.70111,13.0383,2011,12,SDN
1.20704,22.0036,2012,1,SDN
1.37048,26.1573,2012,2,SDN
6.11999,26.5029,2012,3,SDN
14.472,30.2694,2012,4,SDN
45.8182,32.085,2012,5,SDN
51.4759,31.4066,2012,6,SDN
92.8789,29.8179,2012,7,SDN
115.059,29.0046,2012,8,SDN
66.1702,29.2389,2012,9,SDN
34.5725,29.4348,2012,10,SDN
7.11918,26.9416,2012,11,SDN
3.82202,23.3196,2012,12,SDN
1.24039,23.6682,2013,1,SDN
2.02962,26.1592,2013,2,SDN
6.61715,28.8333,2013,3,SDN
18.7689,19.3513,2013,4,SDN
42.399,31.9609,2013,5,SDN
50.5219,31.3649,2013,6,SDN
83.9117,30.3908,2013,7,SDN
138.494,28.7051,2013,8,SDN
65.6115,29.5956,2013,9,SDN
35.8225,20.0579,2013,10,SDN
6.43521,26.8882,2013,11,SDN
1.97397,14.6519,2013,12,SDN
1.12112,13.7526,2014,1,SDN
1.8881,24.4619,2014,2,SDN
7.56782,28.7808,2014,3,SDN
26.715,30.9307,2014,4,SDN
42.8791,31.5177,2014,5,SDN
57.2658,31.2794,2014,6,SDN
98.2351,29.9487,2014,7,SDN
119.739,29.2527,2014,8,SDN
72.963,29.2783,2014,9,SDN
33.284,28.6452,2014,10,SDN
6.39779,26.0519,2014,11,SDN
2.56039,17.3814,2014,12,SDN
0.9291,22.4219,2015,1,SDN
1.96526,26.7283,2015,2,SDN
6.6983,28.9469,2015,3,SDN
16.8786,29.0156,2015,4,SDN
29.5791,30.6953,2015,5,SDN
50.5736,31.6268,2015,6,SDN
74.2411,31.0571,2015,7,SDN
107.58,30.2864,2015,8,SDN
62.9109,30.6125,2015,9,SDN
44.3364,30.143,2015,10,SDN
6.96714,26.369,2015,11,SDN
3.32572,21.8331,2015,12,SDN
