pr,tas,	Year, Month, Country
7.6961,24.2441,1991,1,CAF
23.0429,26.8555,1991,2,CAF
42.0916,27.4163,1991,3,CAF
126.623,27.1571,1991,4,CAF
165.588,25.0958,1991,5,CAF
148.673,25.0374,1991,6,CAF
208.008,24.1974,1991,7,CAF
238.84,23.6905,1991,8,CAF
174.022,24.8968,1991,9,CAF
199.495,24.5736,1991,10,CAF
40.8116,24.1433,1991,11,CAF
2.20764,23.3424,1991,12,CAF
3.30626,23.6557,1992,1,CAF
8.4741,25.0415,1992,2,CAF
55.9569,27.5285,1992,3,CAF
92.6422,27.1742,1992,4,CAF
141.051,25.3894,1992,5,CAF
188.935,24.5153,1992,6,CAF
190.389,21.0587,1992,7,CAF
244.123,23.061,1992,8,CAF
185.106,23.7104,1992,9,CAF
179.724,24.2775,1992,10,CAF
37.4753,18.1211,1992,11,CAF
4.48677,18.278,1992,12,CAF
7.48112,19.1191,1993,1,CAF
7.15693,20.3142,1993,2,CAF
33.6142,27.8438,1993,3,CAF
133.535,26.7856,1993,4,CAF
161.726,25.3702,1993,5,CAF
171.402,24.6819,1993,6,CAF
205.317,24.5436,1993,7,CAF
213.861,24.1612,1993,8,CAF
187.261,18.2454,1993,9,CAF
152.2,24.661,1993,10,CAF
41.9338,25.5582,1993,11,CAF
18.2915,18.0895,1993,12,CAF
12.6425,24.6255,1994,1,CAF
3.5287,25.4502,1994,2,CAF
26.5552,27.3121,1994,3,CAF
100.956,21.2277,1994,4,CAF
148.142,26.7299,1994,5,CAF
152.914,24.8263,1994,6,CAF
168.895,23.4286,1994,7,CAF
238.812,23.3065,1994,8,CAF
219.51,23.2454,1994,9,CAF
192.017,24.4517,1994,10,CAF
45.3543,23.8317,1994,11,CAF
3.37127,22.8104,1994,12,CAF
4.01655,23.6608,1995,1,CAF
7.09745,25.6912,1995,2,CAF
107.57,26.7604,1995,3,CAF
76.5264,26.5488,1995,4,CAF
168.659,26.099,1995,5,CAF
163.09,25.257,1995,6,CAF
204.014,24.2134,1995,7,CAF
211.757,24.4686,1995,8,CAF
227.778,24.094,1995,9,CAF
186.043,24.9091,1995,10,CAF
15.7571,24.0107,1995,11,CAF
4.83503,23.839,1995,12,CAF
9.81426,24.5728,1996,1,CAF
13.8062,26.2831,1996,2,CAF
93.403,26.9732,1996,3,CAF
112.424,26.7259,1996,4,CAF
164.1,25.8891,1996,5,CAF
173.492,24.7081,1996,6,CAF
205.225,24.3986,1996,7,CAF
241.302,23.9348,1996,8,CAF
193.917,24.4679,1996,9,CAF
171.867,24.6815,1996,10,CAF
10.8069,23.9316,1996,11,CAF
1.28832,24.2582,1996,12,CAF
7.54705,18.8912,1997,1,CAF
2.38778,25.48,1997,2,CAF
35.3566,28.0517,1997,3,CAF
146.506,27.7873,1997,4,CAF
128.556,26.8118,1997,5,CAF
213.596,24.917,1997,6,CAF
219.563,24.5185,1997,7,CAF
196.784,23.9963,1997,8,CAF
214.428,25.001,1997,9,CAF
159.592,25.9936,1997,10,CAF
45.6668,26.2495,1997,11,CAF
8.50342,24.5009,1997,12,CAF
7.97954,25.1563,1998,1,CAF
7.0786,26.8591,1998,2,CAF
18.8471,28.2204,1998,3,CAF
96.4261,28.6029,1998,4,CAF
139.504,27.0405,1998,5,CAF
161.213,25.4841,1998,6,CAF
235.035,24.9621,1998,7,CAF
264.888,23.8709,1998,8,CAF
245.749,24.1868,1998,9,CAF
198.509,24.5983,1998,10,CAF
46.0502,25.6433,1998,11,CAF
5.95923,25.1049,1998,12,CAF
9.06866,24.3514,1999,1,CAF
30.0946,26.8075,1999,2,CAF
28.9637,27.0923,1999,3,CAF
48.5755,27.1359,1999,4,CAF
120.76,25.7052,1999,5,CAF
166.544,24.4264,1999,6,CAF
183.139,23.8055,1999,7,CAF
309.561,23.2689,1999,8,CAF
239.699,23.6577,1999,9,CAF
296.983,23.9341,1999,10,CAF
29.2536,24.7724,1999,11,CAF
7.66093,24.2345,1999,12,CAF
10.6803,24.645,2000,1,CAF
3.37457,25.3772,2000,2,CAF
32.145,26.8963,2000,3,CAF
70.6958,27.6053,2000,4,CAF
107.269,26.5262,2000,5,CAF
170.012,24.9881,2000,6,CAF
194.217,24.2756,2000,7,CAF
213.378,24.4701,2000,8,CAF
253.469,24.091,2000,9,CAF
206.012,24.7849,2000,10,CAF
42.8136,24.9657,2000,11,CAF
9.52125,24.0246,2000,12,CAF
6.32404,23.8547,2001,1,CAF
14.9252,26.4264,2001,2,CAF
41.1243,27.3456,2001,3,CAF
91.8942,28.2059,2001,4,CAF
92.3077,27.1103,2001,5,CAF
124.711,24.8465,2001,6,CAF
178.091,24.2534,2001,7,CAF
