pr,tas,	Year, Month, Country
28.5952,8.83871,1991,1,IRQ
31.7852,10.0919,1991,2,IRQ
52.8908,15.2898,1991,3,IRQ
13.9721,22.4683,1991,4,IRQ
6.0514,25.5232,1991,5,IRQ
0.32244,31.3993,1991,6,IRQ
0.03198,32.8088,1991,7,IRQ
0.07355,33.2179,1991,8,IRQ
0.01792,29.8053,1991,9,IRQ
7.78671,23.8446,1991,10,IRQ
8.59611,17.4311,1991,11,IRQ
34.1063,9.72914,1991,12,IRQ
34.3023,6.48872,1992,1,IRQ
46.969,8.81584,1992,2,IRQ
34.8411,11.9722,1992,3,IRQ
9.92752,20.2024,1992,4,IRQ
22.443,25.8799,1992,5,IRQ
1.50573,30.434,1992,6,IRQ
0.03691,32.3521,1992,7,IRQ
0.47237,32.9957,1992,8,IRQ
0.0644,28.8425,1992,9,IRQ
0.13383,23.877,1992,10,IRQ
38.1631,15.8738,1992,11,IRQ
40.437,9.31327,1992,12,IRQ
25.9778,8.43735,1993,1,IRQ
28.7769,10.3106,1993,2,IRQ
21.2073,15.143,1993,3,IRQ
49.3165,20.9228,1993,4,IRQ
39.9299,25.2789,1993,5,IRQ
1.30445,31.4146,1993,6,IRQ
0.59684,34.1171,1993,7,IRQ
0.31685,33.327,1993,8,IRQ
0.01961,29.9699,1993,9,IRQ
8.13139,24.3772,1993,10,IRQ
13.6868,15.0808,1993,11,IRQ
24.4113,8.98595,1993,12,IRQ
33.3876,11.7381,1994,1,IRQ
18.517,11.4848,1994,2,IRQ
30.7475,16.1265,1994,3,IRQ
18.2935,23.6146,1994,4,IRQ
7.44994,27.7189,1994,5,IRQ
0.8409,31.7468,1994,6,IRQ
0.02863,33.151,1994,7,IRQ
0.07302,33.6017,1994,8,IRQ
1.43497,30.4655,1994,9,IRQ
14.415,25.6735,1994,10,IRQ
71.4124,17.1168,1994,11,IRQ
29.476,8.35089,1994,12,IRQ
12.6438,10.6955,1995,1,IRQ
43.2157,12.6373,1995,2,IRQ
15.0624,15.7672,1995,3,IRQ
27.0932,20.8536,1995,4,IRQ
9.62341,27.656,1995,5,IRQ
1.87411,32.0396,1995,6,IRQ
0.08251,33.4341,1995,7,IRQ
0.07251,33.8955,1995,8,IRQ
1.56462,29.2622,1995,9,IRQ
0.56165,24.2619,1995,10,IRQ
8.13631,15.4608,1995,11,IRQ
19.0829,9.66406,1995,12,IRQ
47.6143,9.97539,1996,1,IRQ
31.5895,12.8518,1996,2,IRQ
57.6552,15.6235,1996,3,IRQ
28.6755,21.5023,1996,4,IRQ
5.19808,28.3189,1996,5,IRQ
0.04858,31.8585,1996,6,IRQ
0.77682,35.103,1996,7,IRQ
0.07556,34.2808,1996,8,IRQ
0.44924,30.7689,1996,9,IRQ
1.66272,23.4308,1996,10,IRQ
15.4031,16.1001,1996,11,IRQ
37.3163,13.8141,1996,12,IRQ
33.1987,10.1755,1997,1,IRQ
18.1286,9.46535,1997,2,IRQ
46.6248,12.7406,1997,3,IRQ
15.5973,20.3336,1997,4,IRQ
3.9383,27.2238,1997,5,IRQ
0.35495,31.8843,1997,6,IRQ
0.14874,33.3957,1997,7,IRQ
0.07251,32.5372,1997,8,IRQ
0.15045,29.0978,1997,9,IRQ
12.4067,25.0561,1997,10,IRQ
34.4507,16.6408,1997,11,IRQ
26.8518,11.5375,1997,12,IRQ
52.8723,8.62164,1998,1,IRQ
22.1196,9.78062,1998,2,IRQ
43.025,14.4226,1998,3,IRQ
14.9305,21.9616,1998,4,IRQ
11.2506,28.3726,1998,5,IRQ
0.79383,33.7095,1998,6,IRQ
0.62552,35.1003,1998,7,IRQ
0.12718,35.1719,1998,8,IRQ
0.31872,30.8453,1998,9,IRQ
0.20606,24.5733,1998,10,IRQ
3.74465,19.7184,1998,11,IRQ
8.68424,14.0672,1998,12,IRQ
30.1846,10.9295,1999,1,IRQ
26.8848,13.4128,1999,2,IRQ
21.4792,15.6656,1999,3,IRQ
9.95868,22.024,1999,4,IRQ
1.39752,28.9917,1999,5,IRQ
0.12422,32.8118,1999,6,IRQ
0.38127,34.3019,1999,7,IRQ
1.45577,34.8736,1999,8,IRQ
0.18446,30.3247,1999,9,IRQ
5.82028,25.4091,1999,10,IRQ
7.86535,16.3434,1999,11,IRQ
20.202,11.5296,1999,12,IRQ
40.8145,9.41954,2000,1,IRQ
15.1551,10.7669,2000,2,IRQ
15.0308,14.6744,2000,3,IRQ
13.9598,23.3902,2000,4,IRQ
2.06675,28.0037,2000,5,IRQ
0.54068,32.2703,2000,6,IRQ
0.02623,36.0901,2000,7,IRQ
0.64417,34.6373,2000,8,IRQ
1.15919,29.7325,2000,9,IRQ
9.26005,23.0492,2000,10,IRQ
18.8648,15.5964,2000,11,IRQ
46.8192,11.3938,2000,12,IRQ
32.6874,9.57329,2001,1,IRQ
25.9268,11.8031,2001,2,IRQ
23.52,18.3639,2001,3,IRQ
34.3889,22.2975,2001,4,IRQ
10.2442,26.9243,2001,5,IRQ
0.12381,31.8088,2001,6,IRQ
0.33428,34.8813,2001,7,IRQ
0.1407,35.2865,2001,8,IRQ
0.86185,30.3661,2001,9,IRQ
3.55007,24.6737,2001,10,IRQ
7.28941,15.5627,2001,11,IRQ
44.4741,13.0392,2001,12,IRQ
44.282,8.97447,2002,1,IRQ
20.3785,12.52,2002,2,IRQ
28.0304,16.9794,2002,3,IRQ
36.4966,20.8162,2002,4,IRQ
6.34867,27.2086,2002,5,IRQ
0.06816,31.9903,2002,6,IRQ
0.13298,34.1791,2002,7,IRQ
0.06617,33.6381,2002,8,IRQ
0.20993,30.5434,2002,9,IRQ
7.77008,26.1897,2002,10,IRQ
30.9228,16.4452,2002,11,IRQ
42.3109,10.0475,2002,12,IRQ
32.1056,10.475,2003,1,IRQ
34.3025,11.9003,2003,2,IRQ
36.8401,14.5509,2003,3,IRQ
13.0259,21.2936,2003,4,IRQ
5.69958,28.5332,2003,5,IRQ
1.04767,32.2251,2003,6,IRQ
0.07997,34.3124,2003,7,IRQ
0.14142,34.8856,2003,8,IRQ
0.02238,29.9135,2003,9,IRQ
5.54793,25.7198,2003,10,IRQ
27.3816,15.9413,2003,11,IRQ
55.9551,10.6535,2003,12,IRQ
58.2511,11.1647,2004,1,IRQ
33.0243,12.3057,2004,2,IRQ
11.7125,17.9129,2004,3,IRQ
21.6369,20.4024,2004,4,IRQ
12.2991,26.6584,2004,5,IRQ
0.19897,31.7825,2004,6,IRQ
1.27937,34.0872,2004,7,IRQ
0.0646,33.5191,2004,8,IRQ
0.02173,30.1749,2004,9,IRQ
1.18359,25.6531,2004,10,IRQ
24.6146,16.4048,2004,11,IRQ
23.0558,8.40255,2004,12,IRQ
35.5429,9.01235,2005,1,IRQ
29.1925,10.743,2005,2,IRQ
39.9139,15.8921,2005,3,IRQ
24.4664,22.3184,2005,4,IRQ
9.76458,26.9288,2005,5,IRQ
0.32903,31.6043,2005,6,IRQ
0.15083,34.8865,2005,7,IRQ
0.78561,34.4808,2005,8,IRQ
0.05414,29.422,2005,9,IRQ
1.68895,23.5064,2005,10,IRQ
20.3005,15.6984,2005,11,IRQ
28.4047,13.8121,2005,12,IRQ
37.553,9.71042,2006,1,IRQ
65.2759,12.7811,2006,2,IRQ
10.9896,16.9283,2006,3,IRQ
38.3454,21.9623,2006,4,IRQ
3.61948,27.7954,2006,5,IRQ
0.15923,33.6211,2006,6,IRQ
0.04295,34.2096,2006,7,IRQ
0.18072,35.3192,2006,8,IRQ
0.03482,29.9939,2006,9,IRQ
18.4844,25.1653,2006,10,IRQ
16.8669,14.7916,2006,11,IRQ
26.56,7.21003,2006,12,IRQ
23.8557,7.68097,2007,1,IRQ
29.8644,12.6783,2007,2,IRQ
24.9902,15.0436,2007,3,IRQ
41.5452,20.6631,2007,4,IRQ
11.5179,28.9673,2007,5,IRQ
0.85384,32.8005,2007,6,IRQ
0.79333,33.8739,2007,7,IRQ
0.33067,33.7574,2007,8,IRQ
0.02076,30.7836,2007,9,IRQ
1.81075,25.653,2007,10,IRQ
3.10016,16.7816,2007,11,IRQ
14.4007,10.1266,2007,12,IRQ
31.3292,4.94733,2008,1,IRQ
14.4594,10.3905,2008,2,IRQ
5.38692,19.1659,2008,3,IRQ
5.18827,24.1749,2008,4,IRQ
3.92326,27.5305,2008,5,IRQ
0.15276,32.3403,2008,6,IRQ
0.19417,33.1831,2008,7,IRQ
0.27926,34.8303,2008,8,IRQ
0.97925,30.9263,2008,9,IRQ
13.3865,24.233,2008,10,IRQ
16.8296,16.1962,2008,11,IRQ
9.08335,10.6872,2008,12,IRQ
7.10776,8.83778,2009,1,IRQ
16.3767,13.6964,2009,2,IRQ
20.6191,15.712,2009,3,IRQ
22.915,20.7557,2009,4,IRQ
1.53031,27.6808,2009,5,IRQ
1.76687,32.5538,2009,6,IRQ
0.0523,33.9679,2009,7,IRQ
0.85969,33.3782,2009,8,IRQ
2.42531,29.115,2009,9,IRQ
11.2505,24.9837,2009,10,IRQ
40.6795,16.3273,2009,11,IRQ
20.1651,13.0257,2009,12,IRQ
24.25,13.1235,2010,1,IRQ
34.4071,14.5611,2010,2,IRQ
20.7571,18.8072,2010,3,IRQ
27.9413,22.3965,2010,4,IRQ
17.3231,28.3039,2010,5,IRQ
0.55146,33.1781,2010,6,IRQ
0.06474,35.3564,2010,7,IRQ
0.58328,35.3385,2010,8,IRQ
0.07478,31.7226,2010,9,IRQ
2.39144,25.9561,2010,10,IRQ
0.2883,17.456,2010,11,IRQ
21.2407,12.4189,2010,12,IRQ
33.8154,10.5555,2011,1,IRQ
14.5852,11.8178,2011,2,IRQ
19.2284,15.4358,2011,3,IRQ
42.0831,19.9506,2011,4,IRQ
8.83908,27.5296,2011,5,IRQ
0.40492,31.9842,2011,6,IRQ
0.35259,34.4243,2011,7,IRQ
0.57154,34.6057,2011,8,IRQ
0.79072,30.4692,2011,9,IRQ
7.53408,23.1772,2011,10,IRQ
11.3748,13.3182,2011,11,IRQ
25.4649,10.4092,2011,12,IRQ
21.1128,9.33783,2012,1,IRQ
22.5191,10.7185,2012,2,IRQ
17.1055,13.3555,2012,3,IRQ
13.8541,22.6679,2012,4,IRQ
3.85986,28.3982,2012,5,IRQ
0.95445,33.7796,2012,6,IRQ
1.18482,35.262,2012,7,IRQ
0.12222,34.8808,2012,8,IRQ
0.288,30.5114,2012,9,IRQ
7.4122,25.3944,2012,10,IRQ
27.4686,17.6307,2012,11,IRQ
31.993,12.5781,2012,12,IRQ
54.1228,9.94793,2013,1,IRQ
14.939,14.0913,2013,2,IRQ
26.0519,14.8871,2013,3,IRQ
15.2543,19.8577,2013,4,IRQ
12.9035,26.8618,2013,5,IRQ
0.36465,31.6113,2013,6,IRQ
0.14376,34.6203,2013,7,IRQ
0.11946,33.749,2013,8,IRQ
0.17914,29.3315,2013,9,IRQ
1.07431,22.4209,2013,10,IRQ
34.6913,17.3506,2013,11,IRQ
37.3727,8.91082,2013,12,IRQ
31.3154,9.00604,2014,1,IRQ
9.67075,11.7985,2014,2,IRQ
34.1651,17.653,2014,3,IRQ
10.1107,22.9132,2014,4,IRQ
7.792,28.1845,2014,5,IRQ
0.87023,31.739,2014,6,IRQ
0.11641,34.7098,2014,7,IRQ
0.0873,34.9774,2014,8,IRQ
0.23717,30.1791,2014,9,IRQ
15.3142,23.6966,2014,10,IRQ
20.9196,14.8116,2014,11,IRQ
31.8891,12.1571,2014,12,IRQ
8.17124,10.4358,2015,1,IRQ
12.122,13.2466,2015,2,IRQ
20.6655,16.6687,2015,3,IRQ
6.58071,22.1653,2015,4,IRQ
5.93311,28.5413,2015,5,IRQ
1.73103,33.0205,2015,6,IRQ
0.22567,35.7215,2015,7,IRQ
0.5561,35.6924,2015,8,IRQ
0.55428,31.9864,2015,9,IRQ
17.1377,26.065,2015,10,IRQ
16.281,16.2061,2015,11,IRQ
24.1991,8.92136,2015,12,IRQ
