pr,tas,	Year, Month, Country
144.682,25.3234,1991,1,MDG
315.363,24.8328,1991,2,MDG
185.312,24.6455,1991,3,MDG
191.03,23.4024,1991,4,MDG
22.3067,21.7749,1991,5,MDG
69.5392,19.6258,1991,6,MDG
39.8609,18.8353,1991,7,MDG
16.9014,20.7932,1991,8,MDG
14.0037,21.4592,1991,9,MDG
102.531,23.9988,1991,10,MDG
59.5125,26.2324,1991,11,MDG
230.833,28.4414,1991,12,MDG
404.2,24.6872,1992,1,MDG
328.24,25.428,1992,2,MDG
136.082,24.9509,1992,3,MDG
81.3726,23.794,1992,4,MDG
31.7719,22.1681,1992,5,MDG
34.2472,21.9127,1992,6,MDG
37.9979,18.8671,1992,7,MDG
29.7875,19.6644,1992,8,MDG
24.831,20.9133,1992,9,MDG
27.8214,20.3584,1992,10,MDG
130.005,23.6494,1992,11,MDG
163.971,28.1144,1992,12,MDG
274.543,29.8178,1993,1,MDG
450.793,29.3083,1993,2,MDG
145.708,28.0753,1993,3,MDG
94.1368,27.452,1993,4,MDG
33.1555,24.4367,1993,5,MDG
30.2359,20.1698,1993,6,MDG
34.2338,18.1242,1993,7,MDG
46.9992,19.6676,1993,8,MDG
10.3277,20.3293,1993,9,MDG
40.031,20.662,1993,10,MDG
41.5246,21.2221,1993,11,MDG
201.89,24.2759,1993,12,MDG
257.039,26.4242,1994,1,MDG
343.187,25.2434,1994,2,MDG
130.202,26.1378,1994,3,MDG
82.1535,24.1213,1994,4,MDG
38.342,21.9981,1994,5,MDG
25.279,20.0919,1994,6,MDG
57.2973,18.4163,1994,7,MDG
51.8525,20.7337,1994,8,MDG
24.9779,21.5033,1994,9,MDG
108.339,22.4556,1994,10,MDG
47.0938,23.7293,1994,11,MDG
157.804,24.384,1994,12,MDG
393.493,24.7331,1995,1,MDG
278.927,26.27,1995,2,MDG
117.159,24.7609,1995,3,MDG
151.758,23.5754,1995,4,MDG
94.895,22.3491,1995,5,MDG
23.7386,19.6779,1995,6,MDG
27.7792,19.8006,1995,7,MDG
31.3806,20.0902,1995,8,MDG
12.3695,21.4075,1995,9,MDG
29.2735,22.9391,1995,10,MDG
78.8301,23.3546,1995,11,MDG
260.569,23.8354,1995,12,MDG
428.142,24.8861,1996,1,MDG
321.35,24.6338,1996,2,MDG
318.317,24.2832,1996,3,MDG
45.6914,24.2738,1996,4,MDG
42.9247,22.2216,1996,5,MDG
30.4279,19.6547,1996,6,MDG
34.2484,18.6927,1996,7,MDG
17.6554,19.2157,1996,8,MDG
20.5124,21.9077,1996,9,MDG
26.5552,22.5109,1996,10,MDG
18.4925,24.0629,1996,11,MDG
183.258,24.3671,1996,12,MDG
420.468,24.448,1997,1,MDG
335.343,24.608,1997,2,MDG
112.65,25.7615,1997,3,MDG
54.4339,23.7767,1997,4,MDG
80.0235,21.6524,1997,5,MDG
46.4851,20.6296,1997,6,MDG
40.6874,19.1548,1997,7,MDG
29.613,20.2228,1997,8,MDG
29.6906,21.4092,1997,9,MDG
52.2216,22.2589,1997,10,MDG
92.6336,24.4362,1997,11,MDG
232.548,24.7543,1997,12,MDG
287.119,26.8465,1998,1,MDG
555.91,25.4878,1998,2,MDG
89.0405,25.4266,1998,3,MDG
114.615,23.9987,1998,4,MDG
45.9827,22.0937,1998,5,MDG
33.5844,20.1183,1998,6,MDG
40.3517,19.3429,1998,7,MDG
67.1595,19.8705,1998,8,MDG
56.2315,21.0287,1998,9,MDG
23.9592,23.0973,1998,10,MDG
71.7002,23.6948,1998,11,MDG
323.37,25.2777,1998,12,MDG
254.543,24.5947,1999,1,MDG
236.769,25.0504,1999,2,MDG
221.267,25.9919,1999,3,MDG
76.0011,23.7674,1999,4,MDG
39.0824,22.0378,1999,5,MDG
38.6029,20.1195,1999,6,MDG
50.0059,18.7958,1999,7,MDG
39.7175,20.0307,1999,8,MDG
27.6478,21.0361,1999,9,MDG
37.4567,22.729,1999,10,MDG
50.5913,24.5567,1999,11,MDG
299.12,25.1391,1999,12,MDG
250.309,24.9992,2000,1,MDG
220.058,25.942,2000,2,MDG
124.767,24.491,2000,3,MDG
59.7191,23.9126,2000,4,MDG
30.6305,22.7953,2000,5,MDG
31.1373,20.3494,2000,6,MDG
53.8156,19.5112,2000,7,MDG
52.5896,19.9234,2000,8,MDG
15.8982,20.9085,2000,9,MDG
62.7828,22.3956,2000,10,MDG
174.239,23.8777,2000,11,MDG
210.736,24.7397,2000,12,MDG
380.463,24.8503,2001,1,MDG
155.008,25.1563,2001,2,MDG
226.679,25.1775,2001,3,MDG
35.238,25.0683,2001,4,MDG
24.5468,22.8934,2001,5,MDG
55.2968,22.5713,2001,6,MDG
58.4419,21.5491,2001,7,MDG
46.8154,20.9395,2001,8,MDG
29.7132,24.8893,2001,9,MDG
59.3059,22.7337,2001,10,MDG
104.91,24.967,2001,11,MDG
213.657,33.4216,2001,12,MDG
250.567,36.282,2002,1,MDG
243.328,34.7847,2002,2,MDG
179.548,24.541,2002,3,MDG
87.4738,26.0948,2002,4,MDG
62.1735,21.6869,2002,5,MDG
37.5621,19.7903,2002,6,MDG
36.0017,19.6296,2002,7,MDG
48.5731,20.4114,2002,8,MDG
42.988,20.923,2002,9,MDG
45.7235,22.7662,2002,10,MDG
110.236,24.105,2002,11,MDG
303.327,24.4412,2002,12,MDG
412.577,24.7201,2003,1,MDG
189.226,24.8217,2003,2,MDG
240.782,25.0999,2003,3,MDG
79.444,24.4961,2003,4,MDG
50.2809,22.7542,2003,5,MDG
38.4372,20.0563,2003,6,MDG
57.7227,19.0286,2003,7,MDG
38.4376,19.6939,2003,8,MDG
59.1775,20.9014,2003,9,MDG
30.7666,22.9737,2003,10,MDG
84.5011,25.2123,2003,11,MDG
156.121,24.6593,2003,12,MDG
302.47,24.5508,2004,1,MDG
221.688,26.0478,2004,2,MDG
234.656,24.5573,2004,3,MDG
87.9023,23.335,2004,4,MDG
50.0425,21.0867,2004,5,MDG
54.4972,18.9363,2004,6,MDG
57.2763,19.4899,2004,7,MDG
21.7581,20.2177,2004,8,MDG
34.895,21.6901,2004,9,MDG
37.6701,22.813,2004,10,MDG
97.2027,24.7417,2004,11,MDG
290.368,27.0739,2004,12,MDG
313.802,24.9679,2005,1,MDG
136.672,25.3685,2005,2,MDG
200.739,24.8851,2005,3,MDG
76.9139,23.5963,2005,4,MDG
44.42,22.0792,2005,5,MDG
24.9279,20.6776,2005,6,MDG
97.2811,19.1094,2005,7,MDG
44.1037,20.0117,2005,8,MDG
33.985,23.5953,2005,9,MDG
55.4123,24.6839,2005,10,MDG
102.177,28.7463,2005,11,MDG
257.885,30.6937,2005,12,MDG
229.093,31.9481,2006,1,MDG
295.874,26.794,2006,2,MDG
157.825,31.3231,2006,3,MDG
95.5545,25.9979,2006,4,MDG
47.7245,25.0377,2006,5,MDG
40.6218,20.9268,2006,6,MDG
42.3503,19.9337,2006,7,MDG
34.8358,21.1904,2006,8,MDG
24.7561,21.7742,2006,9,MDG
48.0699,24.1139,2006,10,MDG
104.072,26.3543,2006,11,MDG
207.321,27.8072,2006,12,MDG
227.672,32.0812,2007,1,MDG
240.767,26.1546,2007,2,MDG
133.441,31.1917,2007,3,MDG
100.028,25.8604,2007,4,MDG
48.5019,25.5572,2007,5,MDG
45.5739,20.9949,2007,6,MDG
56.8346,19.9645,2007,7,MDG
40.7574,21.1284,2007,8,MDG
34.447,22.2691,2007,9,MDG
50.0677,24.1043,2007,10,MDG
103.025,26.2229,2007,11,MDG
219.506,27.4958,2007,12,MDG
304.416,31.6927,2008,1,MDG
251.312,27.7089,2008,2,MDG
179.509,30.3473,2008,3,MDG
78.4708,25.0006,2008,4,MDG
46.5096,24.7614,2008,5,MDG
43.4935,24.1451,2008,6,MDG
45.2365,20.0561,2008,7,MDG
41.097,23.2131,2008,8,MDG
27.1759,21.9183,2008,9,MDG
102.291,24.5306,2008,10,MDG
130.945,26.1227,2008,11,MDG
231.333,27.4844,2008,12,MDG
255.42,32.6382,2009,1,MDG
226.335,30.9863,2009,2,MDG
198.601,31.2229,2009,3,MDG
98.5441,27.5419,2009,4,MDG
50.8648,25.2912,2009,5,MDG
39.8446,22.0089,2009,6,MDG
54.2476,20.7367,2009,7,MDG
49.2994,21.1074,2009,8,MDG
36.5541,22.2513,2009,9,MDG
49.6056,24.3129,2009,10,MDG
128.408,26.0699,2009,11,MDG
213.854,27.4589,2009,12,MDG
281.821,32.3425,2010,1,MDG
248.253,28.5997,2010,2,MDG
195.622,27.974,2010,3,MDG
82.3261,26.6187,2010,4,MDG
60.6179,23.0358,2010,5,MDG
55.3787,21.4226,2010,6,MDG
39.915,19.8561,2010,7,MDG
53.0229,19.9213,2010,8,MDG
31.3443,22.2421,2010,9,MDG
49.0516,23.3754,2010,10,MDG
103.654,24.1046,2010,11,MDG
127.512,24.9739,2010,12,MDG
263.367,32.1305,2011,1,MDG
250.651,27.7604,2011,2,MDG
155.439,24.8319,2011,3,MDG
127.237,24.3698,2011,4,MDG
52.5881,25.2167,2011,5,MDG
40.9492,20.8927,2011,6,MDG
20.8799,19.7774,2011,7,MDG
62.4156,21.3536,2011,8,MDG
29.1939,23.2678,2011,9,MDG
48.1976,24.3194,2011,10,MDG
73.5167,24.5123,2011,11,MDG
126.398,25.3637,2011,12,MDG
268.456,24.5332,2012,1,MDG
301.696,25.257,2012,2,MDG
138.805,24.511,2012,3,MDG
165.825,23.7324,2012,4,MDG
36.8889,21.9971,2012,5,MDG
32.5123,20.4614,2012,6,MDG
21.8416,19.5466,2012,7,MDG
21.7191,20.1704,2012,8,MDG
18.4044,21.6099,2012,9,MDG
77.8598,23.0057,2012,10,MDG
140.355,23.9209,2012,11,MDG
113.07,25.057,2012,12,MDG
311.559,25.4055,2013,1,MDG
419.41,24.7492,2013,2,MDG
178.14,24.8692,2013,3,MDG
58.1465,23.7976,2013,4,MDG
64.6191,21.8913,2013,5,MDG
27.7846,19.541,2013,6,MDG
28.7658,19.3776,2013,7,MDG
34.4758,19.6371,2013,8,MDG
17.8898,21.6318,2013,9,MDG
91.3738,22.6827,2013,10,MDG
120.764,24.6339,2013,11,MDG
190.906,24.8788,2013,12,MDG
279.298,24.9664,2014,1,MDG
264.121,24.9557,2014,2,MDG
218.239,31.6363,2014,3,MDG
85.9148,23.6993,2014,4,MDG
31.1949,21.8313,2014,5,MDG
54.0096,20.6491,2014,6,MDG
109.817,19.7488,2014,7,MDG
31.7022,20.4404,2014,8,MDG
16.9362,21.3769,2014,9,MDG
35.5934,22.8909,2014,10,MDG
209.747,24.2062,2014,11,MDG
306.422,24.8085,2014,12,MDG
316.175,25.1232,2015,1,MDG
258.608,24.673,2015,2,MDG
183.277,24.5481,2015,3,MDG
47.696,24.0387,2015,4,MDG
51.0429,22.4668,2015,5,MDG
40.9494,20.7082,2015,6,MDG
33.0401,20.0339,2015,7,MDG
39.0177,20.0857,2015,8,MDG
19.2012,21.1597,2015,9,MDG
49.9899,23.4262,2015,10,MDG
86.1546,24.1409,2015,11,MDG
222.445,25.4341,2015,12,MDG
