pr,tas,	Year, Month, Country
24.2496,8.32761,1991,1,PAK
44.721,10.0459,1991,2,PAK
41.2849,15.5741,1991,3,PAK
46.1611,20.6132,1991,4,PAK
25.6151,25.2171,1991,5,PAK
11.311,29.0464,1991,6,PAK
18.8795,29.328,1991,7,PAK
37.7459,27.723,1991,8,PAK
29.7489,25.2451,1991,9,PAK
2.31393,20.2236,1991,10,PAK
4.30192,15.4448,1991,11,PAK
9.34638,11.7147,1991,12,PAK
53.2871,9.02025,1992,1,PAK
29.8723,10.7187,1992,2,PAK
40.4625,14.7902,1992,3,PAK
41.0063,20.1103,1992,4,PAK
25.778,24.9975,1992,5,PAK
5.72004,29.392,1992,6,PAK
55.2657,28.5395,1992,7,PAK
66.1333,26.9255,1992,8,PAK
29.3323,24.3431,1992,9,PAK
13.6401,20.71,1992,10,PAK
9.03753,15.6368,1992,11,PAK
12.0943,12.177,1992,12,PAK
28.7712,8.85851,1993,1,PAK
15.1309,13.3158,1993,2,PAK
30.4481,14.8951,1993,3,PAK
19.2669,21.7344,1993,4,PAK
14.4019,27.0135,1993,5,PAK
16.8048,29.0016,1993,6,PAK
69.8998,28.3852,1993,7,PAK
11.5151,27.7777,1993,8,PAK
19.4861,25.9153,1993,9,PAK
2.74646,20.5578,1993,10,PAK
9.26535,16.4322,1993,11,PAK
1.00604,11.5035,1993,12,PAK
18.7978,9.55025,1994,1,PAK
27.7044,10.431,1994,2,PAK
22.469,17.7882,1994,3,PAK
25.8788,20.4406,1994,4,PAK
19.0568,26.556,1994,5,PAK
20.2511,29.5714,1994,6,PAK
121.287,28.1954,1994,7,PAK
88.4623,27.6278,1994,8,PAK
40.0958,23.9472,1994,9,PAK
12.7736,20.2472,1994,10,PAK
3.14767,16.9586,1994,11,PAK
27.282,10.71,1994,12,PAK
9.10026,8.6895,1995,1,PAK
29.2794,11.451,1995,2,PAK
22.8105,14.8301,1995,3,PAK
46.3177,20.0374,1995,4,PAK
11.4189,26.2637,1995,5,PAK
13.441,29.6044,1995,6,PAK
93.9142,28.7819,1995,7,PAK
59.3808,27.7938,1995,8,PAK
20.6604,25.2908,1995,9,PAK
15.0297,21.6771,1995,10,PAK
5.22317,15.4118,1995,11,PAK
23.3937,10.3474,1995,12,PAK
28.2499,8.40807,1996,1,PAK
40.3919,11.9154,1996,2,PAK
43.6436,16.8503,1996,3,PAK
22.6691,22.0606,1996,4,PAK
32.395,25.0712,1996,5,PAK
45.6514,28.4028,1996,6,PAK
36.8481,28.4834,1996,7,PAK
53.7835,27.1248,1996,8,PAK
13.2395,25.9321,1996,9,PAK
11.4506,20.3906,1996,10,PAK
3.61843,14.3122,1996,11,PAK
5.53423,9.99535,1996,12,PAK
23.1995,8.6676,1997,1,PAK
5.63252,11.3455,1997,2,PAK
39.4143,15.6361,1997,3,PAK
40.3531,20.0534,1997,4,PAK
18.2522,24.1596,1997,5,PAK
31.4112,27.8164,1997,6,PAK
58.1405,29.301,1997,7,PAK
89.7605,27.3185,1997,8,PAK
12.8461,25.8304,1997,9,PAK
31.0689,19.8851,1997,10,PAK
9.03667,14.8254,1997,11,PAK
14.8964,9.71762,1997,12,PAK
30.5015,9.13089,1998,1,PAK
38.0946,11.0377,1998,2,PAK
36.8699,15.6549,1998,3,PAK
31.329,22.9542,1998,4,PAK
22.082,26.679,1998,5,PAK
22.5917,28.4104,1998,6,PAK
49.7476,29.0515,1998,7,PAK
30.4608,28.5127,1998,8,PAK
22.8658,25.9651,1998,9,PAK
10.6891,21.9283,1998,10,PAK
0.14916,15.6665,1998,11,PAK
0.88671,11.5381,1998,12,PAK
31.7704,9.16369,1999,1,PAK
34.2085,12.0504,1999,2,PAK
22.7008,16.6935,1999,3,PAK
17.3579,23.3346,1999,4,PAK
10.2267,26.9439,1999,5,PAK
10.3779,29.1836,1999,6,PAK
39.1475,29.2017,1999,7,PAK
47.0909,27.684,1999,8,PAK
18.2082,26.5683,1999,9,PAK
6.82062,22.2096,1999,10,PAK
14.0632,16.8724,1999,11,PAK
0.26469,11.4128,1999,12,PAK
20.9622,9.48432,2000,1,PAK
14.921,10.4175,2000,2,PAK
8.4955,16.154,2000,3,PAK
4.16128,24.1837,2000,4,PAK
8.3103,28.7802,2000,5,PAK
15.3148,29.0542,2000,6,PAK
56.4066,28.4466,2000,7,PAK
32.3592,27.7384,2000,8,PAK
17.4146,25.435,2000,9,PAK
3.45484,22.06,2000,10,PAK
4.18189,15.8019,2000,11,PAK
6.23501,11.6572,2000,12,PAK
4.3523,8.77149,2001,1,PAK
8.79084,11.896,2001,2,PAK
15.8252,17.0568,2001,3,PAK
20.4035,22.5896,2001,4,PAK
9.68161,28.4413,2001,5,PAK
44.0088,29.2464,2001,6,PAK
69.0573,28.584,2001,7,PAK
28.3686,27.7931,2001,8,PAK
12.0533,25.3683,2001,9,PAK
3.21934,22.1255,2001,10,PAK
11.0999,16.4086,2001,11,PAK
