Origin,Timestamp,Value
Cabo Verde,1999.0,0
Senegal,1999.0,26
Somalia,1999.0,1109
South Sudan,1999.0,0
Sudan,1999.0,231
Uganda,1999.0,26
Tanzania,1999.0,0
Rwanda,1999.0,189
Zambia,1999.0,0
Afghanistan,1999.0,1213
Iran,1999.0,788
Pakistan,1999.0,491
State of Palestine,1999.0,48
Lebanon,1999.0,122
Iraq,1999.0,2360
Zimbabwe,1999.0,16
Nigeria,1999.0,263
Syrian Arab Republic,1999.0,0
Mozambique,1999.0,0
Congo,1999.0,146
Djibouti,1999.0,8
Ehtiopia,1999.0,0
Gambia,1999.0,9
Niger,1999.0,14
Burundi,1999.0,50
Guinea,1999.0,95
Central African Republic,1999.0,9
Mauritania,1999.0,86
Lesotho,1999.0,0
Malawi,1999.0,0
Kenya,1999.0,56
Mali,1999.0,117
Liberia,1999.0,45
Madagascar,1999.0,0
Uganda,1999.08333333333,69
Tanzania,1999.08333333333,0
Zambia,1999.08333333333,0
Zimbabwe,1999.08333333333,31
Pakistan,1999.08333333333,1014
Sudan,1999.08333333333,464
State of Palestine,1999.08333333333,92
Lebanon,1999.08333333333,237
Iraq,1999.08333333333,4865
Afghanistan,1999.08333333333,2842
Syrian Arab Republic,1999.08333333333,0
Iran,1999.08333333333,1726
South Sudan,1999.08333333333,0
Cabo Verde,1999.08333333333,0
Senegal,1999.08333333333,48
Congo,1999.08333333333,339
Djibouti,1999.08333333333,16
Ehtiopia,1999.08333333333,0
Gambia,1999.08333333333,26
Guinea,1999.08333333333,219
Kenya,1999.08333333333,114
Lesotho,1999.08333333333,0
Liberia,1999.08333333333,88
Mali,1999.08333333333,286
Madagascar,1999.08333333333,1
Somalia,1999.08333333333,2388
Malawi,1999.08333333333,0
Burundi,1999.08333333333,92
Central African Republic,1999.08333333333,21
Mozambique,1999.08333333333,1
Rwanda,1999.08333333333,417
Nigeria,1999.08333333333,586
Niger,1999.08333333333,31
Mauritania,1999.08333333333,167
Kenya,1999.16666666666,101
Ehtiopia,1999.16666666666,0
Guinea,1999.16666666666,241
Iran,1999.16666666666,1914
Pakistan,1999.16666666666,1045
Lesotho,1999.16666666666,1
Cabo Verde,1999.16666666666,2
Central African Republic,1999.16666666666,17
Burundi,1999.16666666666,83
Syrian Arab Republic,1999.16666666666,0
Afghanistan,1999.16666666666,3173
Congo,1999.16666666666,364
Iraq,1999.16666666666,5153
Lebanon,1999.16666666666,181
Gambia,1999.16666666666,38
State of Palestine,1999.16666666666,79
Djibouti,1999.16666666666,11
Mozambique,1999.16666666666,1
Malawi,1999.16666666666,0
Madagascar,1999.16666666666,3
Liberia,1999.16666666666,82
Niger,1999.16666666666,41
Nigeria,1999.16666666666,577
Rwanda,1999.16666666666,445
Senegal,1999.16666666666,48
Somalia,1999.16666666666,2524
South Sudan,1999.16666666666,0
Sudan,1999.16666666666,475
Uganda,1999.16666666666,79
Mali,1999.16666666666,333
Tanzania,1999.16666666666,0
Zambia,1999.16666666666,0
Zimbabwe,1999.16666666666,38
Mauritania,1999.16666666666,169
Afghanistan,1999.2499999999905,3074
Iraq,1999.2499999999905,5111
Burundi,1999.2499999999905,82
Lebanon,1999.2499999999905,145
Congo,1999.2499999999905,314
State of Palestine,1999.2499999999905,68
Pakistan,1999.2499999999905,1138
Cabo Verde,1999.2499999999905,2
Central African Republic,1999.2499999999905,19
Iran,1999.2499999999905,1937
Syrian Arab Republic,1999.2499999999905,0
Djibouti,1999.2499999999905,6
Zimbabwe,1999.2499999999905,48
Ehtiopia,1999.2499999999905,0
Gambia,1999.2499999999905,31
Guinea,1999.2499999999905,220
Kenya,1999.2499999999905,91
Lesotho,1999.2499999999905,1
Liberia,1999.2499999999905,71
Madagascar,1999.2499999999905,2
Malawi,1999.2499999999905,1
Mauritania,1999.2499999999905,182
Mozambique,1999.2499999999905,0
Mali,1999.2499999999905,304
Nigeria,1999.2499999999905,514
Rwanda,1999.2499999999905,425
Senegal,1999.2499999999905,48
Somalia,1999.2499999999905,2372
South Sudan,1999.2499999999905,0
Sudan,1999.2499999999905,436
Uganda,1999.2499999999905,70
Tanzania,1999.2499999999905,0
Zambia,1999.2499999999905,0
Niger,1999.2499999999905,39
State of Palestine,1999.3333333333205,79
Syrian Arab Republic,1999.3333333333205,0
Afghanistan,1999.3333333333205,3378
Iraq,1999.3333333333205,4964
Lebanon,1999.3333333333205,156
Pakistan,1999.3333333333205,1281
Sudan,1999.3333333333205,396
Niger,1999.3333333333205,54
Cabo Verde,1999.3333333333205,2
Central African Republic,1999.3333333333205,33
Burundi,1999.3333333333205,98
Congo,1999.3333333333205,285
Djibouti,1999.3333333333205,7
Ehtiopia,1999.3333333333205,0
Gambia,1999.3333333333205,25
Guinea,1999.3333333333205,197
Kenya,1999.3333333333205,116
Lesotho,1999.3333333333205,0
Liberia,1999.3333333333205,74
Malawi,1999.3333333333205,1
Mali,1999.3333333333205,289
Mauritania,1999.3333333333205,178
Mozambique,1999.3333333333205,1
Madagascar,1999.3333333333205,2
Nigeria,1999.3333333333205,537
Iran,1999.3333333333205,2152
Zambia,1999.3333333333205,0
Tanzania,1999.3333333333205,0
Uganda,1999.3333333333205,94
Zimbabwe,1999.3333333333205,45
Somalia,1999.3333333333205,2341
Senegal,1999.3333333333205,42
Rwanda,1999.3333333333205,422
South Sudan,1999.3333333333205,0
Iran,1999.4166666666504,2415
Pakistan,1999.4166666666504,1433
State of Palestine,1999.4166666666504,80
Lebanon,1999.4166666666504,188
Iraq,1999.4166666666504,5373
Afghanistan,1999.4166666666504,3638
Syrian Arab Republic,1999.4166666666504,0
Central African Republic,1999.4166666666504,48
Zambia,1999.4166666666504,1
Cabo Verde,1999.4166666666504,2
Burundi,1999.4166666666504,97
Congo,1999.4166666666504,316
Djibouti,1999.4166666666504,8
Ehtiopia,1999.4166666666504,0
Gambia,1999.4166666666504,40
Guinea,1999.4166666666504,235
Kenya,1999.4166666666504,118
Zimbabwe,1999.4166666666504,38
Liberia,1999.4166666666504,76
Madagascar,1999.4166666666504,3
Malawi,1999.4166666666504,0
Lesotho,1999.4166666666504,0
Mauritania,1999.4166666666504,189
Tanzania,1999.4166666666504,0
Mali,1999.4166666666504,318
Sudan,1999.4166666666504,428
South Sudan,1999.4166666666504,0
Somalia,1999.4166666666504,2396
Uganda,1999.4166666666504,108
Rwanda,1999.4166666666504,421
Nigeria,1999.4166666666504,611
Niger,1999.4166666666504,60
Mozambique,1999.4166666666504,1
Senegal,1999.4166666666504,49
Pakistan,1999.4999999999804,1536
Syrian Arab Republic,1999.4999999999804,0
Afghanistan,1999.4999999999804,3920
Iraq,1999.4999999999804,5550
Lebanon,1999.4999999999804,272
State of Palestine,1999.4999999999804,61
Iran,1999.4999999999804,2943
Zambia,1999.4999999999804,1
Rwanda,1999.4999999999804,466
Zimbabwe,1999.4999999999804,34
Uganda,1999.4999999999804,100
Sudan,1999.4999999999804,433
South Sudan,1999.4999999999804,0
Somalia,1999.4999999999804,2535
Senegal,1999.4999999999804,60
Nigeria,1999.4999999999804,777
Niger,1999.4999999999804,46
Mozambique,1999.4999999999804,0
Mauritania,1999.4999999999804,208
Mali,1999.4999999999804,290
Malawi,1999.4999999999804,3
Tanzania,1999.4999999999804,0
Liberia,1999.4999999999804,85
Madagascar,1999.4999999999804,1
Central African Republic,1999.4999999999804,52
Burundi,1999.4999999999804,90
Congo,1999.4999999999804,373
Djibouti,1999.4999999999804,17
Cabo Verde,1999.4999999999804,1
Gambia,1999.4999999999804,34
Guinea,1999.4999999999804,315
Kenya,1999.4999999999804,117
Lesotho,1999.4999999999804,0
Ehtiopia,1999.4999999999804,0
South Sudan,1999.5833333333105,0
Malawi,1999.5833333333105,3
Somalia,1999.5833333333105,2656
Senegal,1999.5833333333105,59
Rwanda,1999.5833333333105,528
Nigeria,1999.5833333333105,891
Niger,1999.5833333333105,52
Mozambique,1999.5833333333105,1
Mauritania,1999.5833333333105,198
Mali,1999.5833333333105,260
Madagascar,1999.5833333333105,1
Ehtiopia,1999.5833333333105,0
Lesotho,1999.5833333333105,0
Kenya,1999.5833333333105,128
Guinea,1999.5833333333105,315
Gambia,1999.5833333333105,24
Djibouti,1999.5833333333105,23
Congo,1999.5833333333105,422
Burundi,1999.5833333333105,129
Central African Republic,1999.5833333333105,46
Cabo Verde,1999.5833333333105,1
Syrian Arab Republic,1999.5833333333105,0
Liberia,1999.5833333333105,90
Sudan,1999.5833333333105,406
Uganda,1999.5833333333105,124
Lebanon,1999.5833333333105,351
Tanzania,1999.5833333333105,0
Zambia,1999.5833333333105,0
Zimbabwe,1999.5833333333105,42
Iraq,1999.5833333333105,5766
Afghanistan,1999.5833333333105,4479
State of Palestine,1999.5833333333105,50
Pakistan,1999.5833333333105,1553
Iran,1999.5833333333105,3601
Iraq,1999.6666666666406,6146
Mauritania,1999.6666666666406,192
Mali,1999.6666666666406,279
Malawi,1999.6666666666406,0
Madagascar,1999.6666666666406,2
Liberia,1999.6666666666406,93
Lesotho,1999.6666666666406,0
Kenya,1999.6666666666406,102
Gambia,1999.6666666666406,40
Mozambique,1999.6666666666406,2
Ehtiopia,1999.6666666666406,0
Djibouti,1999.6666666666406,16
Congo,1999.6666666666406,447
Burundi,1999.6666666666406,138
Central African Republic,1999.6666666666406,54
Cabo Verde,1999.6666666666406,0
Guinea,1999.6666666666406,335
Niger,1999.6666666666406,51
Nigeria,1999.6666666666406,922
Rwanda,1999.6666666666406,534
Lebanon,1999.6666666666406,355
State of Palestine,1999.6666666666406,57
Pakistan,1999.6666666666406,1463
Iran,1999.6666666666406,3745
Afghanistan,1999.6666666666406,4844
Zimbabwe,1999.6666666666406,46
Somalia,1999.6666666666406,2393
Tanzania,1999.6666666666406,0
Uganda,1999.6666666666406,130
Sudan,1999.6666666666406,479
South Sudan,1999.6666666666406,0
Syrian Arab Republic,1999.6666666666406,0
Senegal,1999.6666666666406,55
Zambia,1999.6666666666406,0
Iran,1999.7499999999707,3571
State of Palestine,1999.7499999999707,65
Lebanon,1999.7499999999707,339
Iraq,1999.7499999999707,6047
Afghanistan,1999.7499999999707,5553
Syrian Arab Republic,1999.7499999999707,0
Pakistan,1999.7499999999707,1516
Sudan,1999.7499999999707,611
South Sudan,1999.7499999999707,0
Kenya,1999.7499999999707,89
Lesotho,1999.7499999999707,0
Liberia,1999.7499999999707,111
Madagascar,1999.7499999999707,1
Malawi,1999.7499999999707,0
Mali,1999.7499999999707,312
Mauritania,1999.7499999999707,228
Mozambique,1999.7499999999707,2
Niger,1999.7499999999707,54
Nigeria,1999.7499999999707,974
Rwanda,1999.7499999999707,511
Senegal,1999.7499999999707,73
Somalia,1999.7499999999707,1978
Uganda,1999.7499999999707,124
Tanzania,1999.7499999999707,0
Zambia,1999.7499999999707,0
Zimbabwe,1999.7499999999707,35
Gambia,1999.7499999999707,43
Ehtiopia,1999.7499999999707,0
Guinea,1999.7499999999707,405
Congo,1999.7499999999707,462
Burundi,1999.7499999999707,127
Central African Republic,1999.7499999999707,77
Cabo Verde,1999.7499999999707,2
Djibouti,1999.7499999999707,14
Kenya,1999.8333333333007,94
Lesotho,1999.8333333333007,0
Liberia,1999.8333333333007,107
Zimbabwe,1999.8333333333007,43
Zambia,1999.8333333333007,0
Tanzania,1999.8333333333007,0
Uganda,1999.8333333333007,148
Madagascar,1999.8333333333007,0
South Sudan,1999.8333333333007,0
Senegal,1999.8333333333007,82
Rwanda,1999.8333333333007,480
Nigeria,1999.8333333333007,1220
Niger,1999.8333333333007,51
Mozambique,1999.8333333333007,2
Mauritania,1999.8333333333007,233
Mali,1999.8333333333007,360
Malawi,1999.8333333333007,1
Guinea,1999.8333333333007,436
Somalia,1999.8333333333007,1984
Gambia,1999.8333333333007,53
Sudan,1999.8333333333007,583
Djibouti,1999.8333333333007,17
Ehtiopia,1999.8333333333007,0
Iran,1999.8333333333007,3828
Pakistan,1999.8333333333007,1725
State of Palestine,1999.8333333333007,57
Iraq,1999.8333333333007,5975
Afghanistan,1999.8333333333007,5717
Lebanon,1999.8333333333007,365
Cabo Verde,1999.8333333333007,3
Central African Republic,1999.8333333333007,87
Burundi,1999.8333333333007,148
Congo,1999.8333333333007,454
Syrian Arab Republic,1999.8333333333007,0
Congo,1999.9166666666308,485
Iran,1999.9166666666308,3624
Burundi,1999.9166666666308,150
Central African Republic,1999.9166666666308,86
Cabo Verde,1999.9166666666308,2
Pakistan,1999.9166666666308,1802
Syrian Arab Republic,1999.9166666666308,0
Lebanon,1999.9166666666308,343
Niger,1999.9166666666308,32
Iraq,1999.9166666666308,5519
Afghanistan,1999.9166666666308,4764
Djibouti,1999.9166666666308,22
State of Palestine,1999.9166666666308,45
Ehtiopia,1999.9166666666308,0
Nigeria,1999.9166666666308,1300
Guinea,1999.9166666666308,449
Zimbabwe,1999.9166666666308,63
Zambia,1999.9166666666308,0
Tanzania,1999.9166666666308,0
Gambia,1999.9166666666308,60
Sudan,1999.9166666666308,487
South Sudan,1999.9166666666308,0
Somalia,1999.9166666666308,2160
Senegal,1999.9166666666308,76
Rwanda,1999.9166666666308,454
Uganda,1999.9166666666308,177
Malawi,1999.9166666666308,2
Kenya,1999.9166666666308,115
Mozambique,1999.9166666666308,3
Mauritania,1999.9166666666308,231
Mali,1999.9166666666308,466
