,country,year,average_pr,average_tas
0,AFG,1991,36.9314533333,13.1180333333
1,AFG,1992,35.9575858333,12.6558891667
2,AFG,1993,27.31793,12.905315
3,AFG,1994,27.6920091667,13.1427075
4,AFG,1995,24.6367966667,13.1249633333
5,AFG,1996,25.6163466667,12.6280025
6,AFG,1997,28.32282,12.8987708333
7,AFG,1998,28.5077925,13.2157916667
8,AFG,1999,25.0624658333,14.0309925
9,AFG,2000,17.4683775,13.6682841667
10,AFG,2001,14.5263025,14.4426641667
11,AFG,2002,24.3198008333,14.2521541667
12,AFG,2003,26.9824375,13.7147916667
13,AFG,2004,23.3690016667,14.5956616667
14,AFG,2005,28.9729808333,13.9710975
15,AFG,2006,26.4477458333,14.6113141667
16,AFG,2007,24.1806925,13.9700691667
17,AFG,2008,19.4693458333,14.1287666667
18,AFG,2009,30.5166383333,14.0881808333
19,AFG,2010,23.1339158333,14.4894683333
20,AFG,2011,26.4684483333,14.0711933333
21,AFG,2012,32.3500466667,13.309705
22,AFG,2013,27.1750075,14.1895691667
23,AFG,2014,24.7577383333,13.9663316667
24,AFG,2015,32.3480208333,14.1068333333
25,MWI,1991,89.8687316667,21.9493333333
26,MWI,1992,61.1795016667,22.3502916667
27,MWI,1993,79.7835833333,22.11695
28,MWI,1994,67.4811041667,22.2221916667
29,MWI,1995,75.44132,22.5914166667
30,MWI,1996,91.1666275,22.2005
31,MWI,1997,97.6344475,22.45455
32,MWI,1998,68.8898033333,22.7384583333
33,MWI,1999,95.5601033333,22.146025
34,MWI,2000,87.2245858333,21.891025
35,MWI,2001,88.1019941667,22.2810833333
36,MWI,2002,81.1432566667,22.4050083333
37,MWI,2003,90.0416616667,22.4587083333
38,MWI,2004,97.7745525,22.237025
39,MWI,2005,61.11919,22.9758583333
40,MWI,2006,81.4646266667,22.3282833333
41,MWI,2007,88.158745,22.4345333333
42,MWI,2008,87.4966508333,22.2332916667
43,MWI,2009,95.0786175,22.493725
44,MWI,2010,78.4762575,22.9658583333
45,MWI,2011,95.554235,22.3816583333
46,MWI,2012,89.3671875,22.2137416667
47,MWI,2013,91.5058775,22.353025
48,MWI,2014,87.2456525,22.4904666667
49,MWI,2015,72.4034233333,22.6955583333
100,GIN,1991,129.693565,25.9467916667
101,GIN,1992,132.0220333333,25.6933833333
102,GIN,1993,129.8294158333,25.889375
103,GIN,1994,161.7699241667,25.5675583333
104,GIN,1995,141.3569791667,25.8960083333
105,GIN,1996,140.9839475,26.1163666667
106,GIN,1997,140.3986533333,26.0484666667
107,GIN,1998,145.8131808333,26.6681916667
108,GIN,1999,145.4140716667,26.015925
109,GIN,2000,140.5226575,25.9820416667
110,GIN,2001,127.3072133333,26.1901333333
111,GIN,2002,129.3200258333,26.1887416667
112,GIN,2003,149.26803,26.3524416667
113,GIN,2004,143.7838933333,26.52975
114,GIN,2005,136.5711591667,26.591575
115,GIN,2006,137.3083925,26.254025
116,GIN,2007,122.9105141667,26.3051666667
117,GIN,2008,147.6808175,25.8563333333
118,GIN,2009,131.8498341667,26.1087666667
119,GIN,2010,164.64926,26.5151333333
120,GIN,2011,137.1635433333,26.2045083333
121,GIN,2012,141.3844408333,26.1045
122,GIN,2013,145.0374925,26.2134416667
123,GIN,2014,143.0485625,26.2368083333
124,GIN,2015,152.41057,26.4942833333
125,BDI,1991,101.1259741667,20.2925916667
126,BDI,1992,96.87458,20.375225
127,BDI,1993,86.6388066667,20.2877416667
128,BDI,1994,103.5483833333,20.2389166667
129,BDI,1995,93.6498383333,20.8660083333
130,BDI,1996,85.9961916667,20.58665
131,BDI,1997,114.6292608333,20.85295
132,BDI,1998,104.8643291667,20.7614166667
133,BDI,1999,101.2242175,20.4727666667
134,BDI,2000,89.5266191667,20.7136
135,BDI,2001,113.262675,21.2151666667
136,BDI,2002,102.8039708333,21.2907416667
137,BDI,2003,108.8346333333,21.472775
138,BDI,2004,70.5645233333,21.0007166667
139,BDI,2005,90.3626966667,21.6128416667
140,BDI,2006,111.1770383333,20.990975
141,BDI,2007,107.8856508333,20.9888333333
142,BDI,2008,99.9427225,21.0247833333
143,BDI,2009,104.3354833333,21.6032916667
144,BDI,2010,108.0672391667,21.4138166667
145,BDI,2011,124.9363833333,21.0479583333
146,BDI,2012,84.2152433333,20.9279083333
147,BDI,2013,108.3990766667,20.8403583333
148,BDI,2014,104.1217891667,21.046975
149,BDI,2015,109.8710375,20.68845
150,NER,1991,14.2062766667,27.577425
151,NER,1992,13.3563325,26.7950666667
152,NER,1993,11.8306375,27.441325
153,NER,1994,18.6367475,27.07815
154,NER,1995,11.9445141667,27.6269833333
155,NER,1996,11.1679183333,27.8308166667
156,NER,1997,13.95488,27.8308333333
157,NER,1998,16.1132775,28.1595083333
158,NER,1999,18.9731733333,27.9914416667
159,NER,2000,12.4265916667,27.3681083333
160,NER,2001,13.490845,27.7481416667
161,NER,2002,11.9987841667,27.8060916667
162,NER,2003,17.37854,27.8404583333
163,NER,2004,14.3805375,28.0375416667
164,NER,2005,16.9063375,28.0448833333
165,NER,2006,14.5059908333,27.9585
166,NER,2007,17.8846616667,28.051875
167,NER,2008,15.0023416667,27.5368083333
168,NER,2009,13.4650416667,28.618525
169,NER,2010,15.9337783333,28.7143583333
170,NER,2011,12.84584,28.1708166667
171,NER,2012,17.5231275,28.0581
172,NER,2013,15.4926766667,28.1053083333
173,NER,2014,13.1988941667,28.3003916667
174,NER,2015,15.1672766667,27.7006666667
200,SOM,1991,19.1152708333,26.9276
201,SOM,1992,19.646385,26.852475
202,SOM,1993,21.0588175,26.7587666667
203,SOM,1994,22.7305208333,26.8032916667
204,SOM,1995,23.8276808333,27.0181583333
205,SOM,1996,18.6940408333,26.960075
206,SOM,1997,31.2249783333,26.84915
207,SOM,1998,19.46594,27.2101666667
208,SOM,1999,21.5103625,26.789025
209,SOM,2000,22.4039558333,26.8837583333
210,SOM,2001,20.6973141667,26.9220333333
211,SOM,2002,23.970245,27.146025
212,SOM,2003,23.225365,27.2249666667
213,SOM,2004,25.17761,27.1213333333
214,SOM,2005,22.7164641667,27.1099166667
215,SOM,2006,24.5172316667,27.0956916667
216,SOM,2007,25.1883708333,27.0832833333
217,SOM,2008,22.8890366667,26.6935916667
218,SOM,2009,22.0253641667,27.436725
219,SOM,2010,21.3898041667,27.1741583333
220,SOM,2011,25.3506416667,27.1998
221,SOM,2012,22.4955358333,27.05105
222,SOM,2013,27.6457841667,27.0681083333
223,SOM,2014,23.0400875,27.2299333333
224,SOM,2015,26.0166841667,27.5599583333
225,PAK,1991,24.6399358333,19.8752925
226,PAK,1992,31.8024558333,19.7800708333
227,PAK,1993,19.8952208333,20.4492175
228,PAK,1994,35.6005225,20.1686375
229,PAK,1995,29.1641441667,20.0149083333
230,PAK,1996,28.1229383333,19.912235
231,PAK,1997,31.1676575,19.546385
232,PAK,1998,24.6889891667,20.5441075
233,PAK,1999,21.0197758333,20.9432075
234,PAK,2000,16.0181016667,20.7677516667
235,PAK,2001,19.4671983333,20.9075075
236,PAK,2002,17.0793733333,20.91663
237,PAK,2003,31.7461766667,20.3980225
238,PAK,2004,21.4130275,21.1399833333
239,PAK,2005,27.2632091667,20.2210091667
240,PAK,2006,29.5240866667,20.9806483333
241,PAK,2007,26.8213508333,20.7407716667
242,PAK,2008,28.0831266667,20.5548933333
243,PAK,2009,23.0914616667,20.9591166667
244,PAK,2010,31.841605,21.0980716667
245,PAK,2011,27.09047,20.8126091667
246,PAK,2012,22.861,20.1566291667
247,PAK,2013,29.6216175,20.6705475
248,PAK,2014,22.2946025,20.5367391667
249,PAK,2015,32.7846341667,20.51231
250,ZMB,1991,78.1227583333,21.7530916667
251,ZMB,1992,64.0528783333,22.247725
252,ZMB,1993,80.5100841667,21.89085
253,ZMB,1994,63.264825,22.3164583333
254,ZMB,1995,64.1541291667,22.668275
255,ZMB,1996,77.4023941667,22.407675
256,ZMB,1997,86.6305733333,22.612275
257,ZMB,1998,78.5767325,22.6639166667
258,ZMB,1999,63.3556875,21.8860166667
259,ZMB,2000,88.5257316667,21.9630083333
260,ZMB,2001,87.2356066667,22.340675
261,ZMB,2002,76.9995316667,22.5976416667
262,ZMB,2003,86.0395033333,22.6300916667
263,ZMB,2004,90.1621466667,22.175375
264,ZMB,2005,67.6911925,23.3039166667
265,ZMB,2006,85.4706808333,21.8201583333
266,ZMB,2007,79.3465375,21.9350666667
267,ZMB,2008,81.6712941667,21.8971416667
268,ZMB,2009,90.5666466667,22.3919166667
269,ZMB,2010,85.89141,22.6879833333
270,ZMB,2011,81.0477908333,21.981275
271,ZMB,2012,92.2755491667,22.0594083333
272,ZMB,2013,82.162935,22.033725
273,ZMB,2014,83.4126291667,22.0789416667
274,ZMB,2015,72.928165,22.4356333333
275,SEN,1991,49.4108558333,28.33675
276,SEN,1992,50.3470283333,28.2625583333
277,SEN,1993,51.6582058333,28.493975
278,SEN,1994,65.085615,27.9856666667
279,SEN,1995,54.5953066667,28.3069416667
280,SEN,1996,55.16189,28.651275
281,SEN,1997,55.0102858333,28.6882333333
282,SEN,1998,56.39861,29.2035166667
283,SEN,1999,71.6408433333,28.1717833333
284,SEN,2000,62.7259308333,28.4142416667
285,SEN,2001,52.2757133333,28.7622333333
286,SEN,2002,41.8936308333,28.7854916667
287,SEN,2003,71.3088975,28.7527333333
288,SEN,2004,56.9190433333,28.825075
289,SEN,2005,71.426585,28.8937916667
290,SEN,2006,56.8813783333,28.6344166667
291,SEN,2007,53.44842,28.8030083333
292,SEN,2008,66.8702733333,28.7272666667
293,SEN,2009,67.2628775,28.3992
294,SEN,2010,76.7774566667,29.1628916667
295,SEN,2011,56.2322133333,28.6550833333
296,SEN,2012,68.6353725,28.52915
297,SEN,2013,64.5662491667,28.823075
298,SEN,2014,56.1285775,28.7172333333
299,SEN,2015,60.7646266667,28.88895
300,LBN,1991,62.7630983333,15.9004325
301,LBN,1992,59.8430975,14.6496833333
302,LBN,1993,33.9576775,15.7370975
303,LBN,1994,58.1869416667,16.5921866667
304,LBN,1995,28.5863658333,16.0872116667
305,LBN,1996,43.2463216667,16.3711725
306,LBN,1997,43.74,15.492445
307,LBN,1998,37.8482258333,16.9897533333
308,LBN,1999,22.6269158333,16.8514341667
309,LBN,2000,45.9556441667,16.3842283333
310,LBN,2001,47.4246666667,17.3738491667
311,LBN,2002,54.7851091667,16.6586183333
312,LBN,2003,73.1028616667,16.8811383333
