pr,tas,	Year, Month, Country
1e-05,26.3783,1991,1,BFA
1.47345,29.5449,1991,2,BFA
16.7755,31.3829,1991,3,BFA
32.3689,32.1418,1991,4,BFA
132.72,29.9422,1991,5,BFA
105.087,29.163,1991,6,BFA
168.25,26.923,1991,7,BFA
228.961,26.1943,1991,8,BFA
82.1653,28.0229,1991,9,BFA
74.2555,28.2317,1991,10,BFA
0.61639,27.3974,1991,11,BFA
0.02123,24.6382,1991,12,BFA
0.35753,23.847,1992,1,BFA
0.06774,27.8955,1992,2,BFA
2.22104,30.4013,1992,3,BFA
20.7945,32.2839,1992,4,BFA
76.5693,30.951,1992,5,BFA
110.166,29.1421,1992,6,BFA
166.077,26.9647,1992,7,BFA
221.354,26.104,1992,8,BFA
111.429,27.2361,1992,9,BFA
35.4515,28.82,1992,10,BFA
8.42722,26.4171,1992,11,BFA
0.00015,25.3927,1992,12,BFA
2e-05,23.4922,1993,1,BFA
0.82487,28.0478,1993,2,BFA
5.55923,30.8991,1993,3,BFA
22.0118,32.8093,1993,4,BFA
34.3707,32.7034,1993,5,BFA
105.552,29.7949,1993,6,BFA
166.21,27.4875,1993,7,BFA
219.363,26.8228,1993,8,BFA
125.702,27.4731,1993,9,BFA
34.1793,29.209,1993,10,BFA
1.21303,28.7273,1993,11,BFA
0.00078,25.4538,1993,12,BFA
0.40421,24.556,1994,1,BFA
1.36873,27.669,1994,2,BFA
7.85804,31.2447,1994,3,BFA
16.1533,32.7423,1994,4,BFA
72.0681,31.4648,1994,5,BFA
102.138,29.5212,1994,6,BFA
192.469,27.2186,1994,7,BFA
299.083,25.8833,1994,8,BFA
174.817,26.5997,1994,9,BFA
106.097,27.5107,1994,10,BFA
0.87126,27.4061,1994,11,BFA
0.00064,24.1306,1994,12,BFA
0.0,23.3521,1995,1,BFA
0.17103,26.3537,1995,2,BFA
8.76377,31.806,1995,3,BFA
41.7019,32.3075,1995,4,BFA
67.3106,31.6489,1995,5,BFA
107.845,29.7019,1995,6,BFA
134.28,27.7103,1995,7,BFA
244.295,26.5205,1995,8,BFA
119.85,27.6462,1995,9,BFA
35.6685,29.0375,1995,10,BFA
5.12312,27.5406,1995,11,BFA
0.70774,26.4911,1995,12,BFA
0.03811,26.2988,1996,1,BFA
2.35802,28.7007,1996,2,BFA
3.03877,31.7467,1996,3,BFA
34.5578,31.8846,1996,4,BFA
73.5214,31.7415,1996,5,BFA
93.0626,29.4889,1996,6,BFA
131.866,28.0992,1996,7,BFA
225.479,26.5406,1996,8,BFA
157.437,26.6265,1996,9,BFA
41.2685,28.6561,1996,10,BFA
0.00113,26.7019,1996,11,BFA
0.17668,26.1767,1996,12,BFA
1.48775,26.8968,1997,1,BFA
0.10385,26.5029,1997,2,BFA
3.00785,29.9446,1997,3,BFA
44.5434,31.4699,1997,4,BFA
82.5136,31.0438,1997,5,BFA
111.319,28.9153,1997,6,BFA
133.554,28.0433,1997,7,BFA
158.693,27.2186,1997,8,BFA
133.347,28.0648,1997,9,BFA
59.1964,29.654,1997,10,BFA
3.288,28.5363,1997,11,BFA
0.0,26.1401,1997,12,BFA
0.03217,25.5379,1998,1,BFA
1.0528,29.6794,1998,2,BFA
0.66226,30.9013,1998,3,BFA
41.5378,33.8232,1998,4,BFA
68.395,32.2981,1998,5,BFA
81.0482,29.7184,1998,6,BFA
157.076,27.9056,1998,7,BFA
218.62,26.7095,1998,8,BFA
189.281,26.983,1998,9,BFA
57.3108,29.2127,1998,10,BFA
0.58506,28.3658,1998,11,BFA
0.78723,26.1859,1998,12,BFA
0.4225,25.8067,1999,1,BFA
2.16423,27.0961,1999,2,BFA
5.89068,31.9352,1999,3,BFA
31.8856,32.4734,1999,4,BFA
55.8531,31.6789,1999,5,BFA
79.869,30.7833,1999,6,BFA
175.206,27.1752,1999,7,BFA
236.864,25.8712,1999,8,BFA
193.957,26.3661,1999,9,BFA
55.146,28.4336,1999,10,BFA
13.1338,28.0188,1999,11,BFA
0.0,25.2425,1999,12,BFA
1.18244,27.3318,2000,1,BFA
0.00327,25.8254,2000,2,BFA
5.38781,30.233,2000,3,BFA
30.876,33.4454,2000,4,BFA
57.8997,32.1237,2000,5,BFA
111.278,29.3963,2000,6,BFA
127.617,27.104,2000,7,BFA
210.461,26.6406,2000,8,BFA
125.466,27.8468,2000,9,BFA
53.5024,28.9377,2000,10,BFA
1.02548,28.2886,2000,11,BFA
9e-05,25.2821,2000,12,BFA
0.03569,25.0077,2001,1,BFA
0.06166,26.5719,2001,2,BFA
1.98163,31.3447,2001,3,BFA
24.1981,33.1414,2001,4,BFA
53.1318,31.8914,2001,5,BFA
100.919,29.3784,2001,6,BFA
168.766,27.3822,2001,7,BFA
219.378,26.4865,2001,8,BFA
128.003,27.4353,2001,9,BFA
28.3113,29.4357,2001,10,BFA
0.59868,28.1165,2001,11,BFA
0.91952,26.6911,2001,12,BFA
0.38504,25.0357,2002,1,BFA
0.12648,27.3185,2002,2,BFA
4.94455,32.2619,2002,3,BFA
24.1354,33.1281,2002,4,BFA
46.2247,32.7754,2002,5,BFA
87.0117,30.2289,2002,6,BFA
165.32,28.4777,2002,7,BFA
171.873,27.0467,2002,8,BFA
126.165,27.8477,2002,9,BFA
54.8176,28.5338,2002,10,BFA
0.92116,28.2127,2002,11,BFA
0.01425,26.1213,2002,12,BFA
0.03739,25.9125,2003,1,BFA
1.07871,29.8859,2003,2,BFA
12.7326,30.9146,2003,3,BFA
39.4936,33.0068,2003,4,BFA
68.475,32.2712,2003,5,BFA
140.794,28.684,2003,6,BFA
183.51,27.1569,2003,7,BFA
260.568,26.6205,2003,8,BFA
161.082,27.1081,2003,9,BFA
43.4252,29.6134,2003,10,BFA
3.98725,28.7476,2003,11,BFA
0.21186,25.6104,2003,12,BFA
0.83712,26.0852,2004,1,BFA
3.85679,28.5325,2004,2,BFA
10.2506,30.269,2004,3,BFA
46.1921,32.4674,2004,4,BFA
56.5413,31.5926,2004,5,BFA
87.688,29.5943,2004,6,BFA
192.567,27.1094,2004,7,BFA
193.199,27.0175,2004,8,BFA
111.444,27.7345,2004,9,BFA
24.6398,29.6785,2004,10,BFA
6.62992,28.7956,2004,11,BFA
0.13599,27.6252,2004,12,BFA
0.1836,25.1837,2005,1,BFA
1.28977,30.3974,2005,2,BFA
10.8214,32.8932,2005,3,BFA
24.6085,33.5932,2005,4,BFA
63.8944,31.8426,2005,5,BFA
138.699,29.418,2005,6,BFA
163.72,27.4503,2005,7,BFA
184.339,26.8005,2005,8,BFA
155.936,27.8112,2005,9,BFA
42.0654,29.2562,2005,10,BFA
2.24445,28.5085,2005,11,BFA
0.3601,26.6514,2005,12,BFA
0.24896,24.7407,2006,1,BFA
0.64916,28.7259,2006,2,BFA
4.74859,31.7418,2006,3,BFA
23.0334,32.905,2006,4,BFA
56.7615,31.9186,2006,5,BFA
114.531,30.2747,2006,6,BFA
150.632,28.1075,2006,7,BFA
191.648,26.8161,2006,8,BFA
172.434,27.1796,2006,9,BFA
66.807,29.1633,2006,10,BFA
0.21906,27.3239,2006,11,BFA
0.12388,25.2129,2006,12,BFA
0.02665,24.6771,2007,1,BFA
0.09801,28.37,2007,2,BFA
3.12611,31.3731,2007,3,BFA
65.5499,32.6869,2007,4,BFA
49.6747,32.1326,2007,5,BFA
87.2243,30.4788,2007,6,BFA
