pr,tas,	Year, Month, Country
121.199,23.8829,1991,1,ZAR
121.532,24.8058,1991,2,ZAR
169.596,24.9955,1991,3,ZAR
135.746,24.518,1991,4,ZAR
118.63,24.5562,1991,5,ZAR
54.975,23.9449,1991,6,ZAR
71.4692,22.9457,1991,7,ZAR
108.474,23.3023,1991,8,ZAR
101.589,24.2773,1991,9,ZAR
179.32,24.3544,1991,10,ZAR
168.796,23.803,1991,11,ZAR
118.692,23.9383,1991,12,ZAR
112.808,24.3501,1992,1,ZAR
114.711,25.1037,1992,2,ZAR
110.102,25.3314,1992,3,ZAR
149.924,25.024,1992,4,ZAR
152.977,24.3442,1992,5,ZAR
69.6728,23.3531,1992,6,ZAR
46.338,22.8036,1992,7,ZAR
59.7331,22.8681,1992,8,ZAR
136.186,24.1905,1992,9,ZAR
162.634,24.4145,1992,10,ZAR
170.211,23.1559,1992,11,ZAR
125.137,23.898,1992,12,ZAR
156.686,23.4454,1993,1,ZAR
117.52,23.3115,1993,2,ZAR
165.797,24.8587,1993,3,ZAR
139.629,24.5213,1993,4,ZAR
107.918,24.4099,1993,5,ZAR
74.1602,23.3938,1993,6,ZAR
54.5785,23.4358,1993,7,ZAR
74.2699,24.3673,1993,8,ZAR
87.559,21.6773,1993,9,ZAR
95.1722,24.0472,1993,10,ZAR
175.643,25.0042,1993,11,ZAR
159.345,23.6852,1993,12,ZAR
161.962,23.8059,1994,1,ZAR
89.2683,24.4431,1994,2,ZAR
87.9915,24.9473,1994,3,ZAR
146.046,24.5349,1994,4,ZAR
99.1045,24.6846,1994,5,ZAR
55.1479,23.4811,1994,6,ZAR
47.6201,22.5249,1994,7,ZAR
86.4578,23.8085,1994,8,ZAR
72.9611,24.0945,1994,9,ZAR
161.399,24.2738,1994,10,ZAR
189.416,24.5062,1994,11,ZAR
167.042,24.0829,1994,12,ZAR
110.854,24.3539,1995,1,ZAR
98.8218,24.571,1995,2,ZAR
129.589,24.9192,1995,3,ZAR
154.184,24.6524,1995,4,ZAR
119.586,24.5268,1995,5,ZAR
61.9918,23.6096,1995,6,ZAR
43.109,23.3888,1995,7,ZAR
64.163,24.6422,1995,8,ZAR
125.3,24.2179,1995,9,ZAR
191.772,25.0496,1995,10,ZAR
158.555,25.0558,1995,11,ZAR
177.175,24.6111,1995,12,ZAR
114.053,24.3917,1996,1,ZAR
99.9126,24.3527,1996,2,ZAR
204.136,24.356,1996,3,ZAR
116.843,24.3608,1996,4,ZAR
86.959,24.2097,1996,5,ZAR
51.258,23.4028,1996,6,ZAR
36.3507,23.4146,1996,7,ZAR
62.5865,24.0085,1996,8,ZAR
101.946,24.6048,1996,9,ZAR
171.704,24.7995,1996,10,ZAR
149.764,24.3344,1996,11,ZAR
113.944,24.6358,1996,12,ZAR
131.582,24.4587,1997,1,ZAR
83.2438,24.4556,1997,2,ZAR
166.118,25.2118,1997,3,ZAR
202.094,25.1514,1997,4,ZAR
91.039,24.934,1997,5,ZAR
55.897,23.9664,1997,6,ZAR
57.36,23.7299,1997,7,ZAR
69.3817,23.6625,1997,8,ZAR
119.455,24.553,1997,9,ZAR
204.094,25.1216,1997,10,ZAR
165.148,25.6619,1997,11,ZAR
186.67,24.8138,1997,12,ZAR
155.353,24.9121,1998,1,ZAR
90.8463,25.4114,1998,2,ZAR
134.437,25.1704,1998,3,ZAR
144.455,25.0584,1998,4,ZAR
96.5425,25.2839,1998,5,ZAR
58.5146,23.9777,1998,6,ZAR
62.4457,24.1376,1998,7,ZAR
86.6476,23.7406,1998,8,ZAR
161.165,24.0959,1998,9,ZAR
139.664,24.2565,1998,10,ZAR
155.866,25.5976,1998,11,ZAR
126.207,24.2482,1998,12,ZAR
117.239,23.7042,1999,1,ZAR
90.6775,24.8258,1999,2,ZAR
169.212,24.7275,1999,3,ZAR
144.287,24.8524,1999,4,ZAR
110.944,24.0022,1999,5,ZAR
53.7098,23.6633,1999,6,ZAR
59.3329,23.1795,1999,7,ZAR
135.731,22.9511,1999,8,ZAR
108.173,23.7899,1999,9,ZAR
161.364,23.8842,1999,10,ZAR
207.639,24.1399,1999,11,ZAR
149.828,24.5604,1999,12,ZAR
106.854,24.7843,2000,1,ZAR
108.176,24.1993,2000,2,ZAR
132.743,24.7418,2000,3,ZAR
137.9,25.019,2000,4,ZAR
137.159,24.7762,2000,5,ZAR
61.6865,23.8017,2000,6,ZAR
60.1359,23.1056,2000,7,ZAR
95.5638,24.201,2000,8,ZAR
113.384,24.3189,2000,9,ZAR
163.739,24.1992,2000,10,ZAR
188.753,24.3759,2000,11,ZAR
149.015,23.9715,2000,12,ZAR
154.865,24.1597,2001,1,ZAR
98.8981,25.1977,2001,2,ZAR
145.713,24.8753,2001,3,ZAR
137.079,25.387,2001,4,ZAR
96.4063,26.3813,2001,5,ZAR
60.5214,23.773,2001,6,ZAR
74.8802,23.5332,2001,7,ZAR
75.6481,23.8293,2001,8,ZAR
113.998,24.7165,2001,9,ZAR
165.503,25.0531,2001,10,ZAR
143.729,24.5072,2001,11,ZAR
135.321,24.5052,2001,12,ZAR
179.113,24.2113,2002,1,ZAR
124.036,24.7741,2002,2,ZAR
185.483,25.1071,2002,3,ZAR
137.845,25.7248,2002,4,ZAR
107.137,24.9835,2002,5,ZAR
49.7579,24.1663,2002,6,ZAR
56.5533,24.5883,2002,7,ZAR
84.1987,24.5735,2002,8,ZAR
126.606,24.791,2002,9,ZAR
192.25,24.5337,2002,10,ZAR
183.634,24.531,2002,11,ZAR
178.72,24.5975,2002,12,ZAR
148.944,24.5744,2003,1,ZAR
120.774,25.3393,2003,2,ZAR
159.958,25.2523,2003,3,ZAR
140.964,25.2444,2003,4,ZAR
103.04,25.4433,2003,5,ZAR
52.1133,24.0627,2003,6,ZAR
59.4541,23.5739,2003,7,ZAR
