pr,tas,	Year, Month, Country
1.90012,24.3696,1991,1,DJI
66.1597,25.2911,1991,2,DJI
40.9931,26.0526,1991,3,DJI
6.42146,28.7161,1991,4,DJI
9.16594,29.4646,1991,5,DJI
2.0567,31.5726,1991,6,DJI
13.9655,32.1394,1991,7,DJI
14.8314,32.0851,1991,8,DJI
6.40741,29.2669,1991,9,DJI
2.29585,27.4402,1991,10,DJI
17.3387,25.1075,1991,11,DJI
4.2974,23.8801,1991,12,DJI
23.2396,21.8849,1992,1,DJI
11.6021,23.5579,1992,2,DJI
18.1929,26.0749,1992,3,DJI
19.9402,28.1447,1992,4,DJI
5.67823,30.0084,1992,5,DJI
0.99534,31.8849,1992,6,DJI
11.564,32.1693,1992,7,DJI
59.6127,31.0235,1992,8,DJI
112.577,29.7312,1992,9,DJI
9.67448,26.8198,1992,10,DJI
15.1458,25.7368,1992,11,DJI
11.1404,24.5892,1992,12,DJI
12.5257,23.9703,1993,1,DJI
53.6857,23.8251,1993,2,DJI
8.64474,26.5619,1993,3,DJI
76.5303,27.057,1993,4,DJI
61.0607,29.0995,1993,5,DJI
1.98921,32.1021,1993,6,DJI
18.7492,30.9752,1993,7,DJI
12.3036,30.0033,1993,8,DJI
40.4617,29.8608,1993,9,DJI
20.1626,28.0855,1993,10,DJI
8.17733,25.4889,1993,11,DJI
0.98166,22.5043,1993,12,DJI
0.26819,23.2963,1994,1,DJI
1.8213,24.0999,1994,2,DJI
5.20383,26.2328,1994,3,DJI
10.6166,29.3578,1994,4,DJI
6.77889,29.9504,1994,5,DJI
2.14496,32.2368,1994,6,DJI
63.1872,32.407,1994,7,DJI
77.3109,31.2544,1994,8,DJI
101.275,29.6027,1994,9,DJI
0.28269,26.8614,1994,10,DJI
45.2963,24.3608,1994,11,DJI
7.47421,24.0097,1994,12,DJI
0.70316,23.5219,1995,1,DJI
6.86202,24.8305,1995,2,DJI
43.743,26.541,1995,3,DJI
18.9863,27.9464,1995,4,DJI
6.96369,30.3674,1995,5,DJI
1.2451,30.6834,1995,6,DJI
134.28,32.3271,1995,7,DJI
64.7125,31.6545,1995,8,DJI
8.19695,30.5719,1995,9,DJI
17.8318,27.9483,1995,10,DJI
1.73653,25.573,1995,11,DJI
5.84071,24.7038,1995,12,DJI
8.66029,24.449,1996,1,DJI
1.09568,24.9427,1996,2,DJI
24.5244,26.5302,1996,3,DJI
12.2577,30.4622,1996,4,DJI
23.9333,29.9263,1996,5,DJI
2.87106,30.2567,1996,6,DJI
16.5026,32.4303,1996,7,DJI
21.5367,31.6793,1996,8,DJI
14.384,30.9774,1996,9,DJI
0.72653,27.7562,1996,10,DJI
11.8947,24.923,1996,11,DJI
0.9892,23.8256,1996,12,DJI
10.4551,23.8598,1997,1,DJI
0.52291,24.3849,1997,2,DJI
66.6427,26.3853,1997,3,DJI
13.5557,27.3513,1997,4,DJI
4.75648,29.4476,1997,5,DJI
3.74227,31.2261,1997,6,DJI
14.3146,33.3638,1997,7,DJI
12.6705,32.3021,1997,8,DJI
3.0969,30.4758,1997,9,DJI
24.1435,27.467,1997,10,DJI
45.4469,26.3778,1997,11,DJI
12.0668,23.7801,1997,12,DJI
26.588,23.8284,1998,1,DJI
5.37386,26.0979,1998,2,DJI
10.3694,27.5285,1998,3,DJI
9.94807,29.4518,1998,4,DJI
6.99087,30.5872,1998,5,DJI
5.55218,33.0448,1998,6,DJI
49.7242,32.7683,1998,7,DJI
93.8068,31.9828,1998,8,DJI
6.0576,31.2502,1998,9,DJI
11.9146,27.5011,1998,10,DJI
3.22463,25.939,1998,11,DJI
0.26729,24.159,1998,12,DJI
5.93747,24.0794,1999,1,DJI
2.75889,25.036,1999,2,DJI
28.5431,26.3612,1999,3,DJI
3.37921,28.0651,1999,4,DJI
2.45545,30.5968,1999,5,DJI
0.96156,31.1233,1999,6,DJI
21.6286,32.2133,1999,7,DJI
107.062,31.1595,1999,8,DJI
121.51,30.3276,1999,9,DJI
63.7593,26.8376,1999,10,DJI
31.3073,25.0196,1999,11,DJI
0.40929,23.5552,1999,12,DJI
0.44941,23.2249,2000,1,DJI
0.60975,25.233,2000,2,DJI
1.75152,25.9498,2000,3,DJI
13.3365,29.0828,2000,4,DJI
76.746,29.6705,2000,5,DJI
