pr,tas,	Year, Month, Country
276.943,23.4426,1991,1,MWI
184.403,23.8967,1991,2,MWI
226.949,23.4338,1991,3,MWI
88.3881,22.1079,1991,4,MWI
17.9175,20.881,1991,5,MWI
2.31426,18.7554,1991,6,MWI
11.8595,17.8491,1991,7,MWI
1.83959,19.4425,1991,8,MWI
4.89403,22.0474,1991,9,MWI
13.7438,23.8744,1991,10,MWI
77.469,24.1771,1991,11,MWI
171.704,23.4841,1991,12,MWI
184.737,23.6697,1992,1,MWI
72.8371,23.9855,1992,2,MWI
155.083,24.3464,1992,3,MWI
40.3893,23.2782,1992,4,MWI
23.8624,21.7628,1992,5,MWI
4.57758,19.2779,1992,6,MWI
1.42788,17.9573,1992,7,MWI
0.45104,18.6669,1992,8,MWI
0.00157,22.2388,1992,9,MWI
2.53685,23.4079,1992,10,MWI
79.2723,25.1148,1992,11,MWI
168.978,24.4973,1992,12,MWI
263.426,23.0932,1993,1,MWI
209.972,22.9884,1993,2,MWI
160.533,23.0129,1993,3,MWI
82.1025,23.3043,1993,4,MWI
17.5332,21.2526,1993,5,MWI
15.8346,18.3684,1993,6,MWI
2.816,18.2284,1993,7,MWI
4.86805,19.0112,1993,8,MWI
6.16865,21.8324,1993,9,MWI
13.6397,24.3689,1993,10,MWI
69.6953,24.62,1993,11,MWI
110.814,25.3227,1993,12,MWI
254.73,23.6012,1994,1,MWI
177.928,23.8733,1994,2,MWI
120.444,23.7793,1994,3,MWI
74.4354,22.3201,1994,4,MWI
2.70981,20.8606,1994,5,MWI
5.17106,19.0054,1994,6,MWI
2.84778,17.0812,1994,7,MWI
3.06605,19.2835,1994,8,MWI
1.33845,22.2147,1994,9,MWI
27.5463,23.5071,1994,10,MWI
35.7804,26.0284,1994,11,MWI
103.776,25.1115,1994,12,MWI
253.369,23.2044,1995,1,MWI
186.594,23.4435,1995,2,MWI
110.343,23.7974,1995,3,MWI
51.1178,22.6963,1995,4,MWI
21.3424,21.1958,1995,5,MWI
2.8503,18.7315,1995,6,MWI
3.24557,18.7519,1995,7,MWI
1.99327,20.7794,1995,8,MWI
0.79562,22.4066,1995,9,MWI
3.12618,25.5756,1995,10,MWI
35.0697,26.1776,1995,11,MWI
235.449,24.337,1995,12,MWI
216.203,23.6982,1996,1,MWI
268.508,23.1552,1996,2,MWI
228.277,23.0776,1996,3,MWI
69.4808,21.5373,1996,4,MWI
43.0654,20.6716,1996,5,MWI
4.34816,18.4438,1996,6,MWI
4.72963,18.0988,1996,7,MWI
0.68537,19.9855,1996,8,MWI
2.57594,22.7451,1996,9,MWI
6.47603,24.3183,1996,10,MWI
25.7322,26.1189,1996,11,MWI
223.918,24.5557,1996,12,MWI
247.242,24.0918,1997,1,MWI
288.149,23.0802,1997,2,MWI
118.331,24.0454,1997,3,MWI
112.969,22.5805,1997,4,MWI
5.02585,20.2767,1997,5,MWI
1.93778,20.0997,1997,6,MWI
16.5931,18.3118,1997,7,MWI
0.34531,20.3262,1997,8,MWI
5.13173,22.7233,1997,9,MWI
33.5941,24.0238,1997,10,MWI
68.6155,25.8365,1997,11,MWI
273.679,24.0587,1997,12,MWI
274.955,24.1652,1998,1,MWI
173.109,24.2897,1998,2,MWI
102.082,24.6545,1998,3,MWI
51.5053,22.5875,1998,4,MWI
4.48309,21.1339,1998,5,MWI
1.01502,19.091,1998,6,MWI
3.59662,18.8288,1998,7,MWI
4.91475,20.1726,1998,8,MWI
1.36846,22.1439,1998,9,MWI
13.7986,24.7012,1998,10,MWI
49.2758,26.0016,1998,11,MWI
146.574,25.0916,1998,12,MWI
298.469,23.8619,1999,1,MWI
200.982,23.7385,1999,2,MWI
316.775,23.3448,1999,3,MWI
121.359,21.99,1999,4,MWI
12.7364,20.5692,1999,5,MWI
8.64078,19.0373,1999,6,MWI
9.42983,18.0886,1999,7,MWI
4.7657,19.5777,1999,8,MWI
3.00403,21.6854,1999,9,MWI
2.2879,23.527,1999,10,MWI
57.9766,25.028,1999,11,MWI
110.295,25.3039,1999,12,MWI
224.411,23.8149,2000,1,MWI
198.832,23.0177,2000,2,MWI
182.737,23.2521,2000,3,MWI
42.6104,22.4674,2000,4,MWI
10.3222,20.7808,2000,5,MWI
5.4287,19.0648,2000,6,MWI
4.11396,17.822,2000,7,MWI
1.19601,19.1302,2000,8,MWI
0.66073,22.3614,2000,9,MWI
8.47403,23.4193,2000,10,MWI
143.109,23.7302,2000,11,MWI
224.8,23.8315,2000,12,MWI
222.075,22.9586,2001,1,MWI
245.138,23.0926,2001,2,MWI
238.738,23.3155,2001,3,MWI
64.6124,22.2534,2001,4,MWI
57.523,20.5913,2001,5,MWI
4.82682,18.4803,2001,6,MWI
0.95301,18.3804,2001,7,MWI
1.68482,20.2736,2001,8,MWI
2.13851,22.4908,2001,9,MWI
6.06787,25.0713,2001,10,MWI
38.4455,25.6851,2001,11,MWI
175.021,24.7801,2001,12,MWI
252.332,23.6337,2002,1,MWI
129.233,23.2486,2002,2,MWI
219.954,23.5913,2002,3,MWI
80.3881,22.2316,2002,4,MWI
3.03449,21.1863,2002,5,MWI
28.8947,18.6214,2002,6,MWI
0.00273,19.4641,2002,7,MWI
7.09353,20.1692,2002,8,MWI
2.10952,22.1949,2002,9,MWI
6.05991,24.8762,2002,10,MWI
78.6611,25.0033,2002,11,MWI
165.956,24.6395,2002,12,MWI
181.296,23.9309,2003,1,MWI
228.233,23.9414,2003,2,MWI
357.385,24.196,2003,3,MWI
59.4961,22.2367,2003,4,MWI
15.4165,20.8167,2003,5,MWI
5.39124,19.2278,2003,6,MWI
23.3387,17.697,2003,7,MWI
6.59995,19.5228,2003,8,MWI
1.93283,22.2409,2003,9,MWI
6.72862,25.0653,2003,10,MWI
22.31,26.2185,2003,11,MWI
172.372,24.4105,2003,12,MWI
258.25,24.2687,2004,1,MWI
180.934,23.6772,2004,2,MWI
170.307,24.0401,2004,3,MWI
