pr,tas,	Year, Month, Country
169.27,26.6188,1991,1,MOZ
207.829,26.4012,1991,2,MOZ
223.567,25.7593,1991,3,MOZ
70.7743,24.0297,1991,4,MOZ
15.2002,22.3728,1991,5,MOZ
14.4172,20.238,1991,6,MOZ
19.1779,20.0196,1991,7,MOZ
4.77409,21.1002,1991,8,MOZ
13.0338,23.7607,1991,9,MOZ
8.85365,25.0637,1991,10,MOZ
74.4012,25.8992,1991,11,MOZ
144.54,25.7162,1991,12,MOZ
135.848,26.631,1992,1,MOZ
89.3647,26.6727,1992,2,MOZ
121.169,26.3043,1992,3,MOZ
36.4379,25.0785,1992,4,MOZ
27.2533,23.2176,1992,5,MOZ
18.3622,20.8417,1992,6,MOZ
7.58648,19.9412,1992,7,MOZ
7.91906,20.5971,1992,8,MOZ
2.16894,23.7147,1992,9,MOZ
9.05522,25.9303,1992,10,MOZ
80.7964,26.5753,1992,11,MOZ
140.981,27.0699,1992,12,MOZ
214.768,26.0296,1993,1,MOZ
205.455,26.1122,1993,2,MOZ
147.501,25.1573,1993,3,MOZ
87.2994,25.1634,1993,4,MOZ
22.2544,23.4457,1993,5,MOZ
22.445,20.5525,1993,6,MOZ
26.7527,20.0076,1993,7,MOZ
13.6202,20.6794,1993,8,MOZ
5.68014,23.2115,1993,9,MOZ
11.8023,25.4859,1993,10,MOZ
91.1551,25.7971,1993,11,MOZ
102.133,27.0475,1993,12,MOZ
233.581,26.2183,1994,1,MOZ
129.363,25.7773,1994,2,MOZ
146.311,25.8405,1994,3,MOZ
47.1502,24.4109,1994,4,MOZ
7.21582,22.2473,1994,5,MOZ
12.2693,20.3943,1994,6,MOZ
18.2318,19.5614,1994,7,MOZ
9.35014,20.9077,1994,8,MOZ
14.0178,23.2019,1994,9,MOZ
38.6591,24.1922,1994,10,MOZ
24.9635,26.9663,1994,11,MOZ
126.044,26.5884,1994,12,MOZ
220.405,26.1644,1995,1,MOZ
158.087,26.617,1995,2,MOZ
93.5855,26.1926,1995,3,MOZ
55.5089,24.6833,1995,4,MOZ
39.8125,22.6356,1995,5,MOZ
7.78665,20.0086,1995,6,MOZ
11.1574,20.3246,1995,7,MOZ
12.0241,21.9069,1995,8,MOZ
2.02715,23.5493,1995,9,MOZ
13.2981,26.7653,1995,10,MOZ
36.3261,26.9011,1995,11,MOZ
206.915,25.9555,1995,12,MOZ
246.098,26.3947,1996,1,MOZ
221.832,25.911,1996,2,MOZ
172.103,25.3586,1996,3,MOZ
59.7845,23.4052,1996,4,MOZ
51.9465,22.4155,1996,5,MOZ
28.9472,20.1018,1996,6,MOZ
22.4531,19.4704,1996,7,MOZ
9.36409,21.2884,1996,8,MOZ
3.53297,23.5829,1996,9,MOZ
10.5421,25.3707,1996,10,MOZ
31.9648,27.3784,1996,11,MOZ
