pr,tas,	Year, Month, Country
0.23101,24.6872,1991,1,SEN
0.00031,26.2844,1991,2,SEN
0.0067,28.6151,1991,3,SEN
0.51121,30.1404,1991,4,SEN
7.45185,30.8543,1991,5,SEN
39.3161,30.9896,1991,6,SEN
144.304,29.14,1991,7,SEN
161.012,27.9975,1991,8,SEN
163.682,28.0844,1991,9,SEN
76.1379,28.8223,1991,10,SEN
0.17405,28.0543,1991,11,SEN
0.10314,26.3715,1991,12,SEN
0.19877,25.078,1992,1,SEN
2.67436,26.6638,1992,2,SEN
0.0366,28.4361,1992,3,SEN
0.62257,30.1916,1992,4,SEN
21.748,31.0208,1992,5,SEN
63.559,30.7075,1992,6,SEN
135.051,28.4688,1992,7,SEN
196.412,28.1371,1992,8,SEN
143.122,28.2857,1992,9,SEN
39.7562,29.2537,1992,10,SEN
0.91641,27.3437,1992,11,SEN
0.06743,25.5639,1992,12,SEN
0.34395,25.0748,1993,1,SEN
0.82778,26.837,1993,2,SEN
0.03371,29.1414,1993,3,SEN
2.4704,30.9847,1993,4,SEN
3.81717,32.6052,1993,5,SEN
48.1379,30.9303,1993,6,SEN
158.714,29.0623,1993,7,SEN
189.126,28.1126,1993,8,SEN
171.758,27.9178,1993,9,SEN
39.6229,29.1977,1993,10,SEN
4.73254,27.305,1993,11,SEN
0.31412,24.7589,1993,12,SEN
0.00036,23.2109,1994,1,SEN
0.00204,26.635,1994,2,SEN
0.03966,29.1996,1994,3,SEN
0.45458,30.8116,1994,4,SEN
10.0561,31.2673,1994,5,SEN
58.4842,30.1221,1994,6,SEN
159.501,28.6838,1994,7,SEN
278.307,27.3046,1994,8,SEN
192.025,27.7264,1994,9,SEN
69.4111,28.3798,1994,10,SEN
12.7078,27.474,1994,11,SEN
0.03854,25.0129,1994,12,SEN
0.00036,24.0282,1995,1,SEN
0.21773,26.9729,1995,2,SEN
0.05722,28.3578,1995,3,SEN
0.33601,30.0202,1995,4,SEN
7.73268,31.5343,1995,5,SEN
55.1708,31.3047,1995,6,SEN
142.879,29.3776,1995,7,SEN
237.899,27.9319,1995,8,SEN
164.866,27.9901,1995,9,SEN
44.9839,29.2916,1995,10,SEN
0.25886,27.824,1995,11,SEN
0.74212,25.05,1995,12,SEN
0.0138,25.9998,1996,1,SEN
0.10217,28.2805,1996,2,SEN
0.16193,28.7643,1996,3,SEN
0.03355,30.6171,1996,4,SEN
9.06616,31.1666,1996,5,SEN
53.0904,30.9891,1996,6,SEN
154.416,29.2206,1996,7,SEN
224.687,28.0589,1996,8,SEN
155.071,28.3825,1996,9,SEN
62.6887,29.0924,1996,10,SEN
2.55728,27.2887,1996,11,SEN
0.05469,25.9548,1996,12,SEN
0.00876,25.8317,1997,1,SEN
0.0,28.4003,1997,2,SEN
0.01319,28.3489,1997,3,SEN
0.602,30.2209,1997,4,SEN
40.2569,31.6567,1997,5,SEN
98.815,30.1116,1997,6,SEN
82.7441,29.6929,1997,7,SEN
221.961,28.5476,1997,8,SEN
172.331,28.2799,1997,9,SEN
43.0503,29.5524,1997,10,SEN
0.33973,28.6208,1997,11,SEN
0.00145,24.9951,1997,12,SEN
0.00135,25.4315,1998,1,SEN
0.04466,29.5639,1998,2,SEN
0.00588,30.4028,1998,3,SEN
0.15573,32.2698,1998,4,SEN
4.84704,32.8891,1998,5,SEN
38.9791,31.7464,1998,6,SEN
127.747,28.8984,1998,7,SEN
233.988,28.1292,1998,8,SEN
244.841,27.9795,1998,9,SEN
26.0857,29.6405,1998,10,SEN
0.06266,28.0253,1998,11,SEN
0.0252,25.4658,1998,12,SEN
0.0303,24.3305,1999,1,SEN
0.03372,25.4583,1999,2,SEN
0.01028,28.774,1999,3,SEN
0.82496,30.5802,1999,4,SEN
16.3365,31.4696,1999,5,SEN
48.8191,30.8783,1999,6,SEN
158.574,28.5816,1999,7,SEN
306.372,27.6279,1999,8,SEN
191.147,28.038,1999,9,SEN
135.006,28.4273,1999,10,SEN
2.47329,28.1301,1999,11,SEN
0.06297,25.7656,1999,12,SEN
0.19659,26.0565,2000,1,SEN
0.00637,26.8319,2000,2,SEN
0.02177,29.8421,2000,3,SEN
0.41765,31.8265,2000,4,SEN
2.04995,31.5506,2000,5,SEN
68.5071,30.1792,2000,6,SEN
199.574,28.6932,2000,7,SEN
212.553,27.7047,2000,8,SEN
151.802,28.2833,2000,9,SEN
112.289,27.9862,2000,10,SEN
5.2922,26.972,2000,11,SEN
0.00154,25.0447,2000,12,SEN
0.00091,25.3126,2001,1,SEN
0.00437,27.4628,2001,2,SEN
0.03403,29.6848,2001,3,SEN
0.3813,30.7562,2001,4,SEN
7.55718,31.6388,2001,5,SEN
113.044,30.3741,2001,6,SEN
158.505,28.785,2001,7,SEN
148.683,28.7375,2001,8,SEN
158.702,28.3396,2001,9,SEN
30.4699,29.2626,2001,10,SEN
9.91792,27.709,2001,11,SEN
0.00895,27.0838,2001,12,SEN
0.25744,25.2014,2002,1,SEN
0.03535,27.3478,2002,2,SEN
0.03209,28.3546,2002,3,SEN
0.79571,30.2537,2002,4,SEN
9.2595,31.7845,2002,5,SEN
52.4543,30.8487,2002,6,SEN
70.7859,29.5191,2002,7,SEN
162.661,28.93,2002,8,SEN
133.521,28.9777,2002,9,SEN
72.5661,29.6556,2002,10,SEN
0.25589,28.1889,2002,11,SEN
0.09929,26.3639,2002,12,SEN
0.0284,25.2663,2003,1,SEN
0.24723,26.8971,2003,2,SEN
0.03378,30.3062,2003,3,SEN
1.54431,31.727,2003,4,SEN
1.54409,32.0823,2003,5,SEN
80.8739,30.4916,2003,6,SEN
158.796,28.8341,2003,7,SEN
295.435,27.9729,2003,8,SEN
234.742,28.072,2003,9,SEN
79.0252,29.2711,2003,10,SEN
3.42661,28.3522,2003,11,SEN
0.01025,25.76,2003,12,SEN
0.83472,25.0292,2004,1,SEN
1.69475,27.4173,2004,2,SEN
0.03531,29.2308,2004,3,SEN
0.38606,30.8882,2004,4,SEN
12.9317,32.2389,2004,5,SEN
93.0822,30.7292,2004,6,SEN
193.296,28.7109,2004,7,SEN
211.44,28.1027,2004,8,SEN
150.476,28.382,2004,9,SEN
15.0638,29.9969,2004,10,SEN
3.78079,28.371,2004,11,SEN
0.00719,26.8038,2004,12,SEN
0.0026,25.5929,2005,1,SEN
0.70656,26.5802,2005,2,SEN
0.37386,30.103,2005,3,SEN
0.19599,30.9786,2005,4,SEN
29.6219,32.1138,2005,5,SEN
101.156,31.2,2005,6,SEN
221.772,28.8978,2005,7,SEN
233.5,28.662,2005,8,SEN
210.638,28.2042,2005,9,SEN
58.6615,29.5247,2005,10,SEN
0.48562,28.0959,2005,11,SEN
0.00499,26.7724,2005,12,SEN
0.14669,24.7503,2006,1,SEN
0.14576,26.6011,2006,2,SEN
0.01602,29.8416,2006,3,SEN
0.06965,30.943,2006,4,SEN
9.66045,30.9506,2006,5,SEN
91.0611,30.7001,2006,6,SEN
97.2233,29.682,2006,7,SEN
250.287,28.3832,2006,8,SEN
179.043,28.2759,2006,9,SEN
54.8535,30.0078,2006,10,SEN
0.06588,28.5671,2006,11,SEN
0.00419,24.9103,2006,12,SEN
0.0019,25.7127,2007,1,SEN
0.00822,27.8527,2007,2,SEN
0.05399,30.0133,2007,3,SEN
0.09871,30.9029,2007,4,SEN
6.07603,32.3436,2007,5,SEN
33.0995,30.9589,2007,6,SEN
143.365,28.9829,2007,7,SEN
246.489,27.8359,2007,8,SEN
171.946,28.148,2007,9,SEN
35.2491,29.9397,2007,10,SEN
4.98942,27.7421,2007,11,SEN
0.00417,25.2034,2007,12,SEN
0.00226,24.5291,2008,1,SEN
2.13791,27.9278,2008,2,SEN
0.01582,30.0444,2008,3,SEN
0.12515,31.4961,2008,4,SEN
17.1692,32.7116,2008,5,SEN
98.4272,30.7935,2008,6,SEN
183.324,28.7097,2008,7,SEN
258.295,27.6816,2008,8,SEN
176.368,28.3392,2008,9,SEN
66.5093,28.9565,2008,10,SEN
0.06211,28.0972,2008,11,SEN
0.00733,25.4405,2008,12,SEN
0.00106,23.3989,2009,1,SEN
0.01043,26.3716,2009,2,SEN
0.27509,28.703,2009,3,SEN
0.07382,31.0901,2009,4,SEN
13.6636,31.9458,2009,5,SEN
66.5165,30.903,2009,6,SEN
184.386,29.1783,2009,7,SEN
300.028,28.0263,2009,8,SEN
206.62,27.9872,2009,9,SEN
35.1012,29.5048,2009,10,SEN
0.46039,27.7143,2009,11,SEN
0.01844,25.9671,2009,12,SEN
0.00046,25.9605,2010,1,SEN
0.01237,28.7724,2010,2,SEN
0.01296,31.0562,2010,3,SEN
2.94293,31.8517,2010,4,SEN
14.6316,32.918,2010,5,SEN
83.2252,31.1773,2010,6,SEN
216.19,28.9817,2010,7,SEN
253.205,28.1284,2010,8,SEN
287.745,27.7177,2010,9,SEN
61.283,29.0521,2010,10,SEN
2.07694,27.8646,2010,11,SEN
0.00402,26.4741,2010,12,SEN
0.00623,25.5133,2011,1,SEN
0.0356,26.1691,2011,2,SEN
0.0889,29.3073,2011,3,SEN
0.07081,31.3019,2011,4,SEN
8.83702,31.6993,2011,5,SEN
57.252,30.7227,2011,6,SEN
122.343,29.5887,2011,7,SEN
285.744,28.2861,2011,8,SEN
166.115,28.6119,2011,9,SEN
34.2113,29.7155,2011,10,SEN
0.07282,28.1336,2011,11,SEN
0.00988,24.8116,2011,12,SEN
0.00089,24.9358,2012,1,SEN
0.00495,26.0953,2012,2,SEN
0.03578,29.1792,2012,3,SEN
1.259,31.0816,2012,4,SEN
24.261,31.9058,2012,5,SEN
73.9863,31.0483,2012,6,SEN
161.099,28.8095,2012,7,SEN
242.711,27.9114,2012,8,SEN
238.461,28.1537,2012,9,SEN
81.1401,29.5572,2012,10,SEN
0.39843,29.1698,2012,11,SEN
0.26702,24.5022,2012,12,SEN
0.00667,24.4659,2013,1,SEN
0.05567,27.5876,2013,2,SEN
0.01973,30.4948,2013,3,SEN
0.87266,30.6236,2013,4,SEN
8.08727,32.6314,2013,5,SEN
56.766,31.1724,2013,6,SEN
130.396,29.4526,2013,7,SEN
269.155,27.7437,2013,8,SEN
243.83,28.3954,2013,9,SEN
61.7106,29.4723,2013,10,SEN
3.75405,28.087,2013,11,SEN
0.14134,25.7502,2013,12,SEN
0.16989,25.4131,2014,1,SEN
0.71515,26.2107,2014,2,SEN
0.01444,28.4015,2014,3,SEN
0.14584,31.4289,2014,4,SEN
48.3817,31.5059,2014,5,SEN
42.5861,31.5763,2014,6,SEN
116.418,30.1051,2014,7,SEN
222.569,28.1742,2014,8,SEN
155.154,28.4136,2014,9,SEN
87.1478,30.1208,2014,10,SEN
0.23868,27.9404,2014,11,SEN
0.00233,25.3163,2014,12,SEN
0.00205,25.0885,2015,1,SEN
0.55914,26.3575,2015,2,SEN
0.31844,28.7863,2015,3,SEN
0.6787,31.4402,2015,4,SEN
4.47109,32.8766,2015,5,SEN
31.8857,31.8017,2015,6,SEN
117.394,29.8168,2015,7,SEN
336.2,28.5055,2015,8,SEN
143.006,29.432,2015,9,SEN
94.0217,29.4533,2015,10,SEN
0.63118,28.2423,2015,11,SEN
0.00752,24.8667,2015,12,SEN
