pr,tas,	Year, Month, Country
3.82907,25.1931,1991,1,SLE
5.17299,27.6121,1991,2,SLE
35.6757,28.1336,1991,3,SLE
61.4619,27.1246,1991,4,SLE
164.248,26.5521,1991,5,SLE
278.017,26.7297,1991,6,SLE
617.375,24.9416,1991,7,SLE
306.845,24.5558,1991,8,SLE
320.789,25.4324,1991,9,SLE
304.076,25.5615,1991,10,SLE
55.1845,25.9665,1991,11,SLE
16.5503,25.9408,1991,12,SLE
3.62286,25.097,1992,1,SLE
31.6075,26.9848,1992,2,SLE
9.22934,27.681,1992,3,SLE
90.4501,27.7993,1992,4,SLE
213.472,26.1854,1992,5,SLE
320.521,25.8041,1992,6,SLE
733.264,24.5497,1992,7,SLE
467.183,24.6859,1992,8,SLE
383.391,25.7824,1992,9,SLE
236.598,25.9715,1992,10,SLE
96.8028,25.6215,1992,11,SLE
10.903,25.4677,1992,12,SLE
1.5077,25.1759,1993,1,SLE
10.5826,27.1503,1993,2,SLE
46.3364,27.5949,1993,3,SLE
87.8706,27.2467,1993,4,SLE
168.401,26.9225,1993,5,SLE
465.66,26.0703,1993,6,SLE
428.996,25.0623,1993,7,SLE
369.928,25.1756,1993,8,SLE
397.262,25.6504,1993,9,SLE
289.468,26.0884,1993,10,SLE
82.2191,26.1669,1993,11,SLE
3.96651,25.1157,1993,12,SLE
5.30407,25.0586,1994,1,SLE
17.7953,26.7035,1994,2,SLE
56.7909,27.5587,1994,3,SLE
69.8257,27.4455,1994,4,SLE
172.183,26.7734,1994,5,SLE
250.191,26.0321,1994,6,SLE
436.523,24.6925,1994,7,SLE
557.66,24.7746,1994,8,SLE
490.269,24.9198,1994,9,SLE
277.565,25.776,1994,10,SLE
85.6038,25.452,1994,11,SLE
5.05475,24.7122,1994,12,SLE
0.12071,24.2518,1995,1,SLE
4.80493,26.1386,1995,2,SLE
43.5224,28.0977,1995,3,SLE
128.664,27.7437,1995,4,SLE
189.017,27.0358,1995,5,SLE
410.561,26.5135,1995,6,SLE
427.157,25.1276,1995,7,SLE
611.997,25.1822,1995,8,SLE
437.859,25.6706,1995,9,SLE
300.107,26.0839,1995,10,SLE
56.8598,26.3305,1995,11,SLE
30.388,25.4837,1995,12,SLE
11.603,25.8254,1996,1,SLE
26.4534,27.0503,1996,2,SLE
45.1421,26.9574,1996,3,SLE
58.4398,27.383,1996,4,SLE
236.495,27.4636,1996,5,SLE
276.889,26.237,1996,6,SLE
358.624,25.338,1996,7,SLE
572.425,24.7077,1996,8,SLE
469.041,25.447,1996,9,SLE
246.747,25.8486,1996,10,SLE
30.6202,26.4332,1996,11,SLE
21.3268,25.9564,1996,12,SLE
10.8281,25.7945,1997,1,SLE
13.7437,26.7222,1997,2,SLE
