pr,tas,	Year, Month, Country
2.29684,25.5598,1991,1,SOM
5.02276,26.432,1991,2,SOM
26.002,27.266,1991,3,SOM
57.5953,28.3922,1991,4,SOM
47.7102,28.084,1991,5,SOM
9.93248,27.9582,1991,6,SOM
11.6208,27.14,1991,7,SOM
6.18475,27.1796,1991,8,SOM
8.13402,27.1802,1991,9,SOM
23.0162,26.9964,1991,10,SOM
16.3115,25.5446,1991,11,SOM
15.5564,25.3982,1991,12,SOM
3.27125,24.3126,1992,1,SOM
2.3889,25.9817,1992,2,SOM
5.90374,27.4604,1992,3,SOM
39.4601,28.4834,1992,4,SOM
34.4643,28.5546,1992,5,SOM
6.78726,28.2963,1992,6,SOM
6.52698,27.1358,1992,7,SOM
9.21269,26.7771,1992,8,SOM
32.5005,27.4382,1992,9,SOM
27.8323,26.5014,1992,10,SOM
41.6041,25.7204,1992,11,SOM
25.8045,25.5678,1992,12,SOM
4.73824,25.0097,1993,1,SOM
3.75827,25.5224,1993,2,SOM
5.53213,27.4132,1993,3,SOM
58.1218,28.1019,1993,4,SOM
47.9463,28.07,1993,5,SOM
27.1304,27.9786,1993,6,SOM
17.2103,26.7794,1993,7,SOM
7.33411,26.5973,1993,8,SOM
11.4929,27.7091,1993,9,SOM
37.2473,27.0643,1993,10,SOM
26.2073,25.8714,1993,11,SOM
5.98676,24.9879,1993,12,SOM
1.8098,25.1069,1994,1,SOM
1.59198,25.8255,1994,2,SOM
5.42946,27.471,1994,3,SOM
42.2659,28.8712,1994,4,SOM
45.7249,28.3742,1994,5,SOM
9.8139,28.23,1994,6,SOM
12.8871,27.0374,1994,7,SOM
7.86601,26.9519,1994,8,SOM
18.2344,27.4035,1994,9,SOM
44.9608,26.5381,1994,10,SOM
73.9792,24.9259,1994,11,SOM
8.2028,24.9039,1994,12,SOM
1.77844,24.9889,1995,1,SOM
4.34315,26.2391,1995,2,SOM
14.372,27.29,1995,3,SOM
69.9022,28.2401,1995,4,SOM
29.0061,28.4649,1995,5,SOM
6.57712,27.8233,1995,6,SOM
13.541,27.2589,1995,7,SOM
19.3973,27.2436,1995,8,SOM
8.07106,28.0742,1995,9,SOM
71.286,27.1117,1995,10,SOM
37.2915,25.9145,1995,11,SOM
10.3663,25.5687,1995,12,SOM
3.52354,25.5703,1996,1,SOM
2.47878,26.3247,1996,2,SOM
13.435,27.6848,1996,3,SOM
47.5478,29.4439,1996,4,SOM
67.0515,28.0365,1996,5,SOM
15.7932,27.2898,1996,6,SOM
7.76949,27.0757,1996,7,SOM
6.38309,26.9263,1996,8,SOM
8.06369,27.8395,1996,9,SOM
19.6322,26.7478,1996,10,SOM
27.4176,25.549,1996,11,SOM
5.2326,25.0326,1996,12,SOM
2.30147,25.2798,1997,1,SOM
1.84928,25.9279,1997,2,SOM
16.6526,27.4845,1997,3,SOM
69.6217,27.5955,1997,4,SOM
29.6822,28.0799,1997,5,SOM
20.6915,27.5646,1997,6,SOM
9.01352,27.6193,1997,7,SOM
5.95202,27.6328,1997,8,SOM
8.92635,28.0484,1997,9,SOM
89.9015,26.4228,1997,10,SOM
77.4101,25.6512,1997,11,SOM
42.6975,24.8831,1997,12,SOM
5.14824,25.4958,1998,1,SOM
2.43298,26.5168,1998,2,SOM
8.58937,27.9269,1998,3,SOM
52.8813,28.7645,1998,4,SOM
78.557,28.7619,1998,5,SOM
10.4971,28.6861,1998,6,SOM
7.78568,27.2711,1998,7,SOM
7.91932,27.0629,1998,8,SOM
8.70647,27.8596,1998,9,SOM
24.3892,27.071,1998,10,SOM
22.83,25.6631,1998,11,SOM
3.85462,25.4423,1998,12,SOM
1.82563,25.4368,1999,1,SOM
1.74117,26.223,1999,2,SOM
22.5397,27.3414,1999,3,SOM
32.7412,28.2605,1999,4,SOM
57.2839,28.4865,1999,5,SOM
28.3366,27.4984,1999,6,SOM
7.07681,26.9893,1999,7,SOM
11.4903,26.6921,1999,8,SOM
14.7095,27.8604,1999,9,SOM
41.4181,26.1589,1999,10,SOM
31.2485,25.522,1999,11,SOM
7.71294,24.999,1999,12,SOM
2.59731,24.8322,2000,1,SOM
2.39106,26.2351,2000,2,SOM
9.35361,27.1722,2000,3,SOM
46.5458,28.5975,2000,4,SOM
60.1114,28.0183,2000,5,SOM
15.4223,28.0906,2000,6,SOM
10.9875,27.6328,2000,7,SOM
14.2804,26.9718,2000,8,SOM
14.9618,27.4946,2000,9,SOM
47.8858,26.5023,2000,10,SOM
34.9151,25.917,2000,11,SOM
9.39539,25.1407,2000,12,SOM
2.76019,25.3248,2001,1,SOM
3.40608,26.0508,2001,2,SOM
11.8506,27.5614,2001,3,SOM
42.9795,28.7502,2001,4,SOM
47.9611,28.0898,2001,5,SOM
15.1036,27.5399,2001,6,SOM
10.3187,27.355,2001,7,SOM
16.5142,26.3697,2001,8,SOM
14.2432,27.6413,2001,9,SOM
33.6894,27.3292,2001,10,SOM
38.6011,25.6892,2001,11,SOM
10.9401,25.3631,2001,12,SOM
3.009,25.0911,2002,1,SOM
3.30422,26.108,2002,2,SOM
7.95783,27.6024,2002,3,SOM
71.8028,28.7624,2002,4,SOM
38.648,29.1498,2002,5,SOM
10.9979,28.0481,2002,6,SOM
7.90396,27.5662,2002,7,SOM
8.48933,27.4058,2002,8,SOM
13.7812,27.9627,2002,9,SOM
60.1899,26.0889,2002,10,SOM
39.7576,26.1592,2002,11,SOM
21.8012,25.8077,2002,12,SOM
2.73521,25.4772,2003,1,SOM
2.75402,26.8746,2003,2,SOM
10.719,27.6479,2003,3,SOM
64.3732,29.0833,2003,4,SOM
52.0271,29.3224,2003,5,SOM
19.4865,28.5304,2003,6,SOM
15.1703,27.2221,2003,7,SOM
8.81772,27.368,2003,8,SOM
13.624,26.7721,2003,9,SOM
43.9654,27.0063,2003,10,SOM
35.9275,26.1723,2003,11,SOM
9.10443,25.223,2003,12,SOM
4.0264,25.6045,2004,1,SOM
3.63253,26.117,2004,2,SOM
13.0652,27.4669,2004,3,SOM
62.8357,28.4865,2004,4,SOM
51.5302,28.9832,2004,5,SOM
16.9496,28.2909,2004,6,SOM
13.3059,27.545,2004,7,SOM
10.2345,27.6388,2004,8,SOM
12.5668,27.8349,2004,9,SOM
65.9438,26.0221,2004,10,SOM
38.6458,25.9471,2004,11,SOM
9.39489,25.5191,2004,12,SOM
3.39619,25.316,2005,1,SOM
3.31433,26.5642,2005,2,SOM
13.9227,27.8332,2005,3,SOM
52.9263,28.6791,2005,4,SOM
54.6107,28.5394,2005,5,SOM
19.6406,27.2755,2005,6,SOM
13.9932,27.2146,2005,7,SOM
9.70207,27.57,2005,8,SOM
14.8263,28.1376,2005,9,SOM
43.4885,27.0771,2005,10,SOM
33.7201,26.1805,2005,11,SOM
9.05658,24.9318,2005,12,SOM
3.54105,25.1848,2006,1,SOM
3.17173,26.7412,2006,2,SOM
13.9413,27.5909,2006,3,SOM
62.7903,28.1169,2006,4,SOM
57.7385,28.5221,2006,5,SOM
16.0458,28.5289,2006,6,SOM
16.9946,27.0852,2006,7,SOM
10.2553,26.8813,2006,8,SOM
14.7002,27.8252,2006,9,SOM
46.8165,27.2571,2006,10,SOM
35.3244,26.0871,2006,11,SOM
12.8871,25.3276,2006,12,SOM
3.34063,25.2646,2007,1,SOM
3.90344,26.6358,2007,2,SOM
12.551,27.8312,2007,3,SOM
55.0804,28.4807,2007,4,SOM
53.9664,28.9546,2007,5,SOM
21.339,28.0899,2007,6,SOM
9.39162,26.7534,2007,7,SOM
8.27735,27.0511,2007,8,SOM
14.1619,27.6449,2007,9,SOM
73.8752,26.6963,2007,10,SOM
37.2985,26.6077,2007,11,SOM
9.07501,24.9892,2007,12,SOM
3.54044,25.2393,2008,1,SOM
3.25176,25.5308,2008,2,SOM
13.2684,25.802,2008,3,SOM
46.4942,27.4837,2008,4,SOM
66.7194,28.3623,2008,5,SOM
16.706,27.749,2008,6,SOM
11.083,27.1505,2008,7,SOM
10.415,27.3617,2008,8,SOM
9.53525,28.3081,2008,9,SOM
53.4364,27.1128,2008,10,SOM
31.3176,25.3888,2008,11,SOM
8.90099,24.8341,2008,12,SOM
4.27786,25.1629,2009,1,SOM
3.5255,26.3597,2009,2,SOM
9.05242,27.8599,2009,3,SOM
42.6724,29.0449,2009,4,SOM
42.225,29.0635,2009,5,SOM
20.2252,28.5788,2009,6,SOM
12.6871,27.4172,2009,7,SOM
9.27979,28.1317,2009,8,SOM
11.6878,28.7233,2009,9,SOM
57.7635,26.6884,2009,10,SOM
