pr,tas,	Year, Month, Country
242.329,25.8463,1991,1,TLS
287.512,25.5731,1991,2,TLS
85.5248,26.7525,1991,3,TLS
154.576,26.0046,1991,4,TLS
11.4633,24.7357,1991,5,TLS
47.134,25.6527,1991,6,TLS
54.6412,24.7721,1991,7,TLS
2.43082,24.2214,1991,8,TLS
0.01366,25.4144,1991,9,TLS
5.05985,25.8555,1991,10,TLS
69.9369,26.2849,1991,11,TLS
158.662,26.4798,1991,12,TLS
253.935,26.4554,1992,1,TLS
167.232,26.3828,1992,2,TLS
272.976,26.7481,1992,3,TLS
159.952,26.6663,1992,4,TLS
93.2244,26.6659,1992,5,TLS
176.954,24.5408,1992,6,TLS
6.85167,24.0006,1992,7,TLS
6.21514,25.4201,1992,8,TLS
0.64019,26.0486,1992,9,TLS
3.73107,26.2268,1992,10,TLS
112.379,25.9814,1992,11,TLS
255.091,26.2996,1992,12,TLS
268.904,25.8867,1993,1,TLS
102.277,25.3718,1993,2,TLS
246.743,26.4694,1993,3,TLS
96.2792,26.5435,1993,4,TLS
13.728,26.1029,1993,5,TLS
63.3358,25.4232,1993,6,TLS
5.23161,24.7643,1993,7,TLS
0.90917,24.8358,1993,8,TLS
3.63623,25.0446,1993,9,TLS
2.44628,26.2662,1993,10,TLS
88.2645,26.6326,1993,11,TLS
197.128,25.226,1993,12,TLS
535.257,26.0619,1994,1,TLS
241.651,26.0293,1994,2,TLS
394.649,25.709,1994,3,TLS
55.2335,25.4266,1994,4,TLS
26.8628,24.7709,1994,5,TLS
17.9528,23.9594,1994,6,TLS
7.64102,23.4062,1994,7,TLS
4.35112,23.2335,1994,8,TLS
0.21263,24.1696,1994,9,TLS
5.51441,25.7533,1994,10,TLS
16.6714,26.764,1994,11,TLS
245.856,25.3226,1994,12,TLS
276.521,25.7819,1995,1,TLS
232.801,26.1607,1995,2,TLS
421.728,26.2127,1995,3,TLS
146.646,25.8146,1995,4,TLS
138.922,25.7393,1995,5,TLS
177.767,24.595,1995,6,TLS
18.911,25.129,1995,7,TLS
6.33659,24.1527,1995,8,TLS
0.79544,25.8893,1995,9,TLS
50.5202,25.9228,1995,10,TLS
152.682,26.5452,1995,11,TLS
296.166,24.9176,1995,12,TLS
262.713,26.0134,1996,1,TLS
298.092,26.1682,1996,2,TLS
154.616,25.8973,1996,3,TLS
62.8925,25.8133,1996,4,TLS
146.548,24.6809,1996,5,TLS
33.6073,25.2793,1996,6,TLS
17.8131,24.3038,1996,7,TLS
75.5014,25.0801,1996,8,TLS
6.96955,24.7665,1996,9,TLS
28.6482,26.2938,1996,10,TLS
164.958,26.4544,1996,11,TLS
423.527,24.5885,1996,12,TLS
426.24,24.6145,1997,1,TLS
385.659,25.7651,1997,2,TLS
86.1087,25.8301,1997,3,TLS
41.0914,26.131,1997,4,TLS
113.958,25.9535,1997,5,TLS
88.2534,24.52,1997,6,TLS
22.3593,24.8717,1997,7,TLS
9.48625,24.1874,1997,8,TLS
0.0,24.9712,1997,9,TLS
33.9279,25.6832,1997,10,TLS
26.4976,26.8006,1997,11,TLS
261.798,25.6079,1997,12,TLS
161.543,25.6773,1998,1,TLS
198.841,26.7765,1998,2,TLS
220.506,26.9992,1998,3,TLS
