pr,tas,	Year, Month, Country
52.0837,22.7333,1991,1,UGA
55.7112,24.2703,1991,2,UGA
105.809,23.998,1991,3,UGA
161.088,23.128,1991,4,UGA
185.57,22.4202,1991,5,UGA
107.835,22.7329,1991,6,UGA
97.0679,21.6175,1991,7,UGA
121.606,21.5744,1991,8,UGA
75.2656,22.5249,1991,9,UGA
157.015,22.9377,1991,10,UGA
85.2454,22.538,1991,11,UGA
35.1209,22.0196,1991,12,UGA
23.7694,23.3451,1992,1,UGA
21.5199,24.1746,1992,2,UGA
66.3002,24.0677,1992,3,UGA
131.63,23.4743,1992,4,UGA
134.086,22.2867,1992,5,UGA
105.661,22.2941,1992,6,UGA
93.3162,21.5405,1992,7,UGA
96.5273,21.0968,1992,8,UGA
104.337,22.1564,1992,9,UGA
160.732,22.7683,1992,10,UGA
101.315,22.1777,1992,11,UGA
86.6024,22.6225,1992,12,UGA
39.8118,22.2826,1993,1,UGA
48.2049,22.3344,1993,2,UGA
80.6268,23.2724,1993,3,UGA
119.191,23.0726,1993,4,UGA
191.471,22.2233,1993,5,UGA
101.362,22.8734,1993,6,UGA
59.6353,22.1648,1993,7,UGA
89.9118,23.33,1993,8,UGA
89.2929,21.991,1993,9,UGA
90.0261,22.1382,1993,10,UGA
95.0997,25.0168,1993,11,UGA
54.3554,19.983,1993,12,UGA
33.0483,21.8964,1994,1,UGA
33.8122,23.7349,1994,2,UGA
110.572,22.8119,1994,3,UGA
158.784,22.7265,1994,4,UGA
173.57,22.8681,1994,5,UGA
95.1554,22.2043,1994,6,UGA
114.372,21.5767,1994,7,UGA
129.422,21.868,1994,8,UGA
83.6386,22.2836,1994,9,UGA
132.72,23.0561,1994,10,UGA
175.319,22.4255,1994,11,UGA
47.4647,22.3526,1994,12,UGA
16.3794,23.104,1995,1,UGA
39.9602,23.8611,1995,2,UGA
100.833,23.6622,1995,3,UGA
163.757,24.8227,1995,4,UGA
139.669,22.8772,1995,5,UGA
83.2473,23.083,1995,6,UGA
96.3505,21.9199,1995,7,UGA
82.0861,23.5461,1995,8,UGA
136.827,22.6323,1995,9,UGA
146.446,23.2214,1995,10,UGA
108.787,24.3246,1995,11,UGA
60.6822,23.0628,1995,12,UGA
83.4671,24.1022,1996,1,UGA
69.7232,24.3025,1996,2,UGA
125.183,23.6475,1996,3,UGA
137.518,23.2798,1996,4,UGA
141.934,22.8312,1996,5,UGA
135.387,22.4935,1996,6,UGA
82.8955,22.1846,1996,7,UGA
114.595,22.0706,1996,8,UGA
124.768,22.7619,1996,9,UGA
133.622,23.0729,1996,10,UGA
112.311,22.5017,1996,11,UGA
40.9508,22.9794,1996,12,UGA
57.4834,23.9594,1997,1,UGA
8.56964,24.101,1997,2,UGA
77.5097,24.2036,1997,3,UGA
221.258,23.912,1997,4,UGA
99.9458,23.3604,1997,5,UGA
61.7757,22.5477,1997,6,UGA
73.5406,22.2934,1997,7,UGA
107.025,22.3048,1997,8,UGA
42.9582,23.8003,1997,9,UGA
177.614,23.6006,1997,10,UGA
239.455,23.7617,1997,11,UGA
123.056,23.7317,1997,12,UGA
96.8399,24.025,1998,1,UGA
61.1405,24.5152,1998,2,UGA
92.6652,24.465,1998,3,UGA
162.081,23.242,1998,4,UGA
151.354,22.3682,1998,5,UGA
99.4778,22.5912,1998,6,UGA
82.484,22.2137,1998,7,UGA
114.325,21.6462,1998,8,UGA
99.7562,22.4939,1998,9,UGA
148.7,22.953,1998,10,UGA
89.2129,23.4598,1998,11,UGA
22.9783,23.1315,1998,12,UGA
58.0327,23.8761,1999,1,UGA
18.0053,24.8903,1999,2,UGA
163.203,23.9348,1999,3,UGA
126.594,23.771,1999,4,UGA
117.502,22.1875,1999,5,UGA
50.6744,23.1506,1999,6,UGA
81.0975,21.9963,1999,7,UGA
136.349,22.6682,1999,8,UGA
111.762,22.8482,1999,9,UGA
197.306,22.1481,1999,10,UGA
119.215,22.8458,1999,11,UGA
58.676,22.7389,1999,12,UGA
28.8454,23.485,2000,1,UGA
23.8793,24.2019,2000,2,UGA
60.0863,24.42,2000,3,UGA
134.673,24.521,2000,4,UGA
127.235,24.5988,2000,5,UGA
92.0089,22.6494,2000,6,UGA
72.008,22.4495,2000,7,UGA
110.76,23.8803,2000,8,UGA
109.361,22.5345,2000,9,UGA
200.065,22.9276,2000,10,UGA
103.078,24.6084,2000,11,UGA
55.6247,22.8502,2000,12,UGA
81.9256,24.5187,2001,1,UGA
27.0402,26.4941,2001,2,UGA
91.2825,25.2573,2001,3,UGA
141.216,24.8832,2001,4,UGA
113.286,24.8711,2001,5,UGA
89.1503,22.7876,2001,6,UGA
124.728,22.7752,2001,7,UGA
92.3056,23.6008,2001,8,UGA
121.038,23.8224,2001,9,UGA
205.865,24.0445,2001,10,UGA
142.828,23.7262,2001,11,UGA
30.2771,23.3293,2001,12,UGA
59.3258,24.1541,2002,1,UGA
66.5282,25.4034,2002,2,UGA
133.4,25.3495,2002,3,UGA
131.025,25.184,2002,4,UGA
140.316,24.6967,2002,5,UGA
76.1471,23.9572,2002,6,UGA
52.0841,24.1596,2002,7,UGA
89.9397,24.1193,2002,8,UGA
91.138,24.6699,2002,9,UGA
193.992,23.5004,2002,10,UGA
145.646,24.518,2002,11,UGA
136.689,24.5093,2002,12,UGA
34.2976,26.0515,2003,1,UGA
48.129,24.9799,2003,2,UGA
119.891,25.7778,2003,3,UGA
199.007,25.1568,2003,4,UGA
159.417,24.3369,2003,5,UGA
58.3762,23.2346,2003,6,UGA
78.6997,22.9072,2003,7,UGA
145.592,22.573,2003,8,UGA
154.098,23.7615,2003,9,UGA
82.0589,24.3154,2003,10,UGA
93.1483,24.735,2003,11,UGA
63.2955,25.8319,2003,12,UGA
98.0206,26.2525,2004,1,UGA
19.26,25.8876,2004,2,UGA
87.96,24.9468,2004,3,UGA
178.555,23.0372,2004,4,UGA
77.5946,23.8148,2004,5,UGA
71.8953,23.3511,2004,6,UGA
60.7508,23.2046,2004,7,UGA
158.448,23.7144,2004,8,UGA
93.0703,22.9005,2004,9,UGA
112.176,23.2283,2004,10,UGA
147.824,23.0489,2004,11,UGA
43.6011,22.8938,2004,12,UGA
41.9986,22.7397,2005,1,UGA
31.0177,26.1466,2005,2,UGA
98.6611,25.7914,2005,3,UGA
92.0665,24.8992,2005,4,UGA
146.372,23.0598,2005,5,UGA
75.69,23.401,2005,6,UGA
67.8723,22.0623,2005,7,UGA
92.9147,22.8046,2005,8,UGA
116.004,23.943,2005,9,UGA
123.332,23.0416,2005,10,UGA
37.4764,25.4587,2005,11,UGA
28.3441,24.9105,2005,12,UGA
21.5637,24.6439,2006,1,UGA
45.036,25.5531,2006,2,UGA
176.068,24.9174,2006,3,UGA
154.726,24.7024,2006,4,UGA
146.445,22.1464,2006,5,UGA
47.2308,23.2944,2006,6,UGA
47.8722,23.2421,2006,7,UGA
176.111,23.3906,2006,8,UGA
122.664,22.2101,2006,9,UGA
112.012,24.4639,2006,10,UGA
150.638,25.0105,2006,11,UGA
125.799,23.5225,2006,12,UGA
45.0366,25.0839,2007,1,UGA
47.7443,26.5064,2007,2,UGA
65.2951,25.9627,2007,3,UGA
167.387,25.0913,2007,4,UGA
151.208,24.8007,2007,5,UGA
90.8883,21.7838,2007,6,UGA
251.959,21.9554,2007,7,UGA
143.686,22.1462,2007,8,UGA
280.123,23.3203,2007,9,UGA
97.0757,23.6488,2007,10,UGA
81.4499,21.5588,2007,11,UGA
37.8118,24.6633,2007,12,UGA
67.2885,25.3654,2008,1,UGA
25.1389,26.6752,2008,2,UGA
86.3878,25.5137,2008,3,UGA
103.153,23.6182,2008,4,UGA
95.8704,23.7585,2008,5,UGA
90.9358,22.9051,2008,6,UGA
71.4307,23.067,2008,7,UGA
110.847,23.6058,2008,8,UGA
175.186,23.8895,2008,9,UGA
179.185,22.8413,2008,10,UGA
148.993,24.9973,2008,11,UGA
22.0438,22.5294,2008,12,UGA
52.607,26.0833,2009,1,UGA
96.6328,26.1921,2009,2,UGA
57.6115,25.4461,2009,3,UGA
145.162,24.0231,2009,4,UGA
114.243,24.0722,2009,5,UGA
39.7974,23.1705,2009,6,UGA
60.9614,24.1998,2009,7,UGA
92.2856,24.5741,2009,8,UGA
138.979,24.2687,2009,9,UGA
165.095,24.2382,2009,10,UGA
127.105,24.8758,2009,11,UGA
79.3671,25.6559,2009,12,UGA
56.636,24.9105,2010,1,UGA
142.149,24.2685,2010,2,UGA
133.715,25.1267,2010,3,UGA
158.696,25.6783,2010,4,UGA
155.677,23.9504,2010,5,UGA
188.397,23.2312,2010,6,UGA
89.6721,22.5312,2010,7,UGA
89.7865,23.3987,2010,8,UGA
86.4497,23.6627,2010,9,UGA
172.666,24.0291,2010,10,UGA
87.9103,24.6954,2010,11,UGA
65.5208,25.3637,2010,12,UGA
31.9526,25.176,2011,1,UGA
27.1921,25.9571,2011,2,UGA
126.36,26.0028,2011,3,UGA
138.59,25.2294,2011,4,UGA
148.712,24.3505,2011,5,UGA
131.498,22.9135,2011,6,UGA
76.4822,22.7195,2011,7,UGA
130.907,22.0777,2011,8,UGA
184.721,22.7695,2011,9,UGA
129.364,22.3354,2011,10,UGA
135.184,22.8433,2011,11,UGA
59.5457,23.0601,2011,12,UGA
23.6602,22.5629,2012,1,UGA
28.3538,26.3468,2012,2,UGA
70.9466,23.9113,2012,3,UGA
208.619,22.9799,2012,4,UGA
122.194,23.5215,2012,5,UGA
155.145,22.5479,2012,6,UGA
88.3884,22.416,2012,7,UGA
88.1109,21.648,2012,8,UGA
216.537,23.8012,2012,9,UGA
191.145,23.8523,2012,10,UGA
129.12,23.1772,2012,11,UGA
89.779,24.41,2012,12,UGA
56.0574,23.67,2013,1,UGA
40.5832,24.3531,2013,2,UGA
154.342,25.7894,2013,3,UGA
187.812,21.9471,2013,4,UGA
131.424,23.4911,2013,5,UGA
54.598,22.1208,2013,6,UGA
89.1365,23.3046,2013,7,UGA
184.344,22.0372,2013,8,UGA
224.285,24.3391,2013,9,UGA
139.205,22.6665,2013,10,UGA
127.423,24.0561,2013,11,UGA
72.1275,24.2113,2013,12,UGA
41.0349,23.921,2014,1,UGA
44.1113,25.6086,2014,2,UGA
93.7273,24.8914,2014,3,UGA
110.234,22.8516,2014,4,UGA
133.143,24.3666,2014,5,UGA
88.525,23.6374,2014,6,UGA
93.1021,22.8836,2014,7,UGA
129.624,22.8417,2014,8,UGA
155.619,22.9284,2014,9,UGA
133.566,23.3612,2014,10,UGA
118.372,22.9586,2014,11,UGA
58.2605,23.2456,2014,12,UGA
31.8268,23.4468,2015,1,UGA
42.0327,24.1948,2015,2,UGA
84.9048,23.5835,2015,3,UGA
136.42,23.76,2015,4,UGA
142.29,23.1147,2015,5,UGA
143.159,23.0399,2015,6,UGA
76.8044,23.0593,2015,7,UGA
94.4961,22.5286,2015,8,UGA
123.548,23.0087,2015,9,UGA
155.76,24.6114,2015,10,UGA
174.267,23.0091,2015,11,UGA
80.9632,23.4235,2015,12,UGA
