pr,tas,	Year, Month, Country
251.978,23.0252,1991,1,ZMB
167.207,23.8815,1991,2,ZMB
130.804,23.0189,1991,3,ZMB
31.0571,21.8676,1991,4,ZMB
6.66053,20.5555,1991,5,ZMB
0.00539,18.0514,1991,6,ZMB
0.06947,17.1406,1991,7,ZMB
0.16617,19.681,1991,8,ZMB
4.55544,22.8222,1991,9,ZMB
45.7593,24.0553,1991,10,ZMB
97.1817,24.0655,1991,11,ZMB
202.029,22.8724,1991,12,ZMB
136.791,23.684,1992,1,ZMB
107.059,24.5483,1992,2,ZMB
140.745,24.1117,1992,3,ZMB
31.6204,23.0839,1992,4,ZMB
8.99429,20.7845,1992,5,ZMB
0.04489,18.3407,1992,6,ZMB
0.05904,17.6588,1992,7,ZMB
0.00683,19.2175,1992,8,ZMB
0.13799,23.2674,1992,9,ZMB
28.6961,24.7006,1992,10,ZMB
108.299,23.8961,1992,11,ZMB
206.181,23.6792,1992,12,ZMB
235.851,22.8854,1993,1,ZMB
222.335,22.557,1993,2,ZMB
167.969,22.5385,1993,3,ZMB
43.9155,22.5584,1993,4,ZMB
1.2709,20.8,1993,5,ZMB
0.15146,17.4874,1993,6,ZMB
0.04821,17.5914,1993,7,ZMB
0.28208,19.6817,1993,8,ZMB
8.99828,22.4117,1993,9,ZMB
9.18858,25.7466,1993,10,ZMB
137.051,24.5102,1993,11,ZMB
139.06,23.9219,1993,12,ZMB
234.028,22.9455,1994,1,ZMB
199.204,23.185,1994,2,ZMB
64.0936,24.0946,1994,3,ZMB
19.9745,22.064,1994,4,ZMB
0.40722,20.5297,1994,5,ZMB
0.03762,17.8123,1994,6,ZMB
0.05941,17.5162,1994,7,ZMB
0.0242,20.6766,1994,8,ZMB
3.07945,23.7226,1994,9,ZMB
43.1353,24.8631,1994,10,ZMB
51.4976,26.4629,1994,11,ZMB
143.637,23.925,1994,12,ZMB
170.332,23.9346,1995,1,ZMB
210.425,23.3306,1995,2,ZMB
109.947,23.712,1995,3,ZMB
9.94903,22.9317,1995,4,ZMB
1.3724,21.0559,1995,5,ZMB
0.04842,17.5018,1995,6,ZMB
0.00479,17.8803,1995,7,ZMB
0.11332,21.6356,1995,8,ZMB
0.60819,23.1898,1995,9,ZMB
24.7184,26.4986,1995,10,ZMB
77.628,26.3148,1995,11,ZMB
164.703,24.0336,1995,12,ZMB
215.462,23.5925,1996,1,ZMB
215.681,23.5361,1996,2,ZMB
137.498,22.6857,1996,3,ZMB
27.2385,21.8697,1996,4,ZMB
16.811,20.1797,1996,5,ZMB
0.22378,17.4322,1996,6,ZMB
0.047,17.5737,1996,7,ZMB
0.01018,21.106,1996,8,ZMB
4.26447,24.2064,1996,9,ZMB
6.9484,26.1951,1996,10,ZMB
87.8224,25.9871,1996,11,ZMB
216.822,24.5279,1996,12,ZMB
237.771,23.9472,1997,1,ZMB
213.019,23.5633,1997,2,ZMB
135.88,23.8004,1997,3,ZMB
78.4448,22.5028,1997,4,ZMB
1.01397,20.1946,1997,5,ZMB
0.03097,19.559,1997,6,ZMB
0.37082,18.1087,1997,7,ZMB
0.03831,20.5999,1997,8,ZMB
