pr,tas,	Year, Month, Country
133.91,19.7294,1991,1,BDI
155.966,20.6792,1991,2,BDI
118.998,20.894,1991,3,BDI
146.859,20.2289,1991,4,BDI
113.893,20.3747,1991,5,BDI
22.7586,20.0112,1991,6,BDI
4.45669,19.3692,1991,7,BDI
24.5475,20.0904,1991,8,BDI
82.8549,20.9559,1991,9,BDI
149.367,21.1639,1991,10,BDI
117.701,19.9101,1991,11,BDI
142.2,20.1042,1991,12,BDI
123.628,20.6147,1992,1,BDI
107.932,21.1432,1992,2,BDI
126.477,21.1084,1992,3,BDI
149.918,20.7132,1992,4,BDI
119.568,20.038,1992,5,BDI
19.267,19.7354,1992,6,BDI
0.48205,19.4092,1992,7,BDI
1.71231,19.6812,1992,8,BDI
36.2586,21.1234,1992,9,BDI
136.137,21.2352,1992,10,BDI
176.706,19.7049,1992,11,BDI
164.409,19.9959,1992,12,BDI
143.085,19.344,1993,1,BDI
126.389,18.9692,1993,2,BDI
163.063,20.0906,1993,3,BDI
127.769,20.2131,1993,4,BDI
124.339,19.9204,1993,5,BDI
4.87994,19.9001,1993,6,BDI
0.02214,19.39,1993,7,BDI
21.8675,21.6423,1993,8,BDI
19.5736,20.5857,1993,9,BDI
41.6055,20.7398,1993,10,BDI
130.156,22.0325,1993,11,BDI
136.916,20.6252,1993,12,BDI
154.394,19.1722,1994,1,BDI
123.343,20.3302,1994,2,BDI
175.019,20.0904,1994,3,BDI
148.257,20.2294,1994,4,BDI
76.4251,20.5749,1994,5,BDI
3.38934,19.629,1994,6,BDI
4.54216,18.3753,1994,7,BDI
13.2204,20.9291,1994,8,BDI
44.8026,21.2445,1994,9,BDI
108.16,21.1253,1994,10,BDI
207.363,20.9095,1994,11,BDI
183.665,20.2572,1994,12,BDI
149.346,19.8517,1995,1,BDI
108.131,20.4283,1995,2,BDI
162.784,20.6211,1995,3,BDI
168.213,21.0346,1995,4,BDI
114.915,20.3832,1995,5,BDI
37.1986,20.0997,1995,6,BDI
0.53767,19.7867,1995,7,BDI
0.41499,22.2136,1995,8,BDI
38.7258,21.0679,1995,9,BDI
113.17,21.7168,1995,10,BDI
123.102,22.2785,1995,11,BDI
107.26,20.91,1995,12,BDI
131.397,20.7049,1996,1,BDI
155.21,20.881,1996,2,BDI
139.418,20.0813,1996,3,BDI
121.879,20.2538,1996,4,BDI
58.2695,20.0187,1996,5,BDI
8.52858,19.6846,1996,6,BDI
2.37492,20.2268,1996,7,BDI
21.6721,20.8336,1996,8,BDI
70.4389,21.5192,1996,9,BDI
67.7993,21.4756,1996,10,BDI
136.532,20.3862,1996,11,BDI
118.435,20.9741,1996,12,BDI
269.59,21.1951,1997,1,BDI
24.6923,20.8239,1997,2,BDI
119.083,20.3834,1997,3,BDI
192.614,20.9882,1997,4,BDI
133.394,21.1071,1997,5,BDI
6.47553,20.2538,1997,6,BDI
0.83319,20.163,1997,7,BDI
8.58231,20.4446,1997,8,BDI
13.9168,21.8097,1997,9,BDI
240.686,21.3678,1997,10,BDI
173.501,20.9485,1997,11,BDI
192.183,20.7503,1997,12,BDI
232.704,20.7518,1998,1,BDI
134.859,21.5026,1998,2,BDI
227.074,20.5623,1998,3,BDI
113.073,20.061,1998,4,BDI
96.7431,20.8589,1998,5,BDI
9.86665,19.9885,1998,6,BDI
1.2301,20.3867,1998,7,BDI
2.7821,20.3384,1998,8,BDI
49.884,20.9788,1998,9,BDI
114.293,21.2025,1998,10,BDI
144.239,21.7101,1998,11,BDI
131.624,20.7954,1998,12,BDI
202.934,20.5042,1999,1,BDI
21.0859,21.4289,1999,2,BDI
213.292,20.3938,1999,3,BDI
127.373,20.4216,1999,4,BDI
35.7605,19.9719,1999,5,BDI
0.05687,20.2661,1999,6,BDI
0.22314,19.5834,1999,7,BDI
71.3799,20.5923,1999,8,BDI
50.6003,21.111,1999,9,BDI
103.287,20.5587,1999,10,BDI
233.451,20.2212,1999,11,BDI
155.247,20.6201,1999,12,BDI
107.186,20.9612,2000,1,BDI
73.6978,20.7468,2000,2,BDI
212.336,20.5497,2000,3,BDI
99.861,21.1389,2000,4,BDI
82.9974,20.9247,2000,5,BDI
2.44148,19.8508,2000,6,BDI
1.96224,19.5881,2000,7,BDI
1.51291,21.6544,2000,8,BDI
16.7596,21.3651,2000,9,BDI
100.225,20.8393,2000,10,BDI
199.35,20.9449,2000,11,BDI
175.99,19.9993,2000,12,BDI
260.412,20.6387,2001,1,BDI
88.7328,21.8916,2001,2,BDI
254.956,21.0496,2001,3,BDI
94.4719,21.6935,2001,4,BDI
74.84,23.0615,2001,5,BDI
14.0079,20.0718,2001,6,BDI
24.9411,20.3911,2001,7,BDI
40.3881,21.639,2001,8,BDI
85.8553,21.7907,2001,9,BDI
117.6,21.5912,2001,10,BDI
152.339,20.3872,2001,11,BDI
150.608,20.3761,2001,12,BDI
265.378,20.1869,2002,1,BDI
104.695,20.5059,2002,2,BDI
154.823,21.2653,2002,3,BDI
162.948,21.7819,2002,4,BDI
89.3445,20.7765,2002,5,BDI
0.35169,20.567,2002,6,BDI
0.12659,21.7555,2002,7,BDI
1.61767,22.0289,2002,8,BDI
16.9803,22.3671,2002,9,BDI
81.6699,21.7545,2002,10,BDI
175.536,21.1293,2002,11,BDI
180.177,21.3701,2002,12,BDI
196.801,21.3326,2003,1,BDI
115.211,21.654,2003,2,BDI
