pr,tas,	Year, Month, Country
9.09192,23.9313,1991,1,CMR
34.7239,26.5055,1991,2,CMR
62.8891,26.5718,1991,3,CMR
180.734,26.7186,1991,4,CMR
229.233,24.6243,1991,5,CMR
144.65,24.9569,1991,6,CMR
178.358,23.3964,1991,7,CMR
239.193,23.3264,1991,8,CMR
175.058,24.4233,1991,9,CMR
206.12,24.0329,1991,10,CMR
58.9173,23.9436,1991,11,CMR
9.84804,23.4697,1991,12,CMR
13.8081,23.2791,1992,1,CMR
3.90181,25.1018,1992,2,CMR
98.0026,26.8117,1992,3,CMR
110.908,26.5656,1992,4,CMR
177.326,25.4539,1992,5,CMR
185.007,24.1047,1992,6,CMR
207.88,22.9322,1992,7,CMR
192.179,22.6165,1992,8,CMR
259.626,23.4236,1992,9,CMR
216.683,23.9813,1992,10,CMR
71.3496,23.6771,1992,11,CMR
11.7062,23.3183,1992,12,CMR
14.7782,23.0518,1993,1,CMR
16.1555,24.9567,1993,2,CMR
87.5525,26.7953,1993,3,CMR
140.743,26.5453,1993,4,CMR
168.864,25.8256,1993,5,CMR
174.631,24.4271,1993,6,CMR
203.048,23.719,1993,7,CMR
289.572,23.2316,1993,8,CMR
223.971,23.5599,1993,9,CMR
182.755,24.8099,1993,10,CMR
96.4941,24.761,1993,11,CMR
28.0029,23.5465,1993,12,CMR
24.6895,23.8572,1994,1,CMR
12.8041,25.3399,1994,2,CMR
63.362,26.702,1994,3,CMR
143.41,26.5557,1994,4,CMR
179.549,25.8439,1994,5,CMR
165.973,24.0792,1994,6,CMR
171.196,23.1979,1994,7,CMR
232.112,22.8372,1994,8,CMR
302.929,23.5148,1994,9,CMR
203.926,24.3155,1994,10,CMR
56.9833,24.9201,1994,11,CMR
9.5382,23.0428,1994,12,CMR
4.48332,23.9053,1995,1,CMR
22.2437,24.6159,1995,2,CMR
93.3088,25.9921,1995,3,CMR
110.996,26.642,1995,4,CMR
171.509,25.8406,1995,5,CMR
148.856,24.5615,1995,6,CMR
176.84,24.3558,1995,7,CMR
228.502,23.8043,1995,8,CMR
198.497,23.901,1995,9,CMR
229.922,24.6007,1995,10,CMR
58.4521,24.1461,1995,11,CMR
9.1352,24.1918,1995,12,CMR
18.4996,24.8234,1996,1,CMR
27.1365,26.4081,1996,2,CMR
131.135,27.097,1996,3,CMR
144.25,26.1945,1996,4,CMR
183.437,24.7438,1996,5,CMR
176.6,24.1052,1996,6,CMR
161.133,24.139,1996,7,CMR
223.323,23.2964,1996,8,CMR
248.092,23.6851,1996,9,CMR
276.468,24.2177,1996,10,CMR
26.4891,23.4006,1996,11,CMR
12.9391,23.7096,1996,12,CMR
11.4564,24.1374,1997,1,CMR
5.45877,24.1776,1997,2,CMR
70.8541,26.0694,1997,3,CMR
155.002,26.0615,1997,4,CMR
192.552,25.4068,1997,5,CMR
204.524,24.0243,1997,6,CMR
167.082,23.6569,1997,7,CMR
262.014,23.5752,1997,8,CMR
217.807,24.3923,1997,9,CMR
261.231,25.3618,1997,10,CMR
94.2953,25.841,1997,11,CMR
28.1617,23.8371,1997,12,CMR
13.8805,24.4807,1998,1,CMR
11.2801,26.8617,1998,2,CMR
29.2359,27.5462,1998,3,CMR
