pr,tas,	Year, Month, Country
36.3658,24.9749,1991,1,KEN
11.2949,26.0389,1991,2,KEN
68.702,26.1007,1991,3,KEN
90.6726,25.6117,1991,4,KEN
106.125,24.5972,1991,5,KEN
33.4704,23.9335,1991,6,KEN
38.3507,22.869,1991,7,KEN
30.8415,22.7778,1991,8,KEN
17.8836,23.9856,1991,9,KEN
39.5171,25.5416,1991,10,KEN
53.2342,24.4987,1991,11,KEN
52.6873,24.6603,1991,12,KEN
10.0164,23.9783,1992,1,KEN
14.7595,26.4495,1992,2,KEN
17.0571,26.4825,1992,3,KEN
110.871,26.077,1992,4,KEN
76.6258,24.6422,1992,5,KEN
28.3081,24.0012,1992,6,KEN
33.1022,22.7881,1992,7,KEN
26.8043,22.6085,1992,8,KEN
22.0039,23.9175,1992,9,KEN
47.6987,24.8249,1992,10,KEN
102.895,24.2661,1992,11,KEN
97.7108,24.5086,1992,12,KEN
79.2166,24.0554,1993,1,KEN
51.7039,24.7506,1993,2,KEN
22.7852,25.6712,1993,3,KEN
80.2353,25.9852,1993,4,KEN
110.769,25.0545,1993,5,KEN
53.9532,23.7293,1993,6,KEN
16.4976,22.772,1993,7,KEN
22.0413,23.3712,1993,8,KEN
13.3563,23.8067,1993,9,KEN
41.7488,25.0648,1993,10,KEN
76.3053,25.4003,1993,11,KEN
41.5828,23.523,1993,12,KEN
6.89012,24.3338,1994,1,KEN
16.4423,25.8469,1994,2,KEN
46.7777,25.4542,1994,3,KEN
109.524,25.4987,1994,4,KEN
80.9757,24.636,1994,5,KEN
35.0216,23.6743,1994,6,KEN
42.6866,22.9638,1994,7,KEN
32.2198,23.4674,1994,8,KEN
19.8582,24.185,1994,9,KEN
69.2886,25.2878,1994,10,KEN
166.774,24.0848,1994,11,KEN
57.4122,24.2292,1994,12,KEN
10.9665,24.9173,1995,1,KEN
37.6024,25.9905,1995,2,KEN
66.9891,26.0357,1995,3,KEN
157.127,25.9741,1995,4,KEN
70.1194,24.8178,1995,5,KEN
24.081,24.25,1995,6,KEN
23.5372,23.2386,1995,7,KEN
34.1257,23.5875,1995,8,KEN
36.6088,24.2486,1995,9,KEN
92.33,25.3587,1995,10,KEN
78.7325,25.1489,1995,11,KEN
46.5543,24.9749,1995,12,KEN
22.0821,25.6384,1996,1,KEN
26.4704,26.5305,1996,2,KEN
75.0922,26.5395,1996,3,KEN
69.9359,25.8825,1996,4,KEN
89.4808,24.7916,1996,5,KEN
58.6086,23.8763,1996,6,KEN
38.0358,23.1048,1996,7,KEN
21.7394,23.1909,1996,8,KEN
22.0316,24.0581,1996,9,KEN
15.9776,24.9987,1996,10,KEN
85.0873,24.5339,1996,11,KEN
6.78378,24.5666,1996,12,KEN
7.03861,25.5407,1997,1,KEN
0.99362,26.0216,1997,2,KEN
53.8334,26.1673,1997,3,KEN
195.956,25.2619,1997,4,KEN
58.4165,24.7092,1997,5,KEN
50.7637,23.7477,1997,6,KEN
30.8043,23.3882,1997,7,KEN
30.2092,23.9922,1997,8,KEN
8.6719,25.1961,1997,9,KEN
187.866,25.092,1997,10,KEN
270.111,24.53,1997,11,KEN
123.561,24.775,1997,12,KEN
74.4882,25.6184,1998,1,KEN
52.9432,26.2578,1998,2,KEN
49.0786,26.7214,1998,3,KEN
111.822,25.6433,1998,4,KEN
140.956,24.263,1998,5,KEN
76.9888,23.9976,1998,6,KEN
35.2155,23.2663,1998,7,KEN
34.1443,23.043,1998,8,KEN
20.4587,24.2255,1998,9,KEN
29.6504,25.9837,1998,10,KEN
68.3587,24.7868,1998,11,KEN
12.7848,25.0808,1998,12,KEN
15.1166,25.6175,1999,1,KEN
3.32437,25.91,1999,2,KEN
85.4684,26.7558,1999,3,KEN
89.9725,25.8325,1999,4,KEN
65.0315,24.4059,1999,5,KEN
32.7198,24.1095,1999,6,KEN
36.7826,23.1219,1999,7,KEN
30.4937,23.4935,1999,8,KEN
18.088,24.647,1999,9,KEN
85.2901,24.5248,1999,10,KEN
96.7097,24.6324,1999,11,KEN
49.5136,24.4831,1999,12,KEN
13.1012,24.4424,2000,1,KEN
3.39735,25.4963,2000,2,KEN
34.0703,26.6502,2000,3,KEN
62.5207,26.403,2000,4,KEN
56.9789,25.1022,2000,5,KEN
35.5909,23.5271,2000,6,KEN
19.5935,24.2789,2000,7,KEN
34.3656,24.096,2000,8,KEN
25.9023,24.0584,2000,9,KEN
60.9349,24.6367,2000,10,KEN
73.2695,26.3004,2000,11,KEN
28.5021,24.5621,2000,12,KEN
68.6658,25.6168,2001,1,KEN
8.79275,26.8168,2001,2,KEN
51.1423,27.3899,2001,3,KEN
108.415,25.5888,2001,4,KEN
60.3327,24.6688,2001,5,KEN
48.4967,23.4302,2001,6,KEN
31.3443,22.9756,2001,7,KEN
28.2793,23.2857,2001,8,KEN
22.8387,24.815,2001,9,KEN
41.9244,25.7873,2001,10,KEN
133.891,24.8486,2001,11,KEN
31.1824,25.0503,2001,12,KEN
32.1013,25.4603,2002,1,KEN
47.4799,26.6051,2002,2,KEN
44.8164,27.1469,2002,3,KEN
168.192,26.6341,2002,4,KEN
80.8787,25.7351,2002,5,KEN
19.1074,24.544,2002,6,KEN
19.8063,23.5956,2002,7,KEN
26.3542,24.494,2002,8,KEN
37.0443,25.1729,2002,9,KEN
78.7697,25.713,2002,10,KEN
72.695,25.6521,2002,11,KEN
114.621,25.7655,2002,12,KEN
10.0381,25.7655,2003,1,KEN
6.57046,26.2401,2003,2,KEN
45.8123,26.9988,2003,3,KEN
186.558,27.2364,2003,4,KEN
118.251,25.8673,2003,5,KEN
31.2623,24.3265,2003,6,KEN
28.1542,23.6196,2003,7,KEN
29.0994,23.9784,2003,8,KEN
28.386,24.501,2003,9,KEN
49.4387,25.8809,2003,10,KEN
70.8427,25.4867,2003,11,KEN
34.6202,25.8265,2003,12,KEN
51.3883,26.3589,2004,1,KEN
15.4374,26.876,2004,2,KEN
54.2999,26.7423,2004,3,KEN
131.66,25.8262,2004,4,KEN
70.9802,25.3475,2004,5,KEN
32.5241,24.3262,2004,6,KEN
25.5496,23.6934,2004,7,KEN
29.4278,24.4422,2004,8,KEN
29.3112,24.7111,2004,9,KEN
80.3077,24.3822,2004,10,KEN
96.8395,24.8915,2004,11,KEN
48.541,25.0313,2004,12,KEN
28.3224,24.9418,2005,1,KEN
22.1186,27.1086,2005,2,KEN
59.3381,27.0445,2005,3,KEN
77.8647,25.883,2005,4,KEN
