pr,tas,	Year, Month, Country
204.688,18.6472,1991,1,LSO
124.997,17.8813,1991,2,LSO
110.434,15.834,1991,3,LSO
3.49657,13.6864,1991,4,LSO
3.86758,10.6094,1991,5,LSO
13.0419,6.57098,1991,6,LSO
0.94483,7.48768,1991,7,LSO
3.26394,8.87845,1991,8,LSO
59.5744,13.1401,1991,9,LSO
154.319,14.266,1991,10,LSO
62.7308,15.8396,1991,11,LSO
124.434,16.8768,1991,12,LSO
49.2921,19.623,1992,1,LSO
57.4986,19.7028,1992,2,LSO
62.9409,17.3328,1992,3,LSO
20.054,14.9398,1992,4,LSO
0.68631,9.65732,1992,5,LSO
0.44241,6.48702,1992,6,LSO
0.59084,7.15533,1992,7,LSO
44.5996,8.54639,1992,8,LSO
9.06036,13.9663,1992,9,LSO
69.6168,14.4612,1992,10,LSO
101.275,15.1978,1992,11,LSO
63.3406,18.5576,1992,12,LSO
75.8595,19.7019,1993,1,LSO
99.8827,17.252,1993,2,LSO
83.6176,16.5278,1993,3,LSO
49.6494,12.8362,1993,4,LSO
13.5643,10.2204,1993,5,LSO
3.7047,7.32104,1993,6,LSO
1.17158,8.84384,1993,7,LSO
21.986,9.4381,1993,8,LSO
12.9471,13.9137,1993,9,LSO
169.517,14.7813,1993,10,LSO
83.923,15.7391,1993,11,LSO
122.339,17.3114,1993,12,LSO
157.337,17.6406,1994,1,LSO
119.82,16.2312,1994,2,LSO
110.293,15.5964,1994,3,LSO
50.2263,12.8038,1994,4,LSO
2.23572,9.40771,1994,5,LSO
1.80776,6.1125,1994,6,LSO
12.5315,5.86491,1994,7,LSO
8.23412,8.56553,1994,8,LSO
2.91943,13.2423,1994,9,LSO
28.4462,13.5216,1994,10,LSO
40.952,15.6967,1994,11,LSO
69.4034,17.4625,1994,12,LSO
111.977,18.8757,1995,1,LSO
66.5621,19.2022,1995,2,LSO
112.972,16.0496,1995,3,LSO
28.749,11.9727,1995,4,LSO
25.5077,9.43143,1995,5,LSO
12.8686,6.63822,1995,6,LSO
0.62209,6.4563,1995,7,LSO
