pr,tas,	Year, Month, Country
0.01508,21.6057,1991,1,MLI
0.56483,24.3036,1991,2,MLI
1.09565,27.6491,1991,3,MLI
4.37197,30.9279,1991,4,MLI
18.057,32.3465,1991,5,MLI
32.4458,33.9143,1991,6,MLI
83.0491,31.5855,1991,7,MLI
101.548,30.3319,1991,8,MLI
39.4421,31.5396,1991,9,MLI
21.1805,29.3711,1991,10,MLI
0.26743,26.0599,1991,11,MLI
0.00648,21.2019,1991,12,MLI
0.14817,19.5778,1992,1,MLI
0.25789,23.9248,1992,2,MLI
0.46225,26.3411,1992,3,MLI
2.66652,30.5582,1992,4,MLI
18.1347,32.5249,1992,5,MLI
36.2081,33.9521,1992,6,MLI
75.8543,31.5502,1992,7,MLI
98.6662,30.341,1992,8,MLI
45.5277,30.7449,1992,9,MLI
8.19965,29.609,1992,10,MLI
0.85145,24.4982,1992,11,MLI
0.01343,22.7834,1992,12,MLI
0.00452,20.1276,1993,1,MLI
0.26246,24.1416,1993,2,MLI
2.24747,28.2229,1993,3,MLI
4.40611,31.4446,1993,4,MLI
7.95037,33.7122,1993,5,MLI
33.5897,34.1178,1993,6,MLI
84.0736,31.949,1993,7,MLI
88.9031,30.9055,1993,8,MLI
52.2456,30.81,1993,9,MLI
12.2294,30.3935,1993,10,MLI
0.68766,26.4007,1993,11,MLI
0.00569,21.3306,1993,12,MLI
0.0265,19.8794,1994,1,MLI
0.45152,23.7751,1994,2,MLI
0.76761,27.883,1994,3,MLI
2.22127,31.0976,1994,4,MLI
15.7241,33.2133,1994,5,MLI
36.3716,33.8218,1994,6,MLI
83.3309,31.8081,1994,7,MLI
123.669,29.8617,1994,8,MLI
82.5888,29.1279,1994,9,MLI
32.745,28.8316,1994,10,MLI
0.98061,25.9363,1994,11,MLI
0.00449,21.4918,1994,12,MLI
0.00268,19.3262,1995,1,MLI
0.16104,23.3809,1995,2,MLI
2.1401,27.9101,1995,3,MLI
9.48011,31.1732,1995,4,MLI
14.749,33.855,1995,5,MLI
30.5334,34.6347,1995,6,MLI
73.5926,32.4703,1995,7,MLI
99.0205,31.1165,1995,8,MLI
57.4345,30.9668,1995,9,MLI
11.4273,29.9897,1995,10,MLI
0.23804,26.1149,1995,11,MLI
0.03514,23.0145,1995,12,MLI
0.03877,23.1943,1996,1,MLI
0.25706,25.4784,1996,2,MLI
1.95203,27.9347,1996,3,MLI
4.01619,30.962,1996,4,MLI
16.6681,32.6971,1996,5,MLI
32.1833,33.7799,1996,6,MLI
73.0194,32.5735,1996,7,MLI
82.4001,30.8927,1996,8,MLI
62.5789,30.8843,1996,9,MLI
13.442,29.9916,1996,10,MLI
0.05573,25.0958,1996,11,MLI
0.05404,23.1426,1996,12,MLI
0.21817,23.2142,1997,1,MLI
0.09451,23.9194,1997,2,MLI
0.25518,26.3101,1997,3,MLI
8.27386,30.3141,1997,4,MLI
16.4889,33.5808,1997,5,MLI
41.8718,33.4614,1997,6,MLI
64.2707,32.7491,1997,7,MLI
87.4782,31.5308,1997,8,MLI
52.643,31.4447,1997,9,MLI
13.3485,30.5474,1997,10,MLI
0.38543,26.8167,1997,11,MLI
0.01706,23.0275,1997,12,MLI
0.00494,22.0811,1998,1,MLI
0.35167,26.2459,1998,2,MLI
0.08138,27.7476,1998,3,MLI
7.09886,32.8946,1998,4,MLI
16.7296,34.0406,1998,5,MLI
33.8342,34.0921,1998,6,MLI
71.5986,33.0562,1998,7,MLI
102.694,31.1334,1998,8,MLI
86.028,29.8042,1998,9,MLI
11.221,30.2379,1998,10,MLI
0.05295,26.1752,1998,11,MLI
0.02992,22.4837,1998,12,MLI
0.153,21.8216,1999,1,MLI
0.10963,22.2938,1999,2,MLI
0.74552,28.2687,1999,3,MLI
7.07392,31.8787,1999,4,MLI
10.3191,34.0256,1999,5,MLI
30.9762,34.2787,1999,6,MLI
87.4998,31.8026,1999,7,MLI
161.926,29.3638,1999,8,MLI
60.0158,30.094,1999,9,MLI
24.9429,29.7922,1999,10,MLI
1.09247,26.2102,1999,11,MLI
0.00578,22.0788,1999,12,MLI
0.15424,22.9226,2000,1,MLI
0.09371,22.9064,2000,2,MLI
1.09288,27.9875,2000,3,MLI
5.25908,32.7155,2000,4,MLI
13.1859,34.3084,2000,5,MLI
35.0515,33.6713,2000,6,MLI
84.6073,32.0807,2000,7,MLI
92.4225,30.9741,2000,8,MLI
45.8882,30.9441,2000,9,MLI
15.5962,29.1359,2000,10,MLI
0.94156,26.1045,2000,11,MLI
0.00652,22.2108,2000,12,MLI
0.00897,21.7371,2001,1,MLI
0.08814,24.3716,2001,2,MLI
0.31882,29.3269,2001,3,MLI
4.75786,31.6613,2001,4,MLI
13.2194,33.6418,2001,5,MLI
50.056,33.5147,2001,6,MLI
77.392,32.248,2001,7,MLI
93.9885,30.9244,2001,8,MLI
45.2308,30.6838,2001,9,MLI
9.35974,30.1771,2001,10,MLI
0.80803,26.3348,2001,11,MLI
0.07315,24.0689,2001,12,MLI
0.28334,21.7956,2002,1,MLI
0.47096,24.3154,2002,2,MLI
1.18504,28.3577,2002,3,MLI
5.46234,31.2505,2002,4,MLI
10.0767,34.1537,2002,5,MLI
25.3427,34.2541,2002,6,MLI
61.569,32.824,2002,7,MLI
76.002,31.1839,2002,8,MLI
50.2514,31.8323,2002,9,MLI
25.5847,29.7912,2002,10,MLI
0.09533,26.7517,2002,11,MLI
0.11573,23.6745,2002,12,MLI
0.02116,21.9063,2003,1,MLI
0.43198,25.5117,2003,2,MLI
0.42727,28.6709,2003,3,MLI
6.36426,32.4519,2003,4,MLI
10.3593,34.8827,2003,5,MLI
50.8719,33.2885,2003,6,MLI
95.7741,31.8494,2003,7,MLI
111.926,30.3822,2003,8,MLI
70.453,30.3966,2003,9,MLI
18.2605,31.0029,2003,10,MLI
1.27101,27.5984,2003,11,MLI
0.02984,22.219,2003,12,MLI
0.01739,22.2969,2004,1,MLI
0.52388,25.6085,2004,2,MLI
1.5315,27.1851,2004,3,MLI
8.11211,31.9282,2004,4,MLI
9.71743,33.6578,2004,5,MLI
33.4636,33.9135,2004,6,MLI
95.446,31.445,2004,7,MLI
106.852,31.1713,2004,8,MLI
48.0751,31.1117,2004,9,MLI
12.2516,31.085,2004,10,MLI
2.27473,26.7426,2004,11,MLI
0.07573,23.7884,2004,12,MLI
0.11743,21.2083,2005,1,MLI
0.66973,25.1093,2005,2,MLI
1.57816,29.4511,2005,3,MLI
4.88144,32.7617,2005,4,MLI
18.3793,34.7213,2005,5,MLI
66.8274,33.7253,2005,6,MLI
58.6842,31.9723,2005,7,MLI
102.523,31.0681,2005,8,MLI
55.2577,31.4695,2005,9,MLI
15.594,30.7935,2005,10,MLI
0.15694,26.7605,2005,11,MLI
0.11146,23.1255,2005,12,MLI
0.06352,21.2142,2006,1,MLI
0.34647,23.9539,2006,2,MLI
0.71027,28.6949,2006,3,MLI
2.60947,31.8115,2006,4,MLI
24.7974,33.3606,2006,5,MLI
38.7604,34.1873,2006,6,MLI
59.314,32.8377,2006,7,MLI
94.1999,30.9097,2006,8,MLI
62.1798,31.0788,2006,9,MLI
12.425,30.4742,2006,10,MLI
0.13838,26.107,2006,11,MLI
0.04318,21.6174,2006,12,MLI
0.03319,21.6375,2007,1,MLI
0.37921,25.1882,2007,2,MLI
1.08788,28.1154,2007,3,MLI
7.24111,31.5086,2007,4,MLI
12.0161,33.788,2007,5,MLI
26.5049,34.7091,2007,6,MLI
87.4875,32.1361,2007,7,MLI
113.78,30.5772,2007,8,MLI
50.3349,30.9908,2007,9,MLI
10.9686,30.6214,2007,10,MLI
1.95353,27.4566,2007,11,MLI
0.03051,22.0811,2007,12,MLI
0.02275,19.5308,2008,1,MLI
0.95165,23.578,2008,2,MLI
1.98747,28.8099,2008,3,MLI
7.78758,31.3845,2008,4,MLI
20.9552,33.5231,2008,5,MLI
48.5039,34.0825,2008,6,MLI
83.5207,31.9233,2008,7,MLI
116.477,30.7546,2008,8,MLI
48.3394,31.2402,2008,9,MLI
26.3782,29.8101,2008,10,MLI
0.07267,25.8377,2008,11,MLI
0.11687,22.1241,2008,12,MLI
0.15523,20.1134,2009,1,MLI
0.40761,25.8077,2009,2,MLI
1.41508,29.7848,2009,3,MLI
3.54135,31.5368,2009,4,MLI
13.6228,33.8738,2009,5,MLI
32.1023,34.3478,2009,6,MLI
65.6977,32.9596,2009,7,MLI
101.639,31.543,2009,8,MLI
84.4024,30.5484,2009,9,MLI
18.9006,30.2961,2009,10,MLI
0.68571,25.6907,2009,11,MLI
0.01716,24.1555,2009,12,MLI
0.02109,23.3433,2010,1,MLI
0.52587,27.0164,2010,2,MLI
1.38336,29.728,2010,3,MLI
9.16242,33.1127,2010,4,MLI
20.6881,34.821,2010,5,MLI
51.0271,34.059,2010,6,MLI
96.3771,32.4605,2010,7,MLI
110.247,30.6996,2010,8,MLI
85.7784,30.4423,2010,9,MLI
22.3047,30.2615,2010,10,MLI
0.57113,27.3428,2010,11,MLI
0.01752,23.6847,2010,12,MLI
0.01886,22.934,2011,1,MLI
0.35245,23.5002,2011,2,MLI
1.98461,30.0885,2011,3,MLI
5.23324,31.8522,2011,4,MLI
11.2722,34.4348,2011,5,MLI
30.9217,34.3346,2011,6,MLI
71.2783,32.6507,2011,7,MLI
100.524,31.0162,2011,8,MLI
56.253,31.1983,2011,9,MLI
8.32752,30.3997,2011,10,MLI
1.50992,26.985,2011,11,MLI
0.02762,21.3387,2011,12,MLI
0.01766,20.3755,2012,1,MLI
0.29786,23.4946,2012,2,MLI
0.45065,27.6253,2012,3,MLI
10.3983,31.4466,2012,4,MLI
15.0682,34.1415,2012,5,MLI
43.2196,33.7676,2012,6,MLI
83.2467,31.7714,2012,7,MLI
118.004,30.7622,2012,8,MLI
56.629,30.8632,2012,9,MLI
16.2035,30.5483,2012,10,MLI
0.79367,27.864,2012,11,MLI
0.04175,22.5482,2012,12,MLI
0.03245,21.5928,2013,1,MLI
0.46372,24.5533,2013,2,MLI
1.3763,29.6239,2013,3,MLI
7.95862,31.5617,2013,4,MLI
13.2277,33.92,2013,5,MLI
29.7763,34.6662,2013,6,MLI
65.481,32.4992,2013,7,MLI
125.576,30.3724,2013,8,MLI
59.6756,30.8802,2013,9,MLI
20.1661,29.7825,2013,10,MLI
0.60011,25.9851,2013,11,MLI
0.05238,21.6157,2013,12,MLI
0.20456,22.7381,2014,1,MLI
0.38949,24.0982,2014,2,MLI
0.86751,27.4938,2014,3,MLI
6.52043,32.4196,2014,4,MLI
23.9769,33.7126,2014,5,MLI
42.016,34.707,2014,6,MLI
63.5438,32.7382,2014,7,MLI
104.803,31.0702,2014,8,MLI
61.595,30.736,2014,9,MLI
22.4395,30.2707,2014,10,MLI
1.57904,26.4151,2014,11,MLI
0.01602,22.1357,2014,12,MLI
0.01477,20.9795,2015,1,MLI
0.58457,24.8925,2015,2,MLI
0.41521,27.6319,2015,3,MLI
2.64127,31.6798,2015,4,MLI
10.2073,35.3688,2015,5,MLI
31.2461,34.8287,2015,6,MLI
