pr,tas,	Year, Month, Country
188.792,23.1112,1991,1,TZA
112.361,23.6897,1991,2,TZA
200.651,23.783,1991,3,TZA
155.595,23.0193,1991,4,TZA
83.8806,22.3202,1991,5,TZA
9.45048,20.9618,1991,6,TZA
9.45816,20.1501,1991,7,TZA
8.53844,20.8604,1991,8,TZA
16.3707,22.2827,1991,9,TZA
42.1676,23.6152,1991,10,TZA
76.7376,23.4978,1991,11,TZA
165.848,23.0033,1991,12,TZA
89.24,23.3826,1992,1,TZA
133.868,24.0671,1992,2,TZA
129.388,24.0285,1992,3,TZA
181.469,23.2964,1992,4,TZA
72.3555,22.2138,1992,5,TZA
13.4167,21.0527,1992,6,TZA
8.97707,20.2092,1992,7,TZA
4.39568,20.4102,1992,8,TZA
11.87,22.4875,1992,9,TZA
30.5297,23.3141,1992,10,TZA
130.756,23.4893,1992,11,TZA
157.013,23.4007,1992,12,TZA
177.174,22.5518,1993,1,TZA
129.147,22.295,1993,2,TZA
176.815,22.869,1993,3,TZA
157.079,23.1222,1993,4,TZA
65.7179,22.3686,1993,5,TZA
12.995,20.7442,1993,6,TZA
6.2783,20.0702,1993,7,TZA
10.9471,21.2239,1993,8,TZA
7.32022,22.1508,1993,9,TZA
17.7505,23.6432,1993,10,TZA
63.9944,24.471,1993,11,TZA
49.6138,23.8186,1993,12,TZA
165.568,22.4816,1994,1,TZA
157.601,23.4517,1994,2,TZA
195.057,22.9415,1994,3,TZA
121.577,22.7055,1994,4,TZA
54.1063,21.9834,1994,5,TZA
6.41992,20.789,1994,6,TZA
10.0448,19.734,1994,7,TZA
11.1126,21.4467,1994,8,TZA
7.86629,22.7573,1994,9,TZA
31.5346,23.8441,1994,10,TZA
88.7398,24.253,1994,11,TZA
153.581,23.4983,1994,12,TZA
152.755,23.0973,1995,1,TZA
155.87,23.4035,1995,2,TZA
195.642,23.4123,1995,3,TZA
126.411,23.4015,1995,4,TZA
77.1111,22.2298,1995,5,TZA
6.70501,21.0376,1995,6,TZA
3.52707,20.7189,1995,7,TZA
12.7265,22.1457,1995,8,TZA
16.5608,22.681,1995,9,TZA
38.2338,24.2846,1995,10,TZA
29.3383,24.8671,1995,11,TZA
112.858,24.1207,1995,12,TZA
132.12,23.7916,1996,1,TZA
219.342,23.9676,1996,2,TZA
