pr,tas,	Year, Month, Country
120.065,24.5451,1991,1,ZWE
109.817,24.5626,1991,2,ZWE
107.34,23.2874,1991,3,ZWE
13.2462,20.8079,1991,4,ZWE
3.1783,19.0474,1991,5,ZWE
0.49813,16.7136,1991,6,ZWE
0.73324,15.977,1991,7,ZWE
0.41949,18.6317,1991,8,ZWE
4.91084,22.801,1991,9,ZWE
14.5541,24.4909,1991,10,ZWE
54.6311,24.6252,1991,11,ZWE
82.1997,23.9765,1991,12,ZWE
82.5584,25.5309,1992,1,ZWE
16.8042,25.9635,1992,2,ZWE
75.8833,24.4652,1992,3,ZWE
16.6712,23.1147,1992,4,ZWE
0.94638,19.9625,1992,5,ZWE
1.23755,16.9368,1992,6,ZWE
0.44519,16.3072,1992,7,ZWE
1.07642,17.789,1992,8,ZWE
1.01056,22.3757,1992,9,ZWE
12.048,25.5268,1992,10,ZWE
74.9923,24.9356,1992,11,ZWE
171.425,25.329,1992,12,ZWE
124.309,23.8746,1993,1,ZWE
168.332,23.5982,1993,2,ZWE
63.6984,22.841,1993,3,ZWE
28.2639,22.2848,1993,4,ZWE
1.19789,20.5319,1993,5,ZWE
2.43262,16.7585,1993,6,ZWE
5.23861,16.6448,1993,7,ZWE
2.63042,17.9007,1993,8,ZWE
5.07453,21.7107,1993,9,ZWE
10.8814,25.4515,1993,10,ZWE
137.349,24.1004,1993,11,ZWE
112.603,24.5225,1993,12,ZWE
157.094,23.7482,1994,1,ZWE
81.1353,23.2218,1994,2,ZWE
16.1239,23.7361,1994,3,ZWE
10.0402,21.8556,1994,4,ZWE
1.35892,18.8866,1994,5,ZWE
1.10038,16.2255,1994,6,ZWE
0.82976,15.6712,1994,7,ZWE
1.14881,17.9495,1994,8,ZWE
2.85881,21.8227,1994,9,ZWE
43.8299,22.7069,1994,10,ZWE
24.2761,25.8029,1994,11,ZWE
122.276,25.0759,1994,12,ZWE
89.0366,25.1577,1995,1,ZWE
74.0327,24.7616,1995,2,ZWE
46.8122,24.3518,1995,3,ZWE
14.3736,22.5884,1995,4,ZWE
10.8483,19.4966,1995,5,ZWE
0.5833,15.4906,1995,6,ZWE
2.92062,16.8046,1995,7,ZWE
3.49119,19.8087,1995,8,ZWE
1.76115,22.6852,1995,9,ZWE
