pr,tas,	Year, Month, Country
45.5973,5.40529,1991,1,IRN
31.725,5.88619,1991,2,IRN
71.907,10.826,1991,3,IRN
15.1427,17.9909,1991,4,IRN
14.2811,21.5511,1991,5,IRN
4.90245,26.694,1991,6,IRN
1.43677,29.002,1991,7,IRN
0.5532,27.7401,1991,8,IRN
0.4496,23.9003,1991,9,IRN
11.1561,18.1746,1991,10,IRN
9.97423,12.2218,1991,11,IRN
56.4197,7.38216,1991,12,IRN
41.8198,2.88194,1992,1,IRN
28.5618,5.71919,1992,2,IRN
38.3878,8.09146,1992,3,IRN
37.6925,15.6632,1992,4,IRN
41.8675,20.0444,1992,5,IRN
8.79141,26.3432,1992,6,IRN
2.14321,28.5681,1992,7,IRN
5.28153,26.5672,1992,8,IRN
1.12682,22.5149,1992,9,IRN
2.66614,17.5828,1992,10,IRN
11.6992,12.7933,1992,11,IRN
54.9321,7.26536,1992,12,IRN
41.4742,4.40803,1993,1,IRN
60.6539,6.97974,1993,2,IRN
35.4711,10.2093,1993,3,IRN
35.2699,16.9588,1993,4,IRN
26.2895,21.8748,1993,5,IRN
7.11253,26.3741,1993,6,IRN
3.4569,28.4738,1993,7,IRN
3.81168,27.2862,1993,8,IRN
0.65851,24.299,1993,9,IRN
6.62017,17.1991,1993,10,IRN
25.8133,11.2872,1993,11,IRN
8.95255,7.69718,1993,12,IRN
28.0214,6.35371,1994,1,IRN
15.104,6.57644,1994,2,IRN
45.3206,12.2904,1994,3,IRN
20.3224,17.9113,1994,4,IRN
21.1163,22.5724,1994,5,IRN
4.14963,27.0008,1994,6,IRN
1.02003,29.283,1994,7,IRN
3.04386,28.6408,1994,8,IRN
2.73018,22.3291,1994,9,IRN
17.7222,17.7646,1994,10,IRN
43.1173,13.6472,1994,11,IRN
21.6709,5.54139,1994,12,IRN
10.8188,6.77453,1995,1,IRN
36.8268,7.82416,1995,2,IRN
31.7611,11.2063,1995,3,IRN
45.2166,16.7631,1995,4,IRN
