pr,tas,	Year, Month, Country
127.906,6.95827,1991,1,LBN
67.7115,7.08961,1991,2,LBN
140.462,12.2348,1991,3,LBN
47.5851,15.7674,1991,4,LBN
15.3227,17.3428,1991,5,LBN
0.00063,20.9533,1991,6,LBN
0.00511,23.2183,1991,7,LBN
0.002,23.7574,1991,8,LBN
0.15164,22.8238,1991,9,LBN
27.3465,20.0101,1991,10,LBN
108.089,13.8434,1991,11,LBN
218.575,6.80601,1991,12,LBN
134.756,4.43844,1992,1,LBN
228.599,3.94713,1992,2,LBN
31.7646,8.32305,1992,3,LBN
9.59505,13.6238,1992,4,LBN
25.2687,17.3176,1992,5,LBN
21.3611,20.8695,1992,6,LBN
0.00351,22.6461,1992,7,LBN
0.00137,24.8248,1992,8,LBN
0.45628,21.4503,1992,9,LBN
0.24436,19.7833,1992,10,LBN
83.2092,12.9636,1992,11,LBN
182.858,5.60858,1992,12,LBN
101.498,5.76889,1993,1,LBN
94.0076,5.97296,1993,2,LBN
83.035,10.628,1993,3,LBN
14.4158,14.7452,1993,4,LBN
24.5744,16.3305,1993,5,LBN
1.22574,23.2708,1993,6,LBN
0.0013,24.2857,1993,7,LBN
0.00137,24.828,1993,8,LBN
0.04142,22.1665,1993,9,LBN
20.2033,20.5608,1993,10,LBN
42.5388,11.2155,1993,11,LBN
25.9494,9.07232,1993,12,LBN
153.062,9.59392,1994,1,LBN
97.711,7.86028,1994,2,LBN
73.7656,10.1841,1994,3,LBN
12.329,16.8062,1994,4,LBN
12.0323,19.4045,1994,5,LBN
0.10904,21.5364,1994,6,LBN
0.0152,23.5025,1994,7,LBN
0.01115,24.821,1994,8,LBN
2.92281,24.7145,1994,9,LBN
25.6122,21.3937,1994,10,LBN
171.612,13.1567,1994,11,LBN
149.061,6.13244,1994,12,LBN
56.1961,8.03206,1995,1,LBN
51.675,8.45943,1995,2,LBN
37.5457,10.768,1995,3,LBN
33.4902,13.9158,1995,4,LBN
16.7532,19.3545,1995,5,LBN
0.00568,22.9873,1995,6,LBN
0.02364,24.1077,1995,7,LBN
0.00105,25.287,1995,8,LBN
5.21373,22.0154,1995,9,LBN
3.89199,18.4504,1995,10,LBN
103.664,11.8222,1995,11,LBN
34.5761,7.84675,1995,12,LBN
142.921,7.49377,1996,1,LBN
60.4006,8.67222,1996,2,LBN
100.567,9.89488,1996,3,LBN
28.477,13.8074,1996,4,LBN
5.27612,19.7275,1996,5,LBN
0.22124,22.1912,1996,6,LBN
0.0013,25.1667,1996,7,LBN
0.00358,24.9418,1996,8,LBN
2.01552,22.5591,1996,9,LBN
44.9988,17.7215,1996,10,LBN
29.9297,13.4376,1996,11,LBN
104.144,10.8404,1996,12,LBN
81.5133,8.07534,1997,1,LBN
115.703,5.14652,1997,2,LBN
72.9163,7.71311,1997,3,LBN
42.1456,12.6102,1997,4,LBN
20.8331,19.1796,1997,5,LBN
0.56691,21.8338,1997,6,LBN
0.00162,24.7891,1997,7,LBN
0.1122,23.0255,1997,8,LBN
8.42817,21.4579,1997,9,LBN
26.5152,19.307,1997,10,LBN
61.8943,13.4586,1997,11,LBN
94.2503,9.31267,1997,12,LBN
115.077,6.48223,1998,1,LBN
66.2223,7.63291,1998,2,LBN
124.328,10.1374,1998,3,LBN
19.6287,15.9505,1998,4,LBN
8.10073,19.1238,1998,5,LBN
0.00221,22.3076,1998,6,LBN
0.0013,25.2158,1998,7,LBN
0.0,26.6167,1998,8,LBN
3.1099,23.2903,1998,9,LBN
3.08607,20.116,1998,10,LBN
22.3638,16.1458,1998,11,LBN
92.2587,10.858,1998,12,LBN
73.3664,8.34284,1999,1,LBN
43.6521,9.01261,1999,2,LBN
61.8039,11.1944,1999,3,LBN
29.213,15.3192,1999,4,LBN
0.0,20.1481,1999,5,LBN
0.27902,22.6919,1999,6,LBN
0.00127,24.8154,1999,7,LBN
0.08284,25.5857,1999,8,LBN
1.50146,23.2222,1999,9,LBN
15.79,19.5235,1999,10,LBN
12.1029,13.1466,1999,11,LBN
33.7301,9.21476,1999,12,LBN
225.83,6.34001,2000,1,LBN
59.2568,7.21372,2000,2,LBN
52.7687,9.34223,2000,3,LBN
18.6044,15.6582,2000,4,LBN
0.46186,18.6102,2000,5,LBN
0.10569,23.1845,2000,6,LBN
0.00092,26.6073,2000,7,LBN
0.03126,26.1757,2000,8,LBN
4.3924,23.1387,2000,9,LBN
62.0781,18.4652,2000,10,LBN
27.1396,12.9547,2000,11,LBN
100.798,8.92028,2000,12,LBN
81.3427,8.45856,2001,1,LBN
143.958,9.01853,2001,2,LBN
39.146,13.9879,2001,3,LBN
22.3381,16.1847,2001,4,LBN
27.7439,19.3288,2001,5,LBN
0.00031,23.2342,2001,6,LBN
0.00744,25.7842,2001,7,LBN
0.12934,25.9652,2001,8,LBN
0.01241,23.4697,2001,9,LBN
32.364,19.9191,2001,10,LBN
76.6508,12.5876,2001,11,LBN
145.403,10.5477,2001,12,LBN
156.79,6.21862,2002,1,LBN
61.5053,10.484,2002,2,LBN
82.0933,12.2186,2002,3,LBN
