,Unnamed: 0,Unnamed: 0.1,adm0_name,adm1_name,mkt_name,cm_name,cur_name,pt_name,um_id,um_name,mp_month,mp_year,mp_price,Year
49705,49705,118666,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,1,2006,6.0811,2006.0
49706,49706,118667,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,2,2006,6.0811,2006.083333333333
49707,49707,118668,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,3,2006,6.0811,2006.166666666667
49708,49708,118669,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,4,2006,6.0811,2006.25
49709,49709,118670,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,5,2006,6.0811,2006.333333333333
49710,49710,118671,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,6,2006,6.0811,2006.416666666667
49711,49711,118672,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,7,2006,6.0811,2006.5
49712,49712,118673,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,8,2006,6.0811,2006.583333333333
49713,49713,118674,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,9,2006,6.0811,2006.666666666667
49714,49714,118675,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,10,2006,6.0811,2006.75
49715,49715,118676,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,11,2006,6.0811,2006.833333333333
49716,49716,118677,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,12,2006,6.2069,2006.916666666667
49717,49717,118678,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,2,2007,6.2069,2007.083333333333
49718,49718,118679,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,3,2007,7.375,2007.166666666667
49719,49719,118680,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,4,2007,7.375,2007.25
49720,49720,118681,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,5,2007,7.25,2007.333333333333
49721,49721,118682,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,6,2007,7.375,2007.416666666667
49722,49722,118683,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,7,2007,6.75,2007.5
49723,49723,118684,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,8,2007,7.0,2007.583333333333
49724,49724,118685,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,9,2007,6.0,2007.666666666667
49725,49725,118686,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,10,2007,7.0,2007.75
49726,49726,118687,Gambia,$Kanifing Municipal Council,Bakau,"Rice (medium grain, imported)",GMD,Retail,28,500 G,11,2007,6.0,2007.833333333333
