Origin,Timestamp,Value
Cabo Verde,1999,0
Central African Rep.,1999,9
Burundi,1999,50
Congo,1999,146
Djibouti,1999,8
Ehtiopia,1999,0
Gambia,1999,9
Guinea,1999,95
Kenya,1999,56
Lesotho,1999,0
Liberia,1999,45
Madagascar,1999,0
Malawi,1999,0
Mali,1999,117
Mauritania,1999,86
Mozambique,1999,0
Niger,1999,14
Nigeria,1999,263
Rwanda,1999,189
Senegal,1999,26
Somalia,1999,1109
South Sudan,1999,0
Sudan,1999,231
Uganda,1999,26
Tanzania,1999,0
Zambia,1999,0
Zimbabwe,1999,16
Cabo Verde,1999.08333333333,0
Central African Rep.,1999.08333333333,21
Burundi,1999.08333333333,92
Congo,1999.08333333333,339
Djibouti,1999.08333333333,16
Ehtiopia,1999.08333333333,0
Gambia,1999.08333333333,26
Guinea,1999.08333333333,219
Kenya,1999.08333333333,114
Lesotho,1999.08333333333,0
Liberia,1999.08333333333,88
Madagascar,1999.08333333333,1
Malawi,1999.08333333333,0
Mali,1999.08333333333,286
Mauritania,1999.08333333333,167
Mozambique,1999.08333333333,1
Niger,1999.08333333333,31
Nigeria,1999.08333333333,586
Rwanda,1999.08333333333,417
Senegal,1999.08333333333,48
Somalia,1999.08333333333,2388
South Sudan,1999.08333333333,0
Sudan,1999.08333333333,464
Uganda,1999.08333333333,69
Tanzania,1999.08333333333,0
Zambia,1999.08333333333,0
Zimbabwe,1999.08333333333,31
Cabo Verde,1999.1666666666601,2
Central African Rep.,1999.1666666666601,17
Burundi,1999.1666666666601,83
Congo,1999.1666666666601,364
Djibouti,1999.1666666666601,11
Ehtiopia,1999.1666666666601,0
Gambia,1999.1666666666601,38
Guinea,1999.1666666666601,241
Kenya,1999.1666666666601,101
Lesotho,1999.1666666666601,1
Liberia,1999.1666666666601,82
Madagascar,1999.1666666666601,3
Malawi,1999.1666666666601,0
Mali,1999.1666666666601,333
Mauritania,1999.1666666666601,169
Mozambique,1999.1666666666601,1
Niger,1999.1666666666601,41
Nigeria,1999.1666666666601,577
Rwanda,1999.1666666666601,445
Senegal,1999.1666666666601,48
Somalia,1999.1666666666601,2524
South Sudan,1999.1666666666601,0
Sudan,1999.1666666666601,475
Uganda,1999.1666666666601,79
Tanzania,1999.1666666666601,0
Zambia,1999.1666666666601,0
Zimbabwe,1999.1666666666601,38
Cabo Verde,1999.2499999999902,2
Central African Rep.,1999.2499999999902,19
Burundi,1999.2499999999902,82
Congo,1999.2499999999902,314
Djibouti,1999.2499999999902,6
Ehtiopia,1999.2499999999902,0
Gambia,1999.2499999999902,31
Guinea,1999.2499999999902,220
Kenya,1999.2499999999902,91
Lesotho,1999.2499999999902,1
Liberia,1999.2499999999902,71
Madagascar,1999.2499999999902,2
Malawi,1999.2499999999902,1
Mali,1999.2499999999902,304
Mauritania,1999.2499999999902,182
Mozambique,1999.2499999999902,0
Niger,1999.2499999999902,39
Nigeria,1999.2499999999902,514
Rwanda,1999.2499999999902,425
Senegal,1999.2499999999902,48
Somalia,1999.2499999999902,2372
South Sudan,1999.2499999999902,0
Sudan,1999.2499999999902,436
Uganda,1999.2499999999902,70
Tanzania,1999.2499999999902,0
Zambia,1999.2499999999902,0
Zimbabwe,1999.2499999999902,48
Cabo Verde,1999.3333333333203,2
Central African Rep.,1999.3333333333203,33
Burundi,1999.3333333333203,98
Congo,1999.3333333333203,285
Djibouti,1999.3333333333203,7
Ehtiopia,1999.3333333333203,0
Gambia,1999.3333333333203,25
Guinea,1999.3333333333203,197
Kenya,1999.3333333333203,116
Lesotho,1999.3333333333203,0
Liberia,1999.3333333333203,74
Madagascar,1999.3333333333203,2
Malawi,1999.3333333333203,1
Mali,1999.3333333333203,289
Mauritania,1999.3333333333203,178
Mozambique,1999.3333333333203,1
Niger,1999.3333333333203,54
Nigeria,1999.3333333333203,537
Rwanda,1999.3333333333203,422
Senegal,1999.3333333333203,42
Somalia,1999.3333333333203,2341
South Sudan,1999.3333333333203,0
Sudan,1999.3333333333203,396
Uganda,1999.3333333333203,94
Tanzania,1999.3333333333203,0
Zambia,1999.3333333333203,0
Zimbabwe,1999.3333333333203,45
Cabo Verde,1999.4166666666504,2
Central African Rep.,1999.4166666666504,48
Burundi,1999.4166666666504,97
Congo,1999.4166666666504,316
Djibouti,1999.4166666666504,8
Ehtiopia,1999.4166666666504,0
Gambia,1999.4166666666504,40
Guinea,1999.4166666666504,235
Kenya,1999.4166666666504,118
Lesotho,1999.4166666666504,0
Liberia,1999.4166666666504,76
Madagascar,1999.4166666666504,3
Malawi,1999.4166666666504,0
Mali,1999.4166666666504,318
Mauritania,1999.4166666666504,189
Mozambique,1999.4166666666504,1
Niger,1999.4166666666504,60
Nigeria,1999.4166666666504,611
Rwanda,1999.4166666666504,421
Senegal,1999.4166666666504,49
Somalia,1999.4166666666504,2396
South Sudan,1999.4166666666504,0
Sudan,1999.4166666666504,428
Uganda,1999.4166666666504,108
Tanzania,1999.4166666666504,0
Zambia,1999.4166666666504,1
Zimbabwe,1999.4166666666504,38
Cabo Verde,1999.4999999999804,1
Central African Rep.,1999.4999999999804,52
Burundi,1999.4999999999804,90
Congo,1999.4999999999804,373
Djibouti,1999.4999999999804,17
Ehtiopia,1999.4999999999804,0
Gambia,1999.4999999999804,34
Guinea,1999.4999999999804,315
Kenya,1999.4999999999804,117
Lesotho,1999.4999999999804,0
Liberia,1999.4999999999804,85
Madagascar,1999.4999999999804,1
Malawi,1999.4999999999804,3
Mali,1999.4999999999804,290
Mauritania,1999.4999999999804,208
Mozambique,1999.4999999999804,0
Niger,1999.4999999999804,46
Nigeria,1999.4999999999804,777
Rwanda,1999.4999999999804,466
Senegal,1999.4999999999804,60
Somalia,1999.4999999999804,2535
South Sudan,1999.4999999999804,0
Sudan,1999.4999999999804,433
Uganda,1999.4999999999804,100
Tanzania,1999.4999999999804,0
Zambia,1999.4999999999804,1
Zimbabwe,1999.4999999999804,34
Cabo Verde,1999.5833333333105,1
Central African Rep.,1999.5833333333105,46
Burundi,1999.5833333333105,129
Congo,1999.5833333333105,422
Djibouti,1999.5833333333105,23
Ehtiopia,1999.5833333333105,0
Gambia,1999.5833333333105,24
Guinea,1999.5833333333105,315
Kenya,1999.5833333333105,128
Lesotho,1999.5833333333105,0
Liberia,1999.5833333333105,90
Madagascar,1999.5833333333105,1
Malawi,1999.5833333333105,3
Mali,1999.5833333333105,260
Mauritania,1999.5833333333105,198
Mozambique,1999.5833333333105,1
Niger,1999.5833333333105,52
Nigeria,1999.5833333333105,891
Rwanda,1999.5833333333105,528
Senegal,1999.5833333333105,59
Somalia,1999.5833333333105,2656
South Sudan,1999.5833333333105,0
Sudan,1999.5833333333105,406
Uganda,1999.5833333333105,124
Tanzania,1999.5833333333105,0
Zambia,1999.5833333333105,0
Zimbabwe,1999.5833333333105,42
Cabo Verde,1999.6666666666406,0
Central African Rep.,1999.6666666666406,54
Burundi,1999.6666666666406,138
Congo,1999.6666666666406,447
Djibouti,1999.6666666666406,16
Ehtiopia,1999.6666666666406,0
Gambia,1999.6666666666406,40
Guinea,1999.6666666666406,335
Kenya,1999.6666666666406,102
Lesotho,1999.6666666666406,0
Liberia,1999.6666666666406,93
Madagascar,1999.6666666666406,2
Malawi,1999.6666666666406,0
Mali,1999.6666666666406,279
Mauritania,1999.6666666666406,192
Mozambique,1999.6666666666406,2
Niger,1999.6666666666406,51
Nigeria,1999.6666666666406,922
Rwanda,1999.6666666666406,534
Senegal,1999.6666666666406,55
Somalia,1999.6666666666406,2393
South Sudan,1999.6666666666406,0
Sudan,1999.6666666666406,479
Uganda,1999.6666666666406,130
Tanzania,1999.6666666666406,0
Zambia,1999.6666666666406,0
Zimbabwe,1999.6666666666406,46
Cabo Verde,1999.7499999999707,2
Central African Rep.,1999.7499999999707,77
Burundi,1999.7499999999707,127
Congo,1999.7499999999707,462
Djibouti,1999.7499999999707,14
Ehtiopia,1999.7499999999707,0
Gambia,1999.7499999999707,43
Guinea,1999.7499999999707,405
Kenya,1999.7499999999707,89
Lesotho,1999.7499999999707,0
Liberia,1999.7499999999707,111
Madagascar,1999.7499999999707,1
Malawi,1999.7499999999707,0
Mali,1999.7499999999707,312
Mauritania,1999.7499999999707,228
Mozambique,1999.7499999999707,2
Niger,1999.7499999999707,54
Nigeria,1999.7499999999707,974
Rwanda,1999.7499999999707,511
Senegal,1999.7499999999707,73
Somalia,1999.7499999999707,1978
South Sudan,1999.7499999999707,0
Sudan,1999.7499999999707,611
Uganda,1999.7499999999707,124
Tanzania,1999.7499999999707,0
Zambia,1999.7499999999707,0
Zimbabwe,1999.7499999999707,35
Cabo Verde,1999.8333333333007,3
Central African Rep.,1999.8333333333007,87
Burundi,1999.8333333333007,148
Congo,1999.8333333333007,454
Djibouti,1999.8333333333007,17
Ehtiopia,1999.8333333333007,0
Gambia,1999.8333333333007,53
Guinea,1999.8333333333007,436
Kenya,1999.8333333333007,94
Lesotho,1999.8333333333007,0
Liberia,1999.8333333333007,107
Madagascar,1999.8333333333007,0
Malawi,1999.8333333333007,1
Mali,1999.8333333333007,360
Mauritania,1999.8333333333007,233
Mozambique,1999.8333333333007,2
Niger,1999.8333333333007,51
Nigeria,1999.8333333333007,1220
Rwanda,1999.8333333333007,480
Senegal,1999.8333333333007,82
Somalia,1999.8333333333007,1984
South Sudan,1999.8333333333007,0
Sudan,1999.8333333333007,583
Uganda,1999.8333333333007,148
Tanzania,1999.8333333333007,0
Zambia,1999.8333333333007,0
Zimbabwe,1999.8333333333007,43
Cabo Verde,1999.9166666666308,2
Central African Rep.,1999.9166666666308,86
Burundi,1999.9166666666308,150
Congo,1999.9166666666308,485
Djibouti,1999.9166666666308,22
Ehtiopia,1999.9166666666308,0
Gambia,1999.9166666666308,60
Guinea,1999.9166666666308,449
Kenya,1999.9166666666308,115
Lesotho,1999.9166666666308,0
Liberia,1999.9166666666308,98
Madagascar,1999.9166666666308,1
Malawi,1999.9166666666308,2
Mali,1999.9166666666308,466
Mauritania,1999.9166666666308,231
Mozambique,1999.9166666666308,3
Niger,1999.9166666666308,32
Nigeria,1999.9166666666308,1300
Rwanda,1999.9166666666308,454
Senegal,1999.9166666666308,76
Somalia,1999.9166666666308,2160
South Sudan,1999.9166666666308,0
Sudan,1999.9166666666308,487
Uganda,1999.9166666666308,177
Tanzania,1999.9166666666308,0
Zambia,1999.9166666666308,0
Zimbabwe,1999.9166666666308,63
Cabo Verde,1999.999999999961,1
Central African Rep.,1999.999999999961,86
Burundi,1999.999999999961,148
Congo,1999.999999999961,537
Djibouti,1999.999999999961,23
Ehtiopia,1999.999999999961,0
Gambia,1999.999999999961,47
Guinea,1999.999999999961,449
Kenya,1999.999999999961,126
Lesotho,1999.999999999961,0
Liberia,1999.999999999961,106
Madagascar,1999.999999999961,3
Malawi,1999.999999999961,1
Mali,1999.999999999961,610
Mauritania,1999.999999999961,261
Mozambique,1999.999999999961,2
Niger,1999.999999999961,33
Nigeria,1999.999999999961,1113
Rwanda,1999.999999999961,415
Senegal,1999.999999999961,89
Somalia,1999.999999999961,1907
South Sudan,1999.999999999961,0
Sudan,1999.999999999961,459
Uganda,1999.999999999961,192
Tanzania,1999.999999999961,0
Zambia,1999.999999999961,0
Zimbabwe,1999.999999999961,85
Cabo Verde,2000.083333333291,1
