Country of residence,Origin,YearMonth,Values
Australia,Afghanistan,1999.0,8
Australia,Afghanistan,1999.0833333333333,10
Australia,Afghanistan,1999.1666666666667,25
Australia,Afghanistan,1999.25,25
Australia,Afghanistan,1999.3333333333333,7
Australia,Afghanistan,1999.4166666666667,24
Australia,Afghanistan,1999.5,30
Australia,Afghanistan,1999.5833333333333,15
Australia,Afghanistan,1999.6666666666667,10
Australia,Afghanistan,1999.75,88
Australia,Afghanistan,1999.8333333333333,233
Australia,Afghanistan,1999.9166666666667,134
Austria,Afghanistan,1999.0,62
Austria,Afghanistan,1999.0833333333333,41
Austria,Afghanistan,1999.1666666666667,100
Austria,Afghanistan,1999.25,108
Austria,Afghanistan,1999.3333333333333,122
Austria,Afghanistan,1999.4166666666667,219
Austria,Afghanistan,1999.5,159
Austria,Afghanistan,1999.5833333333333,201
Austria,Afghanistan,1999.6666666666667,186
Austria,Afghanistan,1999.75,225
Austria,Afghanistan,1999.8333333333333,423
Austria,Afghanistan,1999.9166666666667,363
Belgium,Afghanistan,1999.0,9
Belgium,Afghanistan,1999.0833333333333,13
Belgium,Afghanistan,1999.1666666666667,20
Belgium,Afghanistan,1999.25,20
Belgium,Afghanistan,1999.3333333333333,17
Belgium,Afghanistan,1999.4166666666667,15
Belgium,Afghanistan,1999.5,30
Belgium,Afghanistan,1999.5833333333333,43
Belgium,Afghanistan,1999.6666666666667,42
Belgium,Afghanistan,1999.75,68
Belgium,Afghanistan,1999.8333333333333,63
Belgium,Afghanistan,1999.9166666666667,61
Bulgaria,Afghanistan,1999.0,35
Bulgaria,Afghanistan,1999.0833333333333,15
Bulgaria,Afghanistan,1999.1666666666667,8
Bulgaria,Afghanistan,1999.25,4
Bulgaria,Afghanistan,1999.3333333333333,22
Bulgaria,Afghanistan,1999.4166666666667,22
Bulgaria,Afghanistan,1999.5,6
Bulgaria,Afghanistan,1999.5833333333333,23
Bulgaria,Afghanistan,1999.6666666666667,12
Bulgaria,Afghanistan,1999.75,21
Bulgaria,Afghanistan,1999.8333333333333,58
Bulgaria,Afghanistan,1999.9166666666667,51
Canada,Afghanistan,1999.0,62
Canada,Afghanistan,1999.0833333333333,32
Canada,Afghanistan,1999.1666666666667,25
Canada,Afghanistan,1999.25,20
Canada,Afghanistan,1999.3333333333333,26
Canada,Afghanistan,1999.4166666666667,45
Canada,Afghanistan,1999.5,47
Canada,Afghanistan,1999.5833333333333,41
Canada,Afghanistan,1999.6666666666667,53
Canada,Afghanistan,1999.75,54
Canada,Afghanistan,1999.8333333333333,61
Canada,Afghanistan,1999.9166666666667,73
Czech Rep.,Afghanistan,1999.0,154
Czech Rep.,Afghanistan,1999.0833333333333,105
