Country of residence,Origin,Year,Month,Values
Belgium,Cabo Verde,1999,November,1
France,Cabo Verde,1999,April,1
France,Cabo Verde,1999,June,1
Germany,Cabo Verde,1999,August,1
Germany,Cabo Verde,1999,December,1
Netherlands,Cabo Verde,1999,April,1
Netherlands,Cabo Verde,1999,June,1
Netherlands,Cabo Verde,1999,November,1
USA (EOIR),Cabo Verde,1999,November,1
France,Cabo Verde,2000,January,1
France,Cabo Verde,2000,March,1
France,Cabo Verde,2000,October,2
USA (EOIR),Cabo Verde,2000,May,2
USA (EOIR),Cabo Verde,2000,June,2
USA (EOIR),Cabo Verde,2000,July,1
USA (EOIR),Cabo Verde,2000,August,1
USA (EOIR),Cabo Verde,2000,October,1
France,Cabo Verde,2001,March,1
France,Cabo Verde,2001,April,1
France,Cabo Verde,2001,May,1
France,Cabo Verde,2001,June,2
France,Cabo Verde,2001,July,3
France,Cabo Verde,2001,September,1
Poland,Cabo Verde,2001,June,1
USA (EOIR),Cabo Verde,2001,January,1
USA (EOIR),Cabo Verde,2001,May,1
USA (EOIR),Cabo Verde,2001,November,1
France,Cabo Verde,2002,June,1
France,Cabo Verde,2002,July,1
Sweden,Cabo Verde,2002,August,1
USA (EOIR),Cabo Verde,2002,April,2
USA (EOIR),Cabo Verde,2002,December,1
Austria,Cabo Verde,2003,March,1
Austria,Cabo Verde,2003,July,1
Canada,Cabo Verde,2003,February,1
France,Cabo Verde,2003,December,3
Germany,Cabo Verde,2003,October,1
Luxembourg,Cabo Verde,2003,April,1
Norway,Cabo Verde,2003,September,4
Switzerland,Cabo Verde,2003,July,1
Austria,Cabo Verde,2004,April,1
France,Cabo Verde,2004,February,1
France,Cabo Verde,2004,March,3
France,Cabo Verde,2004,May,1
France,Cabo Verde,2004,July,2
France,Cabo Verde,2004,August,2
France,Cabo Verde,2004,September,1
France,Cabo Verde,2004,November,1
Germany,Cabo Verde,2004,May,1
Germany,Cabo Verde,2004,November,1
Poland,Cabo Verde,2004,April,2
Spain,Cabo Verde,2004,September,1
Sweden,Cabo Verde,2004,November,1
United Kingdom of Great Britain and Northern Ireland,Cabo Verde,2004,June,4
USA (EOIR),Cabo Verde,2004,April,1
USA (EOIR),Cabo Verde,2004,July,2
France,Cabo Verde,2005,January,4
France,Cabo Verde,2005,February,2
France,Cabo Verde,2005,March,4
France,Cabo Verde,2005,April,1
France,Cabo Verde,2005,May,2
France,Cabo Verde,2005,July,1
Switzerland,Cabo Verde,2005,September,1
USA (EOIR),Cabo Verde,2005,January,1
USA (EOIR),Cabo Verde,2005,May,1
USA (INS/DHS),Cabo Verde,2005,March,1
USA (INS/DHS),Cabo Verde,2005,May,1
USA (INS/DHS),Cabo Verde,2005,October,1
Netherlands,Cabo Verde,2006,February,1
USA (EOIR),Cabo Verde,2006,March,1
USA (EOIR),Cabo Verde,2006,July,1
Netherlands,Cabo Verde,2007,December,1
Switzerland,Cabo Verde,2007,October,1
USA (EOIR),Cabo Verde,2007,May,2
Belgium,Cabo Verde,2008,April,1
Canada,Cabo Verde,2008,April,1
Italy,Cabo Verde,2008,February,2
Italy,Cabo Verde,2008,March,2
Poland,Cabo Verde,2008,April,2
Spain,Cabo Verde,2008,January,1
Switzerland,Cabo Verde,2008,October,1
USA (EOIR),Cabo Verde,2008,February,1
USA (EOIR),Cabo Verde,2008,April,2
Ireland,Cabo Verde,2009,November,3
Spain,Cabo Verde,2009,May,2
Switzerland,Cabo Verde,2009,February,1
Switzerland,Cabo Verde,2009,August,1
Switzerland,Cabo Verde,2009,November,1
Germany,Cabo Verde,2010,March,1
Greece,Cabo Verde,2010,March,1
Greece,Cabo Verde,2010,September,1
Ireland,Cabo Verde,2010,September,1
Norway,Cabo Verde,2010,October,1
Switzerland,Cabo Verde,2010,August,1
Switzerland,Cabo Verde,2010,September,1
USA (INS/DHS),Cabo Verde,2010,May,1
France,Cabo Verde,2011,February,4
France,Cabo Verde,2011,March,6
France,Cabo Verde,2011,May,2
France,Cabo Verde,2011,December,1
Norway,Cabo Verde,2011,September,1
Switzerland,Cabo Verde,2011,July,1
