Origin,Timestamp,Value
Syrian Arab Republic,1999,0
Afghanistan,1999,1213
Iraq,1999,2360
Lebanon,1999,122
Palestinian,1999,0
Pakistan,1999,491
Iran,1999,0
Syrian Arab Republic,1999.08333333333,0
Afghanistan,1999.08333333333,2842
Iraq,1999.08333333333,4865
Lebanon,1999.08333333333,237
Palestinian,1999.08333333333,0
Pakistan,1999.08333333333,1014
Iran,1999.08333333333,0
Syrian Arab Republic,1999.1666666666601,0
Afghanistan,1999.1666666666601,3173
Iraq,1999.1666666666601,5153
Lebanon,1999.1666666666601,181
Palestinian,1999.1666666666601,0
Pakistan,1999.1666666666601,1045
Iran,1999.1666666666601,0
Syrian Arab Republic,1999.2499999999902,0
Afghanistan,1999.2499999999902,3074
Iraq,1999.2499999999902,5111
Lebanon,1999.2499999999902,145
Palestinian,1999.2499999999902,0
Pakistan,1999.2499999999902,1138
Iran,1999.2499999999902,0
Syrian Arab Republic,1999.3333333333203,0
Afghanistan,1999.3333333333203,3378
Iraq,1999.3333333333203,4964
Lebanon,1999.3333333333203,156
Palestinian,1999.3333333333203,0
Pakistan,1999.3333333333203,1281
Iran,1999.3333333333203,0
Syrian Arab Republic,1999.4166666666504,0
Afghanistan,1999.4166666666504,3638
Iraq,1999.4166666666504,5373
Lebanon,1999.4166666666504,188
Palestinian,1999.4166666666504,0
Pakistan,1999.4166666666504,1433
Iran,1999.4166666666504,0
Syrian Arab Republic,1999.4999999999804,0
Afghanistan,1999.4999999999804,3920
Iraq,1999.4999999999804,5550
Lebanon,1999.4999999999804,272
Palestinian,1999.4999999999804,0
Pakistan,1999.4999999999804,1536
Iran,1999.4999999999804,0
Syrian Arab Republic,1999.5833333333105,0
Afghanistan,1999.5833333333105,4479
Iraq,1999.5833333333105,5766
Lebanon,1999.5833333333105,351
Palestinian,1999.5833333333105,0
Pakistan,1999.5833333333105,1553
Iran,1999.5833333333105,0
Syrian Arab Republic,1999.6666666666406,0
Afghanistan,1999.6666666666406,4844
Iraq,1999.6666666666406,6146
Lebanon,1999.6666666666406,355
Palestinian,1999.6666666666406,0
Pakistan,1999.6666666666406,1463
Iran,1999.6666666666406,0
Syrian Arab Republic,1999.7499999999707,0
Afghanistan,1999.7499999999707,5553
Iraq,1999.7499999999707,6047
Lebanon,1999.7499999999707,339
Palestinian,1999.7499999999707,0
Pakistan,1999.7499999999707,1516
Iran,1999.7499999999707,0
Syrian Arab Republic,1999.8333333333007,0
Afghanistan,1999.8333333333007,5717
Iraq,1999.8333333333007,5975
Lebanon,1999.8333333333007,365
Palestinian,1999.8333333333007,0
Pakistan,1999.8333333333007,1725
Iran,1999.8333333333007,0
Syrian Arab Republic,1999.9166666666308,0
Afghanistan,1999.9166666666308,4764
Iraq,1999.9166666666308,5519
Lebanon,1999.9166666666308,343
Palestinian,1999.9166666666308,0
Pakistan,1999.9166666666308,1802
Iran,1999.9166666666308,0
Syrian Arab Republic,1999.999999999961,0
Afghanistan,1999.999999999961,4153
Iraq,1999.999999999961,5296
Lebanon,1999.999999999961,349
Palestinian,1999.999999999961,0
Pakistan,1999.999999999961,1654
Iran,1999.999999999961,0
Syrian Arab Republic,2000.083333333291,0
Afghanistan,2000.083333333291,4102
Iraq,2000.083333333291,5097
Lebanon,2000.083333333291,412
Palestinian,2000.083333333291,0
Pakistan,2000.083333333291,1605
Iran,2000.083333333291,0
Syrian Arab Republic,2000.166666666621,0
Afghanistan,2000.166666666621,4000
Iraq,2000.166666666621,4364
Lebanon,2000.166666666621,366
Palestinian,2000.166666666621,0
Pakistan,2000.166666666621,1493
Iran,2000.166666666621,0
Syrian Arab Republic,2000.2499999999511,0
Afghanistan,2000.2499999999511,4326
Iraq,2000.2499999999511,4556
Lebanon,2000.2499999999511,308
Palestinian,2000.2499999999511,0
Pakistan,2000.2499999999511,1264
Iran,2000.2499999999511,0
Syrian Arab Republic,2000.3333333332812,0
Afghanistan,2000.3333333332812,4745
Iraq,2000.3333333332812,4776
Lebanon,2000.3333333332812,315
Palestinian,2000.3333333332812,0
Pakistan,2000.3333333332812,1236
Iran,2000.3333333332812,0
Syrian Arab Republic,2000.4166666666113,0
Afghanistan,2000.4166666666113,4678
Iraq,2000.4166666666113,5429
Lebanon,2000.4166666666113,288
Palestinian,2000.4166666666113,0
Pakistan,2000.4166666666113,1234
Iran,2000.4166666666113,0
Syrian Arab Republic,2000.4999999999413,0
Afghanistan,2000.4999999999413,4769
Iraq,2000.4999999999413,6899
Lebanon,2000.4999999999413,280
Palestinian,2000.4999999999413,0
Pakistan,2000.4999999999413,1220
Iran,2000.4999999999413,0
Syrian Arab Republic,2000.5833333332714,0
Afghanistan,2000.5833333332714,5173
Iraq,2000.5833333332714,7466
Lebanon,2000.5833333332714,290
Palestinian,2000.5833333332714,0
Pakistan,2000.5833333332714,1196
Iran,2000.5833333332714,0
Syrian Arab Republic,2000.6666666666015,0
Afghanistan,2000.6666666666015,5625
Iraq,2000.6666666666015,7949
Lebanon,2000.6666666666015,278
Palestinian,2000.6666666666015,0
Pakistan,2000.6666666666015,1269
Iran,2000.6666666666015,0
Syrian Arab Republic,2000.7499999999316,0
Afghanistan,2000.7499999999316,6414
Iraq,2000.7499999999316,8436
Lebanon,2000.7499999999316,256
Palestinian,2000.7499999999316,0
Pakistan,2000.7499999999316,1397
Iran,2000.7499999999316,0
Syrian Arab Republic,2000.8333333332616,0
Afghanistan,2000.8333333332616,6182
Iraq,2000.8333333332616,7663
Lebanon,2000.8333333332616,215
Palestinian,2000.8333333332616,0
